,smiles,RDKit2D_calculated,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
0,CNc1ccccc1,1.0,2.8320858350070908,145.732814450335,5.819990956308912,4.886751345948129,4.886751345948129,3.931851652578137,2.66068360252296,2.66068360252296,1.616025403784439,1.616025403784439,1.0624642029434528,1.0624642029434528,0.6048195192193407,0.6048195192193407,0.0,0.0,0.0,0.0,0.0,5.687386274683562,0.0,0.0,37.37950732498524,5.316788604006331,0.0,107.073499288,1.125,1.75,2.125,0.14285714285714285,-0.98,8.0,98.08399999999996,91.36757727918736,5.162450142450141,2.3586048594225155,0.9971092570832982,49.34620741750161,3.0269444444444438,0.3881220693538709,3.0269444444444438,0.03370429145852783,1.1597222222222223,0.03370429145852783,1.1597222222222223,-0.3881220693538709,1.7283,35.98870000000001,107.15599999999998,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,42.0,5.316788604006331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.199101205384828,12.13273413692322,12.735058257360752,0.0,1.0,0.0,5.687386274683562,0.0,0.0,0.0,0.0,12.364460586683519,30.33183534230805,0.0,0.0,5.316788604006331,5.687386274683562,0.0,0.0,7.0476719826771905,0.0,0.0,0.0,30.33183534230805,0.0,0.0,0.0,12.03,0.0,0.0,0.0,3.0269444444444438,1.1597222222222223,0.0,10.067962962962962,0.0,0.0,1.9120370370370368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5759031939735615
1,CCSCC,1.0,2.19060968716425,11.119415478763747,4.121320343559642,3.822461852836958,4.638958433764683,2.4142135623730954,1.9915638315627209,3.146264369941972,0.7814744144215573,2.3444232432646714,0.40824829046386296,1.2247448713915887,0.2041241452319315,0.6123724356957944,0.0,0.0,0.0,0.0,0.0,0.0,11.505707213493578,0.0,11.761884949391115,13.847474399381248,0.0,90.05032132,1.2,1.6,1.6,1.0,0.35,5.0,80.11099999999998,11.245112497836532,5.35,4.349999999999999,4.349999999999998,37.95718739638461,2.1747685185185186,0.16258392367315136,2.1747685185185186,-0.00961226448078238,1.2604166666666667,0.00961226448078238,1.2604166666666667,-0.16258392367315136,1.7594,28.67299999999999,90.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.761884949391115,0.0,13.847474399381248,11.505707213493578,0.0,0.0,0.0,0.0,11.761884949391115,0.0,0.0,0.0,13.847474399381248,11.505707213493578,0.0,0.0,0.0,0.0,0.0,0.0,11.761884949391115,11.505707213493578,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,1.9629629629629628,0.0,0.0,0.0,2.520833333333333,0.0,0.0,4.349537037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4975846945635395
2,Sc1nccc(=O)[nH]1 ,1.0,3.277417459528498,231.47996149735152,5.983127663125442,3.9573760198430303,4.851803210842946,3.7876937002347035,2.0315450984071965,2.478758693907155,1.2576948779013426,1.6813016756513215,0.657733881764725,0.8850073344776397,0.359700559961448,0.5365604955236689,0.0,4.794537184071822,0.0,5.559266895052006,5.156436481820707,0.0,12.263210640074684,0.0,0.0,22.596746189907414,0.0,128.004433748,1.75,2.5,2.875,0.0,-0.77,8.0,124.124,64.0524865010122,5.368312586445367,2.000267240579908,1.0984467837108494,51.187287844835474,10.345833333333333,0.3016971212175844,10.345833333333333,0.25096039538775755,0.1759259259259256,0.25096039538775755,-0.1759259259259256,-0.3016971212175844,0.05860000000000004,32.1097,128.15599999999998,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,42.0,4.9839785209472085,0.0,5.156436481820707,0.0,5.559266895052006,0.0,4.794537184071822,4.9839785209472085,0.0,12.628789148012993,0.0,0.0,12.263210640074684,0.0,1.0,0.0,12.628789148012993,0.0,9.967957041894415,0.0,5.156436481820707,0.0,22.61701471919852,0.0,0.0,5.559266895052006,0.0,0.0,12.628789148012993,9.967957041894415,0.0,0.0,0.0,22.214184305967212,0.0,0.0,0.0,45.75,0.0,3.7874382716049375,16.362145061728395,0.3449074074074077,-0.1759259259259256,0.0,1.3330555555555554,1.4039351851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3830723244805453
3,CCCCCOC(=O)C,1.0,2.8288681349096856,78.98533616859814,7.112884175122364,6.144923705673916,6.144923705673916,4.2700556100296625,3.404030206245224,3.404030206245224,2.0471501175130817,2.0471501175130817,1.0532161629029313,1.0532161629029313,0.5679595955473014,0.5679595955473014,0.0,4.794537184071822,0.0,5.9693052879518484,6.606881964512918,12.841643245852019,13.344558822616634,0.0,0.0,6.923737199690624,4.736862953800049,130.099379688,1.4444444444444444,2.1111111111111107,2.555555555555556,0.8571428571428571,-0.53,9.0,116.07499999999996,84.62711413110172,8.470000000000002,5.603868808567606,7.470000000000002,56.20397104375984,10.18467545351474,0.4658776881575565,10.18467545351474,0.3021228679209696,0.17490457294028694,0.3021228679209696,-0.17490457294028694,-0.4658776881575565,1.7397,36.158,130.18699999999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,54.0,4.736862953800049,0.0,0.0,0.0,0.0,5.9693052879518484,4.794537184071822,0.0,0.0,0.0,19.765380445542647,6.4208216229260096,6.923737199690624,6.606881964512918,0.0,9.531400137871868,5.9693052879518484,0.0,0.0,0.0,33.10993926815928,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.531400137871868,0.0,33.10993926815928,0.0,0.0,0.0,0.0,26.3,4.705,0.0,10.18467545351474,0.0,0.0,-0.17490457294028694,0.0,3.3101436130007555,4.14175217309146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4277197407264159
4,NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl ,1.0,2.8465966642778904,723.7308563894458,12.844934982691244,8.08406888805087,10.472990995924775,7.716162047958507,4.128904959733795,7.536352158258978,3.174850792507233,6.794298102961356,2.0210024220009832,4.718309710428817,1.2871717808629946,3.4335389016561226,24.942065782332946,16.835593968657875,0.0,15.605503063942663,0.0,18.471269499445103,0.0,0.0,4.722094864452088,4.992404732635669,16.739913627840462,294.94882535200003,1.3529411764705883,2.0,2.588235294117647,0.0,-1.16,17.0,289.681,4303.857520908302,12.300954293871055,3.6674788611441405,2.1365016850259035,102.40040745855705,11.582403628117913,0.26950951276717183,11.582403628117913,0.2643018120362394,0.056620370370370925,0.2643018120362394,-4.093196806500377,-0.26950951276717183,-0.060899999999999226,61.29870000000001,295.7290000000001,3.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,92.0,0.0,16.12950231355744,0.0,10.023291153407584,10.023291153407584,0.0,4.722094864452088,26.966972438901486,0.0,0.0,11.600939890232516,12.13273413692322,0.0,10.710019588424887,2.0,16.835593968657875,43.67344383425313,0.0,4.722094864452088,10.131378470243614,9.790966951035552,0.0,17.155367450664546,0.0,0.0,9.86106860206003,5.687386274683562,0.0,11.600939890232516,23.174129331179763,20.046582306815168,0.0,0.0,26.91610582059444,5.022633313741326,0.0,0.0,118.69,47.559719387755095,5.690668146888384,2.9954391849332334,4.733339947089948,0.056620370370370925,0.0,2.011265432098765,0.9768002015621065,0.0,-7.912741559586798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7539227220961291
5,CCOCC,1.0,2.19060968716425,11.119415478763747,4.121320343559642,3.822461852836958,3.822461852836958,2.4142135623730954,1.9915638315627209,1.9915638315627209,0.7814744144215573,0.7814744144215573,0.40824829046386296,0.40824829046386296,0.2041241452319315,0.2041241452319315,0.0,0.0,0.0,0.0,0.0,13.213763929025836,0.0,0.0,13.847474399381248,0.0,4.736862953800049,74.07316494,1.2,1.6,1.6,1.0,-0.04,5.0,64.04299999999999,11.245112497836532,4.960000000000001,3.96,3.96,32.94762260052625,4.833333333333333,0.3820258357826421,4.833333333333333,0.043708412524692805,0.84375,0.043708412524692805,0.84375,-0.3820258357826421,1.0428000000000002,22.166999999999994,74.123,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,32.0,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,0.0,0.0,4.736862953800049,0.0,0.0,0.0,0.0,13.847474399381248,13.213763929025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,4.736862953800049,0.0,13.847474399381248,0.0,0.0,0.0,0.0,9.23,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4752681489358652
6,NC(=S)N,1.0,2.8030394876740514,29.019550008653873,3.5773502691896257,2.0629488288431146,2.8794454097708404,1.7320508075688772,0.7814744144215573,1.1897227048854202,0.4023689270621825,0.8737734478532142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112436884724758,0.0,0.0,0.0,0.0,0.0,23.685208397371067,0.0,76.00951912800001,1.5,1.5,1.5,0.0,-0.31000000000000005,4.0,72.092,3.2451124978365318,3.69,1.0617472118959108,8.372622268470339,29.77781266905986,4.62037037037037,0.3765057148380912,4.62037037037037,0.1604962987996412,2.220446049250313e-16,0.1604962987996412,2.220446049250313e-16,-0.3765057148380912,-0.8113000000000001,20.972800000000007,76.12400000000002,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,11.46733495432437,0.0,5.112436884724758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.217873443046695,0.0,0.0,0.0,0.0,17.330310327771453,0.0,0.0,11.46733495432437,0.0,0.0,0.0,0.0,0.0,11.46733495432437,0.0,0.0,12.217873443046695,5.112436884724758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.04,0.0,4.0925925925925934,0.0,2.220446049250313e-16,9.24074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37087352720561795
7,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,1.0,2.3502170049464204,650.7065804079458,15.242276208189782,12.049893482709653,12.049893482709653,10.168233757796587,6.776665155879001,6.776665155879001,4.4615990022305665,4.4615990022305665,2.9696983884254884,2.9696983884254884,1.9088877620457672,1.9088877620457672,6.093240070938416,9.589074368143644,0.0,11.979453793324563,17.5781578411451,12.841643245852019,11.676897189068887,12.13273413692322,19.056471336613843,20.35441868275992,0.0,290.13789043599996,1.3333333333333333,2.095238095238096,2.8095238095238093,0.35714285714285715,-2.5699999999999994,21.0,272.17900000000003,68683.25072786436,14.831139103672367,6.735629459180075,3.3058788542744364,121.84275613737506,12.304977796674226,0.4525716711861405,12.304977796674226,0.4132068296416625,0.1361559901738476,0.4132068296416625,-0.6732274869824468,-0.4525716711861405,2.572400000000001,79.46540000000005,290.323,2.0,7.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,7.0,0.0,4.0,0.0,0.0,0.0,112.0,10.053651557806381,0.0,0.0,5.9483392809864934,0.0,12.124354583276489,5.316788604006331,19.1401525368822,0.0,0.0,25.477292959539852,18.553555759849232,6.544756405912576,18.143198976510057,2.0,14.325937321943693,29.1060952994955,0.0,14.867866772744891,0.0,19.765380445542647,18.971342551196443,24.26546827384644,0.0,0.0,10.633577208012662,15.537413649130135,0.0,0.0,35.32998669920516,4.736862953800049,0.0,19.765380445542647,24.26546827384644,0.0,11.033401435232523,0.0,85.25,5.883565282020369,0.0,27.919906340252663,5.252514723481985,1.2430056636852278,0.1361559901738476,6.832803760393047,1.198158726644928,2.6136045199122404,1.2536183267690304,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.847401444528972
8,Cc1ccc(C)c2ccccc12,1.0,2.9464713248424017,372.8078661934481,8.55204176387779,7.464101615137756,7.464101615137756,5.787693700234701,4.238033871712586,4.238033871712586,3.2449425191004826,3.2449425191004826,2.3600781366972794,2.3600781366972794,1.600409353048576,1.600409353048576,0.0,0.0,0.0,0.0,0.0,0.0,21.899351412323586,0.0,0.0,50.2456768101509,0.0,156.093900384,0.6666666666666666,1.0833333333333333,1.5,0.16666666666666666,-1.2999999999999998,12.0,144.13199999999995,768.3639299089632,7.354540141719627,2.632554053569508,1.001034368996099,72.84295188002538,2.1782407407407405,0.06161948309627077,2.1782407407407405,-0.015207014081717637,1.357592592592593,0.015207014081717637,1.357592592592593,-0.06161948309627077,3.456640000000002,53.42200000000002,156.22799999999998,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.398202410769656,35.746825811704824,0.0,0.0,2.0,0.0,10.772448428929591,0.0,0.0,0.0,13.847474399381248,0.0,47.525105394163646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,11.126902983393993,36.398202410769656,0.0,10.772448428929591,0.0,0.0,0.0,0.0,0.0,2.7453703703703707,2.7151851851851854,0.0,12.897037037037036,0.0,4.309074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476492453414699
9,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,1.0,1.7214814947399866,930.2980937199305,20.31119030894212,15.43344091237514,16.945298804412047,13.323735633975275,8.78453839388687,9.540467339905325,7.214765173188116,8.222629525088674,4.961172443444765,5.213148758784251,3.2987824841352333,3.5702492352956363,12.073271675700152,10.056428738810308,0.0,21.74227073587749,17.062475158264807,0.0,0.0,30.34148838068032,50.248531054481575,0.0,32.675605688065126,415.074198828,1.1428571428571428,1.8214285714285716,2.4642857142857144,0.2727272727272727,-2.479999999999999,28.0,397.15200000000016,2171247.0323573537,20.25931432531098,8.261449020580429,4.493889413988657,173.83020897810314,12.611418379883835,0.457370815414609,12.611418379883835,0.3112852422470833,0.11380449741928578,0.3112852422470833,-1.0284014655244815,-0.457370815414609,6.177980000000003,107.954,416.30400000000014,0.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,6.0,0.0,6.0,1.0,0.0,1.0,144.0,9.473725907600098,22.059713153518015,0.0,6.103966387748303,0.0,5.9693052879518484,4.794537184071822,0.0,5.2618915547384875,0.0,67.38118952215433,41.67438489623849,5.563451491696997,5.917906046161393,3.0,14.268263091671919,29.171185068416875,5.2618915547384875,0.0,17.250802561719567,19.95144078712955,0.0,70.7282433888433,0.0,17.568244979360088,4.736862953800049,0.0,11.49902366656781,23.20187978046503,5.9693052879518484,9.531400137871868,28.581915429250326,25.514892278826547,65.1647918971463,0.0,0.0,0.0,59.32000000000001,11.397899512505775,11.4620660630194,12.611418379883835,9.530405787327686,0.2313946201260162,0.2892627430591385,18.293881632746352,0.6151906779955121,3.874036138891839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280467981025629
