smiles,file,smiles.1,file.1,smiles.2,file.2,smiles.3,file.3,smiles.4,file.4
O=C1NC(=O)NC(=O)C1(CC=C)CC=C,"train_smiles_ESOL_rf_[0, 2]_0.csv",CNc1ccccc1,"train_smiles_ESOL_rf_[0, 2]_1.csv",FC(F)(F)c1ccccc1,"train_smiles_ESOL_rf_[0, 2]_2.csv",CC1=C(CCCO1)C(=O)Nc2ccccc2 ,"train_smiles_ESOL_rf_[0, 2]_3.csv",CCCCCCC,"train_smiles_ESOL_rf_[0, 2]_4.csv"
Sc1ccccc1,"train_smiles_ESOL_rf_[0, 2]_0.csv",CCSCC,"train_smiles_ESOL_rf_[0, 2]_1.csv",FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,"train_smiles_ESOL_rf_[0, 2]_2.csv",CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,"train_smiles_ESOL_rf_[0, 2]_3.csv",CCC=O,"train_smiles_ESOL_rf_[0, 2]_4.csv"
CCC(=O)C,"train_smiles_ESOL_rf_[0, 2]_0.csv",Sc1nccc(=O)[nH]1 ,"train_smiles_ESOL_rf_[0, 2]_1.csv",Oc1cccc(Cl)c1Cl,"train_smiles_ESOL_rf_[0, 2]_2.csv",CCNC(=S)NCC,"train_smiles_ESOL_rf_[0, 2]_3.csv",c1ccc2cc3cc4ccccc4cc3cc2c1,"train_smiles_ESOL_rf_[0, 2]_4.csv"
CCCCCCCCC(=O)OC,"train_smiles_ESOL_rf_[0, 2]_0.csv",CCCCCOC(=O)C,"train_smiles_ESOL_rf_[0, 2]_1.csv",Cc1cc(=O)n(c2ccccc2)n1C,"train_smiles_ESOL_rf_[0, 2]_2.csv",CCCC#C,"train_smiles_ESOL_rf_[0, 2]_3.csv",CN(C)C(=O)C(c1ccccc1)c2ccccc2 ,"train_smiles_ESOL_rf_[0, 2]_4.csv"
CC1=C(CCCO1)C(=O)Nc2ccccc2 ,"train_smiles_ESOL_rf_[0, 2]_0.csv",NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl ,"train_smiles_ESOL_rf_[0, 2]_1.csv",CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,"train_smiles_ESOL_rf_[0, 2]_2.csv",c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,"train_smiles_ESOL_rf_[0, 2]_3.csv",c1ccc2c(c1)sc3ccccc23,"train_smiles_ESOL_rf_[0, 2]_4.csv"
Cc1cccc2ccccc12,"train_smiles_ESOL_rf_[0, 2]_0.csv",CCOCC,"train_smiles_ESOL_rf_[0, 2]_1.csv",CC(=C)C=C,"train_smiles_ESOL_rf_[0, 2]_2.csv",OCC(O)C(O)C(O)C(O)CO,"train_smiles_ESOL_rf_[0, 2]_3.csv",COc2c1occc1c(OC)c3c(=O)cc(C)oc23 ,"train_smiles_ESOL_rf_[0, 2]_4.csv"
CC(=O)c1ccccc1,"train_smiles_ESOL_rf_[0, 2]_0.csv",NC(=S)N,"train_smiles_ESOL_rf_[0, 2]_1.csv",Cc1ccccc1N,"train_smiles_ESOL_rf_[0, 2]_2.csv",CCC(C)(C)CO,"train_smiles_ESOL_rf_[0, 2]_3.csv",o1c2ccccc2c3ccccc13,"train_smiles_ESOL_rf_[0, 2]_4.csv"
CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,"train_smiles_ESOL_rf_[0, 2]_0.csv",CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,"train_smiles_ESOL_rf_[0, 2]_1.csv",CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,"train_smiles_ESOL_rf_[0, 2]_2.csv",CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,"train_smiles_ESOL_rf_[0, 2]_3.csv",CC(C)CC(=O)C,"train_smiles_ESOL_rf_[0, 2]_4.csv"
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,"train_smiles_ESOL_rf_[0, 2]_0.csv",Cc1ccc(C)c2ccccc12,"train_smiles_ESOL_rf_[0, 2]_1.csv",CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,"train_smiles_ESOL_rf_[0, 2]_2.csv",ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,"train_smiles_ESOL_rf_[0, 2]_3.csv",Cc1ccccc1,"train_smiles_ESOL_rf_[0, 2]_4.csv"
CCCC(C)(O)CC,"train_smiles_ESOL_rf_[0, 2]_0.csv",CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,"train_smiles_ESOL_rf_[0, 2]_1.csv",CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,"train_smiles_ESOL_rf_[0, 2]_2.csv",O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,"train_smiles_ESOL_rf_[0, 2]_3.csv",CCC(=O)Nc1ccc(Cl)c(Cl)c1,"train_smiles_ESOL_rf_[0, 2]_4.csv"
