,smiles
1052,CCN2c1nc(C)cc(C)c1NC(=O)c3cccnc23 
417,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl
659,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F 
684,CCCCOC
974,CC(C)C(=O)C
94,Cc1cc(C)c2ccccc2c1
661,Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
155,CCCOC(=O)C
1049,Clc1ccccc1Br
515,C1N(C(=O)NCC(C)C)C(=O)NC1
509,Clc1ccc(Cl)cc1
825,O=C1NC(=O)NC(=O)C1(CC)C(C)C
535,CC1CCCO1
489,Oc1ccc(Br)cc1
722,BrC(Br)(Br)Br
850,Cc1c(C)c2c3ccccc3ccc2c4ccccc14
267,CCCCBr
429,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl
555,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C 
1051,CCCCC(O)CC
794,CC(=O)c1ccccc1
305,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
953,C#C
433,CN(C)C=Nc1ccc(Cl)cc1C
944,CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O
121,CC(C)C(C)C(C)C
827,CON(C)C(=O)Nc1ccc(Cl)cc1
237,CCCC(=O)CCC
887,Clc1cccc(Br)c1
815,ClCC(C)C
697,CCc1ccc(C)cc1
567,Clc1cc(Cl)c(Cl)cc1Cl
481,ON=Cc1ccc(o1)N(=O)=O 
431,C1CCCCC1
560,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl 
753,C/C1CCCCC1\C
790,c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21
857,c1ccccc1SC
990,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12
475,CCI
713,CC(C)OC(=O)C
469,Cc1cccc(C)c1O
386,Nc1nccs1 
949,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3
1123,FC(F)(F)C(Cl)Br 
1036,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C
955,C1C=CCC=C1
242,ClC(Cl)(Cl)C#N
928,CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC 
60,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
605,CC(=O)N
882,C=CCC=C
294,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2
820,CCCCCBr
315,COc1ccc(C=CC)cc1
581,CBr
942,C=CCCC=C
340,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO
79,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl
835,c1ccccc1
594,C1CCCC1
84,CCc1ccccc1CC
351,Cc1ccc2ccccc2c1
1017,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
78,CCCBr
971,O=C1NC(=O)NC(=O)C1(C)C
460,CCCCCO
598,CC(C)C=C
844,CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O 
960,CCOP(=S)(OCC)SCCSCC
984,O=C2NC(=O)C1(CCCC1)C(=O)N2
512,Cc1c[nH]c2ccccc12 
742,CC(OC(=O)Nc1cccc(Cl)c1)C#C
343,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O 
375,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC 
837,COc1ccc(NC(=O)N(C)C)cc1Cl
444,CCCCCCCC=C
754,COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O 
401,CCOc2ccc1nc(sc1c2)S(N)(=O)=O 
693,COc1ccccc1
471,c1ccccc1C(O)c2ccccc2
107,Cc1c[nH]c(=O)[nH]c1=O 
1096,O=C(c1ccccc1)c2ccccc2
541,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
1125,CCSCCSP(=S)(OC)OC
634,C1=Cc2cccc3cccc1c23
927,Nc1nc(=O)[nH]cc1F
1116,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
1033,CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O
843,Oc1ccc(O)cc1
129,CCCCCCCBr
256,c1ccc2ccccc2c1
545,Clc1cccc(c1)N(=O)=O
952,CNC(=O)Oc1cccc2ccccc12
899,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
1027,Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O
648,COc1cc(CC=C)ccc1O
434,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O
963,Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2
127,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2
296,CCCCCCCl
964,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl
502,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O
1088,ClCC
368,Clc1ccccc1N(=O)=O
289,Cc1ccc2c(ccc3ccccc32)c1
321,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54
591,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2
792,OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl 
1093,O=C2NC(=O)C1(CCCCCCC1)C(=O)N2
181,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3
33,ClC(=C)Cl
1101,Cl\C=C/Cl
551,Cc2ncc1nccnc1n2
886,Oc1cccc(Cl)c1
547,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl 
773,ClC(Cl)Cl
839,C=Cc1ccccc1
370,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C
216,Cc1cccnc1C
961,CC(=O)OC3(C)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
1108,CC=C
73,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
367,CCC(=O)OC
336,o1c2ccccc2c3ccccc13
378,CCC(=O)Nc1ccc(Cl)c(Cl)c1
223,CNC(=O)Oc1cccc(N=CN(C)C)c1
969,CCCCCCCCCCCCCCCO
200,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2
626,CC1CO1
1117,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23
170,Clc1ccc(Cl)c(Cl)c1Cl
523,O=Cc1ccco1
1061,COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O
385,Cc1ccc(N)cc1
88,CC(C)C1CCC(C)CC1=O
593,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3
819,c1ccc2cc3cc4ccccc4cc3cc2c1
271,COc1ccc(Cl)cc1
260,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
729,Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl 
46,CC(=O)Nc1ccc(Br)cc1
888,NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl 
228,CC(C)=CCCC(O)(C)C=C
596,c1(OC)ccc(CC=C)cc1
663,ClCCCCl
557,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
