,smiles
239,Oc1ccc(Cl)cc1
803,CCCOC(=O)c1ccc(N)cc1
522,Clc1cc(Cl)cc(Cl)c1
1056,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl
198,Cc1ccccc1Cl
477,CCCCCCBr
78,CCCBr
216,Cc1cccnc1C
879,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
266,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O 
268,Brc1cc(Br)c(Br)cc1Br
9,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
1026,OC1C(O)C(O)C(O)C(O)C1O
150,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O 
810,C1CCOCC1
963,Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2
372,Ic1ccccc1
1028,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O
500,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O
933,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O
1111,O=C1c2ccccc2C(=O)c3ccccc13
153,CCCCCCl
834,Cc1cc(C)c(O)c(C)c1
306,Clc1cccc(Cl)c1Cl
864,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
380,CCCCCC(=O)OCC
856,CC(C)COC=O
927,Nc1nc(=O)[nH]cc1F
561,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O 
420,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
610,CC2=CC(=O)c1ccccc1C2=O 
1038,Cn1cnc2n(C)c(=O)n(C)c(=O)c12
253,CCOC(=O)N
900,CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O 
663,ClCCCCl
240,O=C1CCCCC1
74,CCCCC(=O)OCC
282,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C
444,CCCCCCCC=C
469,Cc1cccc(C)c1O
973,O=N(=O)c1ccccc1N(=O)=O
747,CCC(O)C(C)C
639,CCC#CCC
962,Clc1ccc(cc1)c2c(Cl)cccc2Cl 
419,Cc1c(cccc1N(=O)=O)N(=O)=O
780,c1ccc2c3c(ccc2c1)c4cccc5cccc3c45
325,CC(C)c1ccc(NC(=O)N(C)C)cc1
142,ClC=C(Cl)Cl
520,CCCCO
4,c1ccsc1
394,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2
450,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
926,CCCC(C)(C)O
171,CCCC(C)(COC(N)=O)COC(N)=O 
386,Nc1nccs1 
1058,Clc1cccc(n1)C(Cl)(Cl)Cl
857,c1ccccc1SC
358,Cc1c2ccccc2c(C)c3ccccc13
275,Ic1cccc2ccccc12
6,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
688,CSc1nc(nc(n1)N(C)C)N(C)C
299,CCCCCCCCCCCCCCCCCCCCCCCCCC
770,CCC=O
560,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl 
1047,CSSC
1104,O2c1ccc(N)cc1N(C)C(=O)c3cc(C)ccc23 
750,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O
297,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl
481,ON=Cc1ccc(o1)N(=O)=O 
600,CC
795,c2ccc1nc(ccc1c2)c4ccc3ccccc3n4 
855,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
1106,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2
175,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
648,COc1cc(CC=C)ccc1O
539,CCNc1nc(NC(C)C)nc(SC)n1
708,CN(C)C(=O)NC1CC2CC1C3CCCC23
277,CCS
819,c1ccc2cc3cc4ccccc4cc3cc2c1
228,CC(C)=CCCC(O)(C)C=C
462,Fc1cccc(F)c1
293,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O
902,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C
836,Clc1ccc(I)cc1
474,CC(C)CBr
975,CCCCCCCCCCCCCCCC
457,Oc1ccc(Cl)c(Cl)c1
623,Nc3cc2c1ccccc1ccc2c4ccccc34 
459,c2ccc1ocnc1c2
1110,CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2 
119,Clc1ccccc1c2ccccc2
206,O=c1[nH]cnc2nc[nH]c12 
551,Cc2ncc1nccnc1n2
168,CCN(=O)=O
904,CSc1nc(NC(C)C)nc(NC(C)C)n1
107,Cc1c[nH]c(=O)[nH]c1=O 
1007,C=CC#N
414,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
1127,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
344,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 
1053,Oc1cc(Cl)cc(Cl)c1
609,CCCC(=O)OCC
111,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O
739,Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C
422,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O 
890,OCCOc1ccccc1
964,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl
231,O=C1NC(=O)NC(=O)C1(C)CC=C
365,c1cncnc1
1052,CCN2c1nc(C)cc(C)c1NC(=O)c3cccnc23 
256,c1ccc2ccccc2c1
73,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
84,CCc1ccccc1CC
487,OCc1ccccc1
550,CCC(C)CCO
674,CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O
