,smiles,RDKit2D_calculated,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
0,Oc1ccc(Cl)cc1,1.0,3.0324555320336755,147.38833891467198,5.983127663125442,4.134579145267688,4.890508091286144,3.7876937002347035,2.233956239300511,2.6119207123097383,1.476416779983154,1.9128525604551387,0.8266262022961458,1.0786025176356309,0.4410908789258508,0.5670790365955932,0.0,0.0,0.0,5.749511833283905,5.022633313741326,0.0,0.0,24.26546827384644,0.0,0.0,16.70746728507322,128.00289246,1.125,1.625,2.0,0.0,-0.6900000000000001,8.0,123.518,70.79892376087898,5.446798905608755,2.0526695478915182,1.1380194886479658,52.528903098574645,8.698024691358025,0.5079651858460357,8.698024691358025,0.11517975998882712,0.2448148148148153,0.11517975998882712,0.2448148148148153,-0.5079651858460357,2.0456,33.1168,128.558,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,5.106527394840706,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.600939890232516,24.26546827384644,5.022633313741326,0.0,1.0,5.106527394840706,11.600939890232516,0.0,0.0,0.0,0.0,0.0,29.288101587587768,0.0,5.749511833283905,0.0,0.0,5.749511833283905,11.600939890232516,5.106527394840706,0.0,0.0,0.0,24.26546827384644,5.022633313741326,0.0,0.0,20.23,0.0,5.500555555555555,0.0,9.339506172839506,0.0,0.2448148148148153,6.359567901234567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5671077548351335
1,CCCOC(=O)c1ccc(N)cc1,1.0,2.6111712506381344,279.481149314903,9.681798275874712,7.617461489248952,7.617461489248952,6.236382105218447,4.2640725458859565,4.2640725458859565,2.7579276590227493,2.7579276590227493,1.5836664295139553,1.5836664295139553,0.8972954514511609,0.8972954514511609,0.0,4.794537184071822,0.0,5.9693052879518484,17.857719730893475,6.4208216229260096,0.0,24.26546827384644,6.923737199690624,0.0,10.470530430962237,179.094628656,1.3846153846153846,2.0,2.5384615384615383,0.3,-1.5099999999999998,13.0,166.11499999999995,912.2320628762053,9.577032201914708,4.499571342364574,2.780670678629494,77.50612960364677,11.25182634164777,0.4621081531843226,11.25182634164777,0.3376196486138456,0.2899537037037032,0.3376196486138456,-0.2899537037037032,-0.4621081531843226,1.8356,51.42790000000003,179.21899999999997,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,70.0,10.470530430962237,0.0,0.0,0.0,0.0,5.9693052879518484,0.0,4.794537184071822,0.0,0.0,6.923737199690624,30.68628989677245,5.687386274683562,12.170333456209915,1.0,9.531400137871868,11.656691562635412,0.0,0.0,0.0,13.344558822616634,12.340549441675105,29.828919765543443,0.0,0.0,5.733667477162185,5.687386274683562,0.0,0.0,12.576187252464766,4.736862953800049,0.0,23.70254749838545,24.26546827384644,0.0,0.0,0.0,52.32,4.937342214663643,0.0,11.25182634164777,0.0,6.66436140505585,-0.2899537037037032,6.6862414965986385,0.8340401392038297,2.416142106533972,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5685826396083031
2,Clc1cc(Cl)cc(Cl)c1,1.0,3.165670309917317,169.06517765499825,6.8533711511285205,4.365944226596559,6.633731064651923,4.181540550352056,2.2989975170827184,3.4328909361104003,1.5876663726001972,2.8969737140161507,0.8273268353539889,1.4819805060619655,0.5201787612151944,1.3930148935298152,0.0,0.0,0.0,0.0,15.067899941223976,0.0,0.0,18.199101205384828,0.0,0.0,34.802819670697545,179.930033136,0.6666666666666666,0.8888888888888888,1.1111111111111112,0.0,0.08999999999999991,9.0,178.42499999999995,85.75693818879151,7.200011001100108,2.7822002817304186,2.0527237406793954,68.34120180014197,5.581358024691356,0.08423332104428229,5.581358024691356,0.043511410394859,0.5625000000000004,0.043511410394859,0.5625000000000004,-0.08423332104428229,3.6468000000000007,41.47200000000001,181.449,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.802819670697545,18.199101205384828,15.067899941223976,0.0,1.0,0.0,34.802819670697545,0.0,0.0,0.0,0.0,0.0,33.26700114660881,0.0,0.0,0.0,0.0,0.0,34.802819670697545,0.0,0.0,0.0,0.0,18.199101205384828,15.067899941223976,0.0,0.0,0.0,0.0,16.74407407407407,0.0,1.687500000000001,0.0,0.0,4.90175925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5730891206161023
3,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,1.0,4.27920995877855,233.57688747399035,12.008071689507773,9.458796711201565,11.7871511841662,6.895953267715892,4.795757730990174,6.595756544124875,3.7053214958023815,5.335609639878139,1.7754239411720238,3.4648508308563333,1.254636000737157,2.5023470470374063,0.0,4.794537184071822,0.0,17.322893371468208,10.785139958860388,0.0,17.29708687826933,0.0,32.59485852961298,0.0,23.20187978046503,269.040790524,1.3333333333333333,1.8,2.1333333333333333,0.7,0.1399999999999999,15.0,253.089,1217.0142657237545,15.14,7.419345139907786,5.688567504031777,105.98512527459049,11.80647234819854,0.3287465651519829,11.80647234819854,0.28194881964673657,0.038580246913580314,0.28194881964673657,0.038580246913580314,-0.3287465651519829,4.2774000000000045,69.75400000000003,270.225,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,88.0,4.899909730850478,0.0,0.0,0.0,5.2392117131722875,0.0,4.794537184071822,0.0,0.0,0.0,34.963764729856145,27.694948798762496,28.404023546034516,0.0,0.0,4.794537184071822,40.20297644302843,0.0,4.899909730850478,0.0,39.778630457058405,5.752853606746789,10.56748828099181,0.0,0.0,0.0,4.794537184071822,0.0,34.963764729856145,27.97565670906548,0.0,0.0,27.694948798762496,10.56748828099181,0.0,0.0,0.0,20.31,0.0,12.294859921334787,13.628959435626106,0.5269866465104565,1.288615205341396,0.4303858024691358,0.39584561602418733,0.0,7.9899029282494896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7596200260223072
4,Cc1ccccc1Cl,1.0,3.1348615113454485,160.49662946459569,5.983127663125442,4.687365549767731,5.443294495786184,3.804530452640311,2.51633250569424,2.8942969787034665,1.7491838453530133,2.1563839720936193,1.076605104451236,1.5006844437435882,0.5509862668293586,0.6867196424095607,0.0,0.0,0.0,0.0,0.0,10.586084805438322,0.0,0.0,31.189205473537058,0.0,11.600939890232516,126.023627904,1.25,1.875,2.25,0.14285714285714285,-0.4900000000000001,8.0,119.53,72.49526582754562,5.643155792276964,2.185360818928772,1.014610261986002,54.09961146077524,5.708672839506173,0.08405299355229609,5.708672839506173,0.0434670923053081,0.8402777777777781,0.0434670923053081,0.8402777777777781,-0.08405299355229609,2.6484200000000007,36.189,126.586,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.800041095617342,18.553555759849232,5.022633313741326,0.0,1.0,0.0,11.600939890232516,0.0,0.0,0.0,6.923737199690624,0.0,34.85155307928476,0.0,0.0,0.0,0.0,0.0,11.600939890232516,0.0,0.0,6.923737199690624,5.563451491696997,24.26546827384644,5.022633313741326,0.0,0.0,0.0,0.0,5.708672839506173,0.0,0.8402777777777781,1.1334876543209875,0.0,7.773580246913579,0.0,1.988425925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5015016660067645
5,CCCCCCBr,1.0,2.4474728878763443,23.360990398949923,5.535533905932739,4.9134983789419655,6.499494918056669,3.4142135623730954,2.974368023098972,4.0958369308453735,1.7496424082844344,2.5426406778417863,0.9871840115494857,1.5479184654226867,0.5212678135489435,0.9177669483276194,0.0,0.0,0.0,0.0,0.0,0.0,31.013376138765462,0.0,0.0,22.85368109763997,0.0,164.020062516,1.1428571428571428,1.8571428571428568,2.2857142857142856,1.0,0.48,7.0,151.96999999999997,35.509609925153406,7.479999999999999,6.48,6.480000000000001,54.43150920545395,3.37954223356009,0.09280780399301264,3.37954223356009,0.0031253010234603405,1.1736111111111112,0.0031253010234603405,1.1736111111111112,-0.09280780399301264,2.9616000000000016,37.936,165.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.116145966417996,6.4208216229260096,5.330089647061427,0.0,0.0,0.0,15.929943897949347,0.0,0.0,0.0,32.60702369139466,5.330089647061427,0.0,0.0,0.0,0.0,0.0,0.0,15.929943897949347,5.330089647061427,0.0,0.0,32.60702369139466,0.0,0.0,0.0,0.0,0.0,0.0,3.37954223356009,0.0,1.1736111111111112,0.0,0.0,0.0,5.466458333333334,2.230388321995465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4433511649860914
6,CCCBr,1.0,1.9747448713915892,5.245112497836532,3.4142135623730954,2.7921780353823222,4.378174574497026,1.914213562373095,1.4743680230989715,2.5958369308453744,0.6889822365046134,1.4819805060619653,0.18898223650461354,0.9819805060619654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.330089647061427,6.4208216229260096,0.0,0.0,22.85368109763997,0.0,121.973112324,1.75,2.0,2.0,1.0,0.48,4.0,115.93700000000001,6.854752972273345,4.480000000000002,3.4800000000000018,2.480000000000002,35.336682862264134,3.248263888888889,0.0928186496107851,3.248263888888889,0.002862797239059453,1.1319444444444444,0.002862797239059453,1.1319444444444444,-0.0928186496107851,1.7913,24.08499999999999,122.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.85368109763997,6.4208216229260096,5.330089647061427,0.0,0.0,0.0,15.929943897949347,0.0,0.0,0.0,13.344558822616634,5.330089647061427,0.0,0.0,0.0,0.0,0.0,0.0,15.929943897949347,5.330089647061427,0.0,0.0,13.344558822616634,0.0,0.0,0.0,0.0,0.0,0.0,3.248263888888889,0.0,1.1319444444444444,0.0,0.0,0.0,1.2361111111111112,2.133680555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4659881510679793
7,Cc1cccnc1C,1.0,3.1348615113454485,160.49662946459569,5.983127663125442,5.179264403068835,5.179264403068835,3.804530452640311,2.68714748875862,2.68714748875862,1.9057102982872964,1.9057102982872964,1.2711667966168747,1.2711667966168747,0.5646259177748998,0.5646259177748998,0.0,0.0,0.0,0.0,0.0,5.693927994848461,5.563451491696997,0.0,19.186947839765306,17.97408278909944,0.0,107.073499288,1.375,2.125,2.5,0.2857142857142857,-0.85,8.0,98.084,72.49526582754562,5.28986013986014,1.94826211591866,0.8609369312528817,49.38093532923669,4.078703703703704,0.2613343140404534,4.078703703703704,0.04012645863504943,1.1180555555555558,0.04012645863504943,1.1180555555555558,-0.2613343140404534,1.6984400000000002,33.71099999999999,107.156,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,6.06636706846161,25.477292959539852,11.890771566461536,0.0,1.0,0.0,0.0,0.0,4.9839785209472085,0.0,13.847474399381248,0.0,29.586957195081755,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,13.847474399381248,11.257379486545458,18.329577708536302,0.0,0.0,0.0,12.89,0.0,0.0,4.078703703703704,0.0,2.3750000000000004,0.0,4.00462962962963,1.8078703703703705,4.06712962962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4913877769176361
8,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,1.0,2.8656071971830146,634.6079666719705,14.317472766266278,8.877802118633467,14.169304740762653,8.841111712849498,4.810909527244879,7.456660838309473,3.5690794053189885,6.3025376775777175,2.4075488107266634,5.248984696439272,1.5304505562470154,3.256568594158772,0.0,0.0,0.0,25.113166568706628,21.172169610876644,0.0,0.0,18.199101205384828,0.0,0.0,81.2065792316276,391.805443856,0.5789473684210527,1.0526315789473684,1.5789473684210529,0.0,0.4699999999999998,19.0,392.30300000000017,15382.794728981751,15.851269764825576,6.071664934514077,2.9133054618232097,144.61136091373268,6.1733925422020635,0.08431958793819813,6.1733925422020635,0.08089168073864207,0.09743874401612553,0.08089168073864207,0.09743874401612553,-0.08431958793819813,7.9274,86.94800000000002,395.32700000000017,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.2065792316276,18.199101205384828,21.172169610876644,25.113166568706628,2.0,0.0,81.2065792316276,0.0,0.0,0.0,0.0,0.0,53.35753440157411,0.0,11.126902983393993,0.0,0.0,0.0,81.2065792316276,0.0,0.0,0.0,0.0,18.199101205384828,35.158433196189286,11.126902983393993,0.0,0.0,0.0,42.381242143976934,0.0,1.5691069853867512,0.9304320987654332,0.0,4.896996549648666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3397360631509804
9,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,1.0,1.8004822924129775,1018.3858270401207,25.26722023457211,19.798867197052445,19.798867197052445,15.712922291982494,11.589631267444116,11.589631267444116,10.568320875135118,10.568320875135118,8.975699319756615,8.975699319756615,7.3107861497843984,7.3107861497843984,70.47227392312385,29.3912035259687,4.39041504767482,25.04570981514297,11.993926152995277,13.847474399381248,18.228060320501644,13.847474399381248,0.0,0.0,9.473725907600098,478.200296172,1.1764705882352942,1.8529411764705883,2.4705882352941178,0.68,-2.39,34.0,447.2650000000002,20567686.76188807,24.72566361155939,7.812620009868032,3.0868011251937633,196.7225128613698,17.16587789940739,0.4589531200440186,17.16587789940739,0.3025656946946837,0.013115630511463916,0.3025656946946837,-2.2812619939951286,-0.4589531200440186,1.7620999999999996,115.88160000000003,478.5130000000002,2.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,9.0,0.0,4.0,3.0,0.0,3.0,186.0,19.68678069728151,6.103966387748303,23.659937540607217,5.783244946364938,0.0,11.938610575903699,19.178148736287287,4.39041504767482,0.0,0.0,18.572861836593773,50.67696995122383,30.5953613843362,6.103966387748303,4.0,43.25534448124361,23.50510046863358,0.0,0.0,22.66579303111635,76.85597869569249,6.606881964512918,23.801164850570913,0.0,0.0,0.0,4.39041504767482,0.0,0.0,63.80278062805387,28.651874643887385,22.66579303111635,53.37823529046653,23.801164850570913,0.0,0.0,0.0,127.20000000000002,27.382493666590978,0.0,48.35847455185332,23.1471340685162,-6.419656783837653,-3.927940292214733,0.0,1.8215470395564608,4.8046144162020985,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5855060519155003
