,smiles
1102,NCCc1ccc(O)c2nc(O)sc12
304,CC[C@@H](NC1=C(Nc2cccc(C(=O)N(C)C)c2O)C(=O)C1=O)c3oc(C)cc3
3403,CS(=O)(=O)c1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N
3943,COc1cc(Nc2ncc(C)s2)nc(N[C@@H](C)c3ncc(F)cn3)n1
3374,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCO)c4ccc(Cl)cc4
4070,Cc1cc(Cl)ccc1N2CCN(CC2)C(=O)COCc3ccncc3
1944,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NS(=O)(=O)C(F)(F)F)C(=O)C(F)(F)F
743,COc1ccc(C=C2SC(=O)NC2=O)cc1OC
1400,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC(=O)NCc3cccnc3)C(=O)C(F)(F)F
2230,O=C(Cc1ccccc1)Nc2nccs2
4138,[O-][N+](=O)c1cccc2C(=O)C(=O)c3ccccc3c12
2153,CCN(CC)C(=O)c1ccc(cc1)C(=C2CCNCC2)c3ccccc3
1940,CN(C)c1cccc2c(cccc12)S(=O)(=O)N
639,NC(=N)c1ccc(cc1)C(=O)N2CCN(CC2)S(=O)(=O)c3ccc4cc(Br)ccc4c3
3801,Cc1ccc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(Cl)n3)C(=O)N
1370,CN1CCN(CC1)S(=O)(=O)c2ccc(cc2F)c3cnc(N)c(n3)C(=O)Nc4cccnc4
554,OC(=O)c1ccc(cc1)c2ccc(Cl)c(c2)C(=O)NCC34CC5CC(CC(C5)C3)C4
1333,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(Cl)ccc3Cl)ncn2)cc1
1889,Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Cl)ccc4n12
2517,CN1CCN(CCCOc2ccc(cc2)c3onc(c3)c4ccc(F)cc4)CC1
2366,Nc1ncnc2c1c(COc3cccc(Cl)c3)nn2C4CCOCC4
3044,CCN1C(=O)C=Cc2cnc(Nc3ccc(OC)c(OC)c3)nc12
4135,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccnc4ccccc34)c2C(=O)N5CC[C@@H](O)C5
2862,CCCSc1nc(ccc1C(=O)NC2CCCCC2)N3CCC(CC3)C(=O)O
2355,Fc1ccccc1C(=O)Nc2c(cnn2c3ccccc3)C#N
2477,CCN(CC)CCN1C(=O)[C@@](O)(c2ccccc2Cl)c3c1cc(cc3C(F)(F)F)C(=O)N
2434,OC(=O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
4150,Nc1ccc2cn[nH]c2c1
2145,C[C@H]1O[C@H]([C@H](O)[C@H]1Cl)n2cnc3c(N)nc(OCC4CC45CC5)nc23
2107,CC(C)Oc1cc(OCCN2CCOCC2)cc3ncnc(Nc4c(Cl)ccc5OCOc45)c13
1420,O=C1C=CN=C2C=CC=CN12
327,CC(C)N1CCN(Cc2oc(nc2)c3cc(cc4[nH]ncc34)c5cccc6[nH]ccc56)CC1
1273,CCC(C)(CC)C[C@@H](N1CCC[C@@H](C1)N2C=C(C)C(=O)NC2=O)c3ccc(C(=O)O)c(Oc4cccc(Br)c4)c3
1436,CCC(N1NC(=O)c2nc3cc(Cl)ccc3c(O)c2C1=O)c4cccnc4
3281,Cn1cnc(c2ccccc2)c1c3nc4c(N)ncnc4s3
1792,Cn1cc(cc1c2c3C(=O)N(CC=C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56)C#N
1296,Cc1onc(NC(=O)CSc2nc(C)cc(C)n2)c1
564,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccccc3C(F)(F)F)c2C(=O)N4CC(C)(O)C4
2164,CCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O
666,CCNCc1cnc(s1)c2ccc(cc2)C(=O)Nc3ccccc3N
2534,Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4ncc(CN5CCOCC5)s4
1355,CN1CCc2c(NC(=O)Cc3ccccc3)c4ccccc4nc12
1371,COc1ccccc1C2=COc3cc(O)ccc3C2=O
620,Cc1cc(C)c2c(N)c(sc2n1)C(=O)NCc3ccccc3
84,Oc1cc(nc2ccnn12)c3ccccc3
874,CC1=CN([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(F)c4)c3)C2)C(=O)NC1=O
3116,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4cc(Cl)ccn34)N5CCN(CC5)C(=O)C
2250,Cn1nnc(n1)c2ccc(cn2)c3ccc(cc3F)N4C[C@H](COc5ccon5)OC4=O
1388,O=C(N1CCNCC1)c2cc3ccccc3[nH]2
3705,Cn1c(ccc1c2ccc3NC(=O)OC(C)(C)c3c2)C#N
3643,COc1ccccc1N2CCN(CCN(C(=O)C3CCCCC3)c4ccccn4)CC2
2274,CN(C)CCCNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4ccccn34)cc1
3527,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN(C)C
1783,O=C1CCOc2nc(COc3ccccc3)ccc12
1142,C[C@H]1CCCN1CCc2oc3ccc(cc3c2)c4ccc(cc4)C#N
2572,COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OCCCN4CCOCC4
72,Cn1cncc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56
204,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3cccc4ncccc34)c2C(=O)N5CC[C@@H](O)C5
1751,CCCCC[C@@H](N1CCC[C@@H](C1)N2C=C(C)C(=O)NC2=O)c3ccc(C(=O)O)c(Oc4cccc(Br)c4)c3
3417,CC(=O)c1noc(C)c1C(=O)Nc2nccs2
2236,C[C@H](CO)Nc1nc(SCc2csc(C)n2)nc3nc(N)sc13
2681,CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1
1293,Nc1nc(ns1)c2ccccc2
1702,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
1187,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCN(CC5)C(=O)N
1220,COc1cccc(COCC(O)CN2CCC(CC2)C(=O)N)c1
3048,CC(C)N1C(=O)N(C)C(=O)c2c1sc(Cc3ccccc3C(F)(F)F)c2C(=O)N4CCS(=O)(=O)C4
1836,Nc1nccc(n1)c2cc3C(=O)NC[C@@H](CCF)c3[nH]2
535,CN(C)CCOc1cc(NS(=O)(=O)c2c(Cl)cc(cc2Cl)C(F)(F)F)ccc1Cl
561,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1
2727,Cc1nsc(C)c1CCC2CCN(CC2)S(=O)(=O)CC3(CCOCC3)N(O)C=O
898,CC(=O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1
306,Clc1ccc(cc1)C2(CCCC2)C(=O)Nc3oc(nn3)C(=O)Nc4ccc(cc4)N5CCOCC5
3979,CCC(=O)N1CCN(CC1)C(=O)c2cc(CC3=NNC(=O)c4ccccc34)ccc2F
3683,NC1=CC2=NNC(=O)N2c3cc(ccc13)c4ccsc4
870,CC(C)N1CCN[C@H](C1)C(=O)N2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3
1699,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)Cc4ccc(cc4)C#N
819,O=S(=O)(Cc1cc(nc(n1)c2ccccn2)N3CCOCC3)c4ccccc4
1784,Nc1nc2ccccc2n1C(=O)c3ccccc3
3239,CN(C)CCCN1c2ccccc2Sc3ccccc13
3058,CN(C(=O)C)c1ccc2ccn(c3cc(NC4CC4)n5ncc(C#N)c5n3)c2c1
155,COC(=O)C1=Nc2c(N[C@H](C)CO)nc(SCc3cccc(F)c3F)nc2NC1=O
174,CCOc1ncc(C)c2NC(=C([C@@H](c3ccc(cc3OC)C#N)c12)C(=O)N)C
1997,COc1cnccc1COc2cnc(nc2)N3CCN(CC3)C(=O)OC(C)(C)C
1028,COC(=O)COc1ccc(O)cc1
866,COc1ccc2N=CC(=O)N(CCN3CC[C@H](NCc4cc5OCCOc5cn4)[C@H](O)C3)c2c1
2425,COCCC(=O)N[C@@H](C)c1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1
483,NCc1nc2ccccc2[nH]1
1467,CC1=NC(=C(NC1=O)c2ccc(CN3CCC(CC3)N4C(=O)Nc5ccccc45)cc2)c6ccccc6
496,OC(=O)c1cc(ccc1O)c2ccc(F)cc2F
1595,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(F)c(F)c4
2316,Clc1ccc(Nc2nnc(Cc3ccncc3)c4ccccc24)cc1
339,CS(=O)(=O)Cc1cc(nc(n1)c2cnc3[nH]ccc3c2)N4CCOCC4
3541,CNc1nc2nc(SCc3cccc(F)c3F)nc(N[C@H](C)CO)c2s1
471,NC(=O)c1cnc(N[C@H]2CCCNC2)c3cc(sc13)c4ccc(F)c(Cl)c4
3978,CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1
3873,FC(F)(F)Oc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1
3628,C[C@@H](NC(=O)[C@@H]1CCCC[C@H]1C(=O)N2CCc3[nH]c4ccc(F)cc4c3C2)C#N
2755,O=C(CN1CCOCC1)Nc2ccc(cc2c3ccccc3)c4cccc5C(=O)C=C(Oc45)N6CCOCC6
700,CN(c1ccc(c(C)c1)c2cc(ccc2OCC(=O)O)C(F)(F)F)S(=O)(=O)C
484,OC(=O)c1cc(nc2ccc(F)cc12)c3ccncc3
673,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccc2)C1)C(C)(C)C
2974,CCN(C1CCN(CC[C@H](N2CCN(CC2)S(=O)(=O)C(F)(F)F)c3ccccc3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C
2553,CCCc1c(O)c(ccc1OCc2ccc(cc2OC)c3nn[nH]n3)C(=O)C
2586,Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4ncc[nH]4
2079,OC1(CN2CCC1CC2)c3ccc(cc3)c4ccccc4
1164,Cn1cncc1c2c3C(=O)N(CC#CCO)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56
3351,C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2cccnc2)c3ccc(F)cc3)C(C)(C)C
3613,COc1cc(Nc2c(cnc3cc(OC)c(OC)cc23)C#N)cc(OC)c1
1259,C[C@@H]1CN(CCN1c2ncc(OCc3ccc(cc3)C#N)cn2)C(=O)OC(C)(C)C
3590,COc1cc(cc2cnc(Nc3ccc(cc3)[C@@H](C)NC(=O)C)nc12)c4ccncc4
3957,CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN2CCC3(CC2)Cc4cc(F)ccc4O3
1127,Cc1ccc2nc(CCNCCCO)ccc2c1NC(=O)CC34CC5CC(CC(C5)C3)C4
2508,Cc1c(Sc2ccc(Cl)cc2)c3c(cccc3n1CC(=O)O)c4cnccn4
1443,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2F)n1
3014,O[C@H](CNC(=O)c1cnnc2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
981,CN(C)CC1CCn2c(C1)c(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26
3101,FC1(F)Oc2ccc(\C=C\3/SC(=O)NC3=O)cc2O1
765,Cc1c(Sc2ccc(Cl)cc2)c3cc(F)ccc3n1CC(=O)O
