Eqn,Compound Number,Name,Formula,CAS,Mol. Wt.,C1,C2,C3,C4,"Tmin, K",Density at Tmin,"Tmax, K",Density at Tmax
105,1,Acetaldehyde,C2H4O,75-36708,44.05256,1.711365,0.26355,466,0.28571,149.078,21.423,466.00,6.4935
105,2,Acetamide,C2H5NO,60-35-5,59.0672,1.016,0.21845,761,0.26116,353.033,16.936,761.00,4.659
105,3,Aceticacid,C2H4O2,64-19-7,60.052,1.4486,0.25892,59195,0.2529,289.081,17.492,591.095,5.5948
105,4,Aceticanhydride,C4H6O3,108-24-7,102.08864,0.79388,0.24119,606,0.29817,200.015,11.626,606.00,3.2915
105,5,Acetone,C3H6O,67-64-1,58.07914,1.2332,0.25886,5082,0.2913,178.045,15.683,508.020,4.7640
105,6,Acetonitrile,C2H3N,75-43959,41.0519,1.0693,0.2656,5455,0.24699,229.032,20.544,545.050,5.1767
105,7,Acetylene,C2H2,74-86-2,26.03728,2.457,0.27448,3083,0.28752,192.040,23.692,308.030,8.9285
105,8,Acrolein,C3H4O,107-43869,56.06326,1.3261,0.26124,506,0.2489,185.045,16.822,506.00,5.0762
105,9,Acrylicacid,C3H4O2,79-44111,72.06266,1.2414,0.25822,615,0.3701,286.015,14.693,615.00,4.875
105,10,Acrylonitrile,C3H3N,107-13-1,53.0626,1.0379,0.22465,540,0.28921,189.063,17.254,540.00,4.621
105,11,Air,Mixture,132259-36800,28.96,2.8963,0.26733,13245,0.27341,59.15,33.279,132.045,10.8340
105,12,Ammonia,H3N,7664-41-7,17.03052,3.5383,0.25443,40565,0.2888,195.041,43.141,405.065,13.970
105,13,Anisole,C7H8O,100-66-3,108.013782,0.77488,0.26114,6456,0.28234,235.065,9.6675,645.060,2.9673
105,14,Argon,Ar,7440-37-1,39.948,3.8469,0.2881,15086,0.29783,83.78,35.491,150.086,13.3530
105,15,Benzamide,C7H7NO,55-21-0,121.013658,0.7371,0.25487,824,0.28571,403.00,8.9381,824.00,2.8921
105,16,Benzene,C6H6,71-43-2,78.11184,1.0259,0.26666,5625,0.28394,278.068,11.422,562.05,3.8472
105,17,Benzenethiol,C6H6S,108-98-5,110.017684,0.83573,0.26326,689,0.3798,258.027,10.074,689.00,3.1745
105,18,Benzoicacid,C7H6O2,65-85-0,122.012134,0.71587,0.24812,751,0.2857,395.045,8.8935,751.00,2.8852
105,19,Benzonitrile,C7H5N,100-47-0,103.01213,0.72184,0.24606,7023,0.28789,260.028,10.08,702.030,2.9336
105,20,Benzophenone,C13H10O,119-61-9,182.02179,0.43743,0.24833,830,0.27555,321.035,5.9496,830.00,1.7615
105,21,Benzylalcohol,C7H8O,100-51-6,108.013782,0.59867,0.22849,72015,0.23567,257.085,9.951,720.015,2.621
105,22,Benzylethylether,C9H12O,539-30-0,136.019098,0.6917,0.26925,662,0.2632,275.065,7.0651,662.00,2.2625
105,23,Benzylmercaptan,C7H8S,100-53-8,124.020342,0.7797,0.25982,718,0.32144,243.095,8.8623,718.00,2.7248
105,24,Biphenyl,C12H10,92-52-4,154.02078,0.52257,0.25833,773,0.2726,342.020,6.4251,773.00,2.0229
105,25,Bromine,Br2,6-95-6,159.0808,2.1872,0.29527,58415,0.3295,265.085,20.19,584.015,7.475
105,26,Bromobenzene,C6H5Br,108-86-1,157.079,0.8226,0.26632,67015,0.2821,242.043,9.987,670.015,3.0888
105,27,Bromoethane,C2H5Br,74-96-4,108.0965,1.3285,0.278,5038,0.312,154.025,15.89,503.080,4.958
105,28,Bromomethane,CH3Br,74-83-9,94.93852,1.796,0.2765,464,0.28947,173.00,20.787,464.00,6.6359
105,29,"1,2-Butadiene",C4H6,590-19-2,54.09044,1.187,0.26114,452,0.365,136.095,15.123,452.00,4.5455
105,30,"1,3-Butadiene",C4H6,106-99-0,54.09044,1.2346,0.27216,425,0.28707,164.025,14.058,425.00,4.5363
105,31,Butane,C4H10,106-97-8,58.1222,1.0677,0.27188,42512,0.28688,134.086,12.62,425.012,3.9271
105,32,"1,2-Butanediol",C4H10O2,584-43892,90.121,0.81696,0.24755,680,0.24535,220.00,11.734,680.00,3.32
105,33,"1,3-Butanediol",C4H10O2,107-88-0,90.121,0.81856,0.24967,676,0.2223,196.015,11.872,676.00,3.2786
105,34,1-Butanol,C4H10O,71-36-3,74.1216,0.98279,0.2683,5631,0.25488,183.085,12.035,563.010,3.6630
105,35,2-Butanol,C4H10O,78-92-2,74.1216,0.97552,0.26339,5359,0.26864,158.045,12.473,535.090,3.737
105,36,1-Butene,C4H8,106-98-9,56.1632,1.0877,0.26454,4195,0.2843,87.80,14.264,419.050,4.1117
105,37,cis-2-Butene,C4H8,590-18-1,56.1632,1.1591,0.2785,4355,0.28116,134.026,13.894,435.050,4.2795
105,38,trans-2-Butene,C4H8,624-64-6,56.1632,1.1448,0.27154,4286,0.28419,167.062,13.08,428.060,4.2160
105,39,Butylacetate,C6H12O2,123-86-4,116.015828,0.67794,0.2637,5754,0.29318,199.065,8.3365,575.040,2.579
105,40,Butylbenzene,C10H14,104-51-8,134.021816,0.5812,0.25238,6605,0.29373,185.030,7.0264,660.050,2.0133
105,41,Butylmercaptan,C4H10S,109-79-5,90.1872,0.89458,0.27463,5701,0.28512,157.046,10.585,570.010,3.2574
105,42,sec-Butylmercaptan,C4H10S,513-53-1,90.1872,0.89137,0.27365,554,0.2953,133.02,10.761,554.00,3.2573
105,43,1-Butyne,C4H6,107-00-6,54.09044,1.349,0.27892,440,0.29661,147.043,14.91,440.00,4.875
105,44,Butyraldehyde,C4H8O,123-72-8,72.1572,1.033873,0.266739,5372,0.28571,176.080,12.62,537.020,3.8760
105,45,Butyricacid,C4H8O2,107-92-6,88.151,0.88443,0.25828,6157,0.248,267.095,11.087,615.070,3.4243
105,46,Butyronitrile,C4H7N,109-74-0,69.151,0.79716,0.23168,5854,0.2871,161.030,13.087,585.040,3.448
105,47,Carbondioxide,CO2,124-38-9,44.095,2.768,0.26212,30421,0.298,216.058,26.828,304.021,10.5600
105,48,Carbondisulfide,CS2,75-15-0,76.1407,1.7968,0.28749,552,0.3226,161.011,19.064,552.00,6.250
105,49,Carbonmonoxide,CO,630-36739,28.0101,2.897,0.27532,13292,0.2813,68.15,30.18,132.092,10.5220
105,50,Carbontetrachloride,CCl4,56-23-5,153.08227,0.99835,0.274,55635,0.287,250.033,10.843,556.035,3.6436
105,51,Carbontetrafluoride,CF4,75-73-0,88.043,1.955,0.27884,22751,0.28571,89.56,21.211,227.051,7.0112
105,52,Chlorine,Cl2,7782-50-5,70.96,2.23,0.27645,41715,0.2926,172.012,24.242,417.015,8.0666
105,53,Chlorobenzene,C6H5Cl,108-90-7,112.05569,0.8711,0.26805,63235,0.2799,227.095,10.385,632.035,3.2498
105,54,Chloroethane,C2H5Cl,75-00-3,64.5141,1.39625,0.26867,46035,0.28571,136.075,17.055,460.035,5.1969
105,55,Chloroform,CHCl3,67-66-3,119.037764,1.0841,0.2581,5364,0.2741,209.063,13.72,536.040,4.23
105,56,Chloromethane,CH3Cl,74-87-3,50.4875,1.8651,0.2627,41625,0.28571,175.043,22.272,416.025,7.0997
105,57,1-Chloropropane,C3H7Cl,540-54-5,78.54068,1.12465,0.2728,50315,0.28571,150.035,13.333,503.015,4.1226
105,58,2-Chloropropane,C3H7Cl,75-29-6,78.54068,1.122,0.27669,489,0.27646,155.097,12.855,489.00,4.0486
105,59,m-Cresol,C7H8O,108-39-4,108.013782,0.961,0.28268,70585,0.277,285.039,9.6115,705.085,3.254
105,60,o-Cresol,C7H8O,95-48-7,108.013782,0.95937,0.2882,69755,0.2857,304.019,9.5725,697.055,3.3288
105,61,p-Cresol,C7H8O,106-44-5,108.013782,1.153,0.31861,70465,0.3104,307.093,9.4494,704.065,3.614
105,62,Cumene,C9H12,98-82-8,120.019158,0.58711,0.25583,631,0.28498,177.014,7.9387,631.00,2.2949
105,63,Cyanogen,C2N2,460-19-5,52.0348,1.785,0.26846,40015,0.2679,245.025,18.517,400.015,6.6323
105,64,Cyclobutane,C4H8,287-23-0,56.1632,1.3931,0.29255,45993,0.24913,182.048,14.074,459.093,4.7619
105,65,Cyclohexane,C6H12,110-82-7,84.15948,0.88998,0.27376,5538,0.28571,279.069,9.384,553.080,3.259
105,66,Cyclohexanol,C6H12O,108-93-0,100.015888,0.8243,0.26545,6501,0.28495,296.060,9.4693,650.010,3.153
105,67,Cyclohexanone,C6H10O,108-94-1,98.143,0.86464,0.26888,653,0.29943,242.00,10.09,653.00,3.2157
105,68,Cyclohexene,C6H10,110-83-8,82.1436,0.92997,0.2756,5604,0.28943,169.067,11.16,560.040,3.4372
105,69,Cyclopentane,C5H10,287-92-3,70.1329,1.0897,0.28356,5117,0.25142,179.028,11.96,511.070,3.8429
105,70,Cyclopentene,C5H8,142-29-0,68.11702,1.135,0.2735,507,0.28699,138.013,13.47,507.00,4.0817
105,71,Cyclopropane,C3H6,75-19-4,42.07974,1.7411,0.28205,398,0.29598,145.059,18.658,398.00,6.1730
105,72,Cyclohexylmercaptan,C6H12S,1569-69-3,116.022448,0.78578,0.27882,664,0.3167,189.064,8.948,664.00,2.8182
105,73,Decanal,C10H20O,112-31-2,156.02652,0.478542,0.275162,674,0.28571,285.00,5.2396,674.00,1.7391
105,74,Decane,C10H22,124-18-5,142.028168,0.4184,0.25175,6177,0.28571,243.051,5.3927,617.070,1.6319
105,75,Decanoicacid,C10H20O2,334-48-5,172.0265,0.39348,0.2492,7221,0.28571,304.055,5.189,722.010,1.5790
105,76,1-Decanol,C10H22O,112-30-1,158.02818,0.38208,0.24645,688,0.26125,280.05,5.269,688.00,1.553
105,77,1-Decene,C10H20,872-43960,140.02658,0.43981,0.25661,6166,0.29148,206.089,5.7328,616.060,1.7139
105,78,Decylmercaptan,C10H22S,143-44106,174.034668,0.44289,0.27636,696,0.27668,247.056,5.048,696.00,1.626
105,79,1-Decyne,C10H18,764-93-2,138.024992,0.46877,0.25875,61985,0.29479,229.015,5.8954,619.085,1.8117
105,80,Deuterium,D2,7782-39-0,4.0316,5.2115,0.315,38.35,0.28571,18.73,42.945,38.35,16.5440
105,81,"1,1-Dibromoethane",C2H4Br2,557-91-5,187.086116,0.95523,0.26364,628,0.29825,210.015,11.799,628.00,3.6232
105,82,"1,2-Dibromoethane",C2H4Br2,106-93-4,187.086116,1.0132,0.26634,65015,0.28571,282.085,11.74,650.015,3.842
105,83,Dibromomethane,CH2Br2,74-95-3,173.083458,1.1136,0.24834,611,0.27583,220.060,15.358,611.00,4.4842
105,84,Dibutylether,C8H18O,142-96-1,130.022792,0.55941,0.27243,5841,0.29932,175.030,6.671,584.010,2.0534
105,85,m-Dichlorobenzene,C6H4Cl2,541-73-1,147.0196,0.74495,0.26147,68395,0.31526,248.039,9.127,683.095,2.8491
105,86,o-Dichlorobenzene,C6H4Cl2,95-50-1,147.0196,0.74404,0.26112,705,0.3815,256.015,9.1658,705.00,2.8494
105,87,p-Dichlorobenzene,C6H4Cl2,106-46-7,147.0196,0.74858,0.26276,68475,0.3788,326.014,8.5175,684.075,2.8489
105,88,"1,1-Dichloroethane",C2H4Cl2,75-34-3,98.95916,1.155,0.26533,523,0.287,176.019,13.549,523.00,4.1665
105,89,"1,2-Dichloroethane",C2H4Cl2,107-43984,98.95916,1.2591,0.27698,5616,0.3492,237.049,13.462,561.060,4.5458
105,90,Dichloromethane,CH2Cl2,75-44076,84.93258,1.3897,0.25678,510,0.292,178.01,17.974,510.00,5.4120
105,91,"1,1-Dichloropropane",C3H6Cl2,78-99-9,112.098574,0.9551,0.27794,560,0.24132,192.050,10.925,560.00,3.4364
105,92,"1,2-Dichloropropane",C3H6Cl2,78-87-5,112.098574,0.89833,0.26142,572,0.2868,172.071,11.526,572.00,3.4363
105,93,Diethanolamine,C4H11NO2,111-42-2,105.013564,0.68184,0.23796,7366,0.262,301.015,10.39,736.060,2.8654
105,94,Diethylamine,C4H11N,109-89-7,73.13684,0.85379,0.25675,4966,0.2727,223.035,10.575,496.060,3.3254
105,95,Diethylether,C4H10O,60-29-7,74.1216,0.9554,0.26847,4667,0.2814,156.085,11.487,466.070,3.5587
105,96,Diethylsulfide,C4H10S,352-93-2,90.1872,0.82227,0.26314,55715,0.27369,169.020,10.47,557.015,3.1248
105,97,"1,1-Difluoroethane",C2H4F2,75-37-6,66.04997,1.4345,0.25774,38644,0.28178,154.056,18.06,386.044,5.5657
105,98,"1,2-Difluoroethane",C2H4F2,624-72-6,66.04997,1.173,0.22856,445,0.28571,179.060,18.336,445.00,5.1321
105,99,Difluoromethane,CH2F2,75-44109,52.02339,1.9973,0.24653,35126,0.28153,136.095,27.399,351.026,8.117
105,100,Di–sopropylamine,C6H15N,108-18-9,101.019,0.6181,0.25786,5231,0.271,176.085,8.0541,523.010,2.3970
105,101,Di–sopropylether,C6H14O,108-20-3,102.017476,0.69213,0.26974,5005,0.28571,187.065,8.0673,500.05,2.5659
105,102,Di–sopropylketone,C7H14O,565-80-0,114.018546,0.64619,0.26881,576,0.2836,204.081,7.6796,576.00,2.439
105,103,"1,1-Dimethoxyethane",C4H10O2,534-15-6,90.121,0.89368,0.26599,5078,0.28571,159.095,11.029,507.080,3.3598
105,104,"1,2-Dimethoxypropane",C5H12O2,7778-85-0,104.014758,0.76327,0.26742,543,0.28571,226.010,8.8431,543.00,2.8542
105,105,Dimethylacetylene,C4H6,503-17-3,54.09044,1.1717,0.25895,4732,0.27289,240.091,13.767,473.020,4.5248
105,106,Dimethylamine,C2H7N,124-40-3,45.08368,1.5436,0.27784,4372,0.2572,180.096,16.964,437.020,5.5557
105,107,"2,3-Dimethylbutane",C6H14,79-29-8,86.17536,0.7565,0.27305,500,0.27408,145.019,9.031,500.00,2.776
105,108,"1,1-Dimethylcyclohexane",C8H16,590-66-9,112.021264,0.55873,0.25143,59115,0.27758,239.066,7.3417,591.015,2.2222
105,109,"cis-1,2-Dimethylcyclohexane",C8H16,2207-43834,112.021264,0.52953,0.24358,60615,0.26809,223.016,7.5783,606.015,2.1739
105,110,"trans-1,2-Dimethylcyclohexane",C8H16,6876-23-9,112.021264,0.54405,0.2526,59615,0.2658,184.099,7.6258,596.015,2.1739
105,111,Dimethyldisulfide,C2H6S2,624-92-0,94.19904,1.158,0.27866,615,0.3182,188.044,12.413,615.00,3.9683
105,112,Dimethylether,C2H6O,115-44110,46.06844,1.5693,0.2679,4001,0.2882,131.065,18.95,400.010,5.8578
105,113,"N,N-Dimethylformamide",C3H7NO,68-44167,73.09378,0.89615,0.23478,6496,0.2891,212.072,13.954,649.060,3.8170
105,114,"2,3-Dimethylpentane",C7H16,565-59-3,100.020194,0.72352,0.28629,5373,0.27121,141.023,7.9932,537.030,2.5272
105,115,Dimethylphthalate,C10H10O4,131-44138,194.0184,0.47977,0.25428,766,0.3722,274.018,6.2334,766.00,1.8868
105,116,Dimethylsilane,C2H8Si,1111-74-6,60.17042,1.0214,0.26351,402,0.28421,122.093,12.898,402.00,3.8761
105,117,Dimethylsulfide,C2H6S,75-18-3,62.134,1.429,0.27991,5034,0.2741,174.088,15.556,503.04,5.0120
105,118,Dimethylsulfoxide,C2H6OS,67-68-5,78.13344,1.196,0.25189,729,0.3311,291.067,14.111,729.00,4.451
105,119,Dimethylterephthalate,C10H10O4,120-61-6,194.0184,0.48611,0.25715,7774,0.28571,413.079,5.6397,777.040,1.894
105,120,"1,4-Dioxane",C4H8O2,123-91-1,88.1512,1.1819,0.2813,587,0.347,284.095,11.838,587.00,4.216
105,121,Diphenylether,C12H10O,101-84-8,170.02072,0.52133,0.26218,7668,0.3133,300.03,6.2648,766.080,1.9884
105,122,Dipropylamine,C6H15N,142-84-7,101.019,0.659,0.26428,550,0.2766,210.015,7.9929,550.00,2.4936
