SMILES,pKa
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,6.3
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,5.5
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,6.0
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,6.0
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,6.05
CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,3.5
CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,5.15
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.5
Cc1nc(NC(=O)CCCC(=O)O)sc1C,2.5
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,3.5
Cc1cccc(Nc2ccccc2C(=O)O)c1C,4.5
CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,6.1
CC1OC(O[C@H]2/C=C\C=C/C=C\C=C/C=C\C=C/C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]3(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C2)O3)C(O)C(N)C1O,3.1
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,3.35
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,6.25
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,3.0
Nc1ccc(C(=O)O)c(O)c1,3.4
O=C(O)c1cccnc1,2.4
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,3.5
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4.3
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,3.5
O=C(N[C@H]1CCCC[C@H]1C(=O)O)c1ccccc1,3.3
O=C(O)c1ccccc1,3.96
O=C(O)CSCC(=O)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,4.0
O=C(O)c1cc(-c2ccccc2)nc(O)n1,2.5
O=C(O)c1ccccc1-c1ncc(-c2ccccc2)o1,2.9
O=C(O)c1ccccc1C(=O)Nc1nc(-c2ccccc2)cs1,3.4
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,4.54
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,4.3
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,4.3
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.8
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.1
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,3.6
CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,4.7
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,5.74
CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,3.75
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,3.4
COc1ccc(C(=O)CCC(=O)O)cc1,4.7
FC(F)(F)c1cccc(N2CCN(C3C4CC5CC(C4)CC3C5)CC2)c1,7.45
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,8.5
O=C(CN1CCCCC1)Nc1nc(-c2ccc(Cl)cc2)cs1,10.4
Nc1cc(-c2ccccc2)nc2ccc(Br)cc12,7.4
Nc1cc(-c2ccccc2)nc2ccc(Cl)cc12,7.4
NCc1cc(-c2ccccc2)nc2ccccc12,8.37
NC(=O)C1CCN(CC(=O)Nc2nc(-c3ccccc3)cs2)CC1,10.2
O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,7.7
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,7.6
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,7.45
Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,8.9
Nc1c2c(nc3ccccc13)CCCC2,9.85
Nc1c2c(nc3ccccc13)-c1ccccc1CC2,8.1
O=C(CN1CCCCC1)Nc1ncc(Cc2cccc3ccccc23)s1,10.5
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,8.7
O=C1CCCN1CC#CCN1CCCC1,8.4
c1cnc(N2CCN(C3CC4CCC3C4)CC2)nc1,8.0
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,8.2
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,7.12
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,8.5
CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,9.3
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,8.5
CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,8.5
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,8.7
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,10.0
CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,7.1
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)C32,7.9
Cc1c(Cl)cccc1-n1ncc(C(=O)Nc2nccs2)c1C1CCNCC1,9.4
Cc1ccc(C)c(N2CCN(C3C4CC5CC(C4)CC3C5)CC2)c1,7.6
Cc1ccc(C)c(N2CCN(C3CCC(C)C3)CC2)c1,7.5
Cc1ccc(C)c(N2CCN(C3CCCC(C)C3)CC2)c1,7.16
Cc1ccc(C)c(N2CCN(C3CCCCCC3)CC2)c1,7.54
Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,9.25
CC1CCC(N2CCN(c3ccccc3F)CC2)CC1,7.4
Cc1ccc(-n2ncc(C(=O)Nc3nccs3)c2C2CCNCC2)cc1C,9.5
Cc1cccc(-n2ncc(C(=O)Nc3nccs3)c2C2CCNCC2)c1,9.5
CC1CCN(CC(=O)Nc2nc(-c3ccccc3)cs2)CC1,10.5
COc1ccc2nc(NC(=O)CN3CCC(C)CC3)sc2c1,10.0
CC1CCN(CC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)CC1,10.6
Cc1cnc(NC(=O)CN2CCCCC2)s1,10.6
