chemical_name,cas,smiles,canonical_smiles,log_p,log_s,kow,water-energy,pka
D.D.T.,50-29-3,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,5.021,-6.742999999999999,6.2810000000000015,-3.8169999999999997,11.892
D-Glucitol,50-70-4,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-2.144,0.561,-3.462,-23.121,6.28
Aspirin,50-78-2,CC(=O)Oc1ccccc1C(O)=O,CC(=O)Oc1ccccc1C(=O)O,-0.947,-2.434,1.188,-8.482999999999999,3.623
L-Ascorbic acid,50-81-7,OCC(O)C1OC(=C(O)C1=O)O,O=C1C(O)=C(O)OC1C(O)CO,-1.083,-0.049,-2.063,-15.229000000000001,6.023
D-Glucose,50-99-7,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-2.011,0.46799999999999997,-3.537,-23.087,7.241
"Phenol, 2,4-dinitro-",51-28-5,Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,0.8759999999999999,-2.306,1.625,-8.606,4.525
Furosemide,54-31-9,N[S](=O)(=O)c1cc(C(O)=O)c(NCc2occc2)cc1Cl,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-0.279,-2.8169999999999997,1.97,-13.144,5.145
Fenthion,55-38-9,CO[P](=S)(OC)Oc1ccc(SC)c(C)c1,COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.697,-4.577,4.368,-5.779,-0.199
Chlorhexidine,55-56-1,NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2,NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1,1.987,-3.7739999999999996,2.392,-11.573,10.103
Nitroglycerin,55-63-0,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-0.961,-1.9409999999999998,1.834,-5.888999999999999,7.281
"Methane, tetrachloro-",56-23-5,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,4.924,-2.481,2.756,-0.131,12.905
"Distannoxane, hexabutyl-",56-35-9,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,5.519,-5.5889999999999995,8.705,-2.479,6.211
Parathion,56-38-2,CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.399,-4.36,3.682,-6.765,4.955
Glycine,56-40-6,NCC(O)=O,NCC(=O)O,-4.433,0.6920000000000001,-3.643,-12.64,7.076
Glycerol,56-81-5,OCC(O)CO,OCC(O)CO,-2.492,0.905,-1.707,-14.573,5.568
L-Aspartic acid,56-84-8,N[C@@H](CC(O)=O)C(O)=O,N[C@@H](CC(=O)O)C(=O)O,-4.72,0.18,-4.227,-15.005,5.702
Glutamic acid,56-86-0,N[C@@H](CCC(O)=O)C(O)=O,N[C@@H](CCC(=O)O)C(=O)O,-3.15,-0.182,-3.917,-14.07,6.092
