Fragment,SMARTS
Ester,[#6](=O)[OX2H0]
Carboxylic Acid,[#6](=O)[OX2H1]
Aldehyde,[CX3H1](=O)[#6]
Ketone,[#6][CX3](=O)[#6]
Acyl Halide,"[cX3,CX3](=[OX1])[F,Cl,Br,I]"
Alkyl Halide,"[#6;!$(C=O)][F,Cl,Br,I]"
Ether,[#6;!$(C=O)][OD2][#6;!$(C=O)]
Amide,[NX3][CX3](=[OX1])[#6]
Amine,"[NX3;H2,H1;!$(NC=O)]"
Nitrile,[NX1]#[CX2]
Nitrate,"[$([NX3](=[OX1])(=[OX1])O),$([NX3+]([OX1-])(=[OX1])O)]"
Phenol,[OX2H][cX3]
Peroxide,"[OX2,OX1-][OX2,OX1-]"
Thiol,[SX2H]
Sulfide,[SX2H0]
Alcohol,[#6;!$(C=O)][OX2H]
