Fragment,SMARTS
Ester,"[#6](=O)[OX2H0]"
Alcohol,"[#6;!$(C=O)][OX2H]"
Ketone,"[#6][CX3](=O)[#6]"
Aldehyde,[CX3H1](=O)[#6]
Alkyl Halide,"[#6;!$(C=O)][F,Cl,Br,I]"
Primary Amine,"[NX3;H2;!$(NC=O)]"
Secondary Amine,"[NX3;H1;!$(NC=O)]"
Tertiary Amine,"[NX3;H0;!$(NC=O)]"
Amide,"[OX1]=CN"
Nitrile,"[NX1]#[CX2]"
Sulfonyl Halide,"[$([#16X4](=[OX1])(=[OX1])([#6])[F,Cl,Br,I]),$([#16X4+2]([OX1-])([OX1-])([#6])[F,Cl,Br,I])]"
Sulfonic Ester,"[$([#16X4](=[OX1])(=[OX1])([#6])[OX2H0]),$([#16X4+2]([OX1-])([OX1-])([#6])[OX2H0])]"

Arene Carbon,c
Alkyne Carbon H1,"[$([CH1]#[*]);!$(C#N)]"
Alkyne Carbon H0,"[$([CH0]#[*]);!$(C#N)]"
Alkene Carbon H2,"[$([CH2]=[#6])]"
Alkene Carbon H1,"[$([CH1]=[#6])]"
Alkene Carbon H0,"[$([CH0]=[#6])]"
Alkane Carbon H3,"[$([CH3][#6]);!$(C=[*])]"
Alkane Carbon H2,"[$([CH2][#6]);!$(C=[*])]"
Alkane Carbon H1,"[$([CH1][#6]);!$(C=[*])]"
Alkane Carbon H0,"[$([CH0][#6]);!$(C=[*]);!$(C#[*])]"
