fragment,number_of_rel,sum_difficulty,avg_difficulty
c<-X>c<-X>cc<-X>c<-X>,12,26.23441986400619,2.186201655333849
c<-X>c-c(c<-X>)c<-X>,11,25.624324647863645,2.329484058896695
c<-X>c<-X>c(c<-X>)-c,9,20.635575034573414,2.292841670508157
cc-c(c<-X>)c<-X>,9,17.60234830699219,1.9558164785546879
c<-X>cc<-X>cO,8,14.48187399869485,1.8102342498368562
cc<-X>c<-X>c-c,8,13.324097058547448,1.665512132318431
cc-n(c<=O>)n,8,11.41450230521826,1.4268127881522825
c<-X>c<-X>c<-X>c<-X>c<-X>,7,14.2959555562077,2.0422793651725284
c<-NO2>cN,7,14.184361604713844,2.026337372101978
c<-NO2>cNC,7,14.184361604713844,2.026337372101978
c<-NO2>c(c<-NO2>)N,7,14.184361604713844,2.026337372101978
cc<-NO2>cN,7,14.184361604713844,2.026337372101978
c<-NO2>c(c<-NO2>)NC,7,14.184361604713844,2.026337372101978
c<-NO2>cN(C)C,7,14.184361604713846,2.026337372101978
cc<-NO2>cNC,7,14.184361604713844,2.026337372101978
cc<-NO2>c(c<-NO2>)N,7,14.184361604713844,2.026337372101978
c<-X>cc<-X>cc<-X>,7,13.333491841846495,1.9047845488352135
cc<-X>c(c<-X>)-c,7,13.034626492118079,1.8620894988740113
C(<-X>)(<-X>)<-X>C,7,12.572792781230744,1.7961132544615348
C<-X>CCC<-X>,7,11.781873891273762,1.6831248416105373
C<-X>CC(C)C<-X>,7,11.781873891273762,1.6831248416105373
cc<-X>cc,7,11.577716737390979,1.653959533912997
C<=O>CCC<=O>,7,11.320924125176688,1.6172748750252413
C<-X>CC,7,10.61297251943477,1.5161389313478242
ccc<=O>n,7,9.847761837357744,1.406823119622535
cc<=O>n,7,9.847761837357742,1.4068231196225347
c<=O>ccC,7,8.90628212727047,1.2723260181814957
cNN,7,5.83890727017512,0.8341296100250172
c<-NO2>cNCC,6,11.713878063857743,1.9523130106429571
ccnn,6,10.373657535567276,1.7289429225945459
c<-X>cc<-X>c<-X>c,6,10.257098584892894,1.7095164308154824
ccc<-CF3>,6,9.748558480448905,1.624759746741484
cccc<-CF3>,6,9.748558480448903,1.6247597467414838
CC<-X>C(<-X>)<-X>,6,9.731985208806542,1.6219975348010902
C<-X>=C<-X>C<-X>C(<-X>)<-X>,6,9.731985208806542,1.6219975348010902
C<-X>=C<-X>C<-X>C,6,9.731985208806542,1.6219975348010902
CC<-X>C(<-X>)<-X>C<-X>,6,9.731985208806542,1.6219975348010902
C<-X>=C<-X>C<-X>C(<-X>)<-X>C<-X>,6,9.731985208806542,1.6219975348010902
C<-X>=C<-X>C<-X>(C)C(<-X>)<-X>,6,9.731985208806542,1.6219975348010902
C<-X>C<-X>=C<-X>C<-X>C(<-X>)<-X>,6,9.731985208806542,1.6219975348010902
C<-X>=C<-X>C<-X>CC,6,9.731985208806542,1.6219975348010902
C<-X>C<-X>=C<-X>C<-X>C,6,9.731985208806542,1.6219975348010902
CCC<-X>(C<-X>)C(<-X>)<-X>,6,9.731985208806542,1.6219975348010902
C<-X>C<-X>CCC<-X>,6,9.731985208806542,1.6219975348010902
C<-X>C<-X>C(C)C,6,9.731985208806542,1.6219975348010902
CCCC<-X>C(<-X>)<-X>,6,9.731985208806542,1.6219975348010902
C(<-X>)<-X>C<-X>C(C)C,6,9.731985208806542,1.6219975348010902
CC<-X>C(<-X>)<-X>C<-X>C,6,9.731985208806542,1.6219975348010902
cOP(<=S>)(<-OEt>)<-OEt>,6,9.667929635048477,1.6113216058414128
