fragment,number_of_rel,sum_difficulty,avg_difficulty
cc,1692,5775.297353043153,3.4132963079451257
ccc,1687,5767.21490547519,3.4186217578394724
cccc,1631,5590.048719078101,3.4273750576812394
CC,1427,4874.851908585541,3.4161541055259574
cN,1405,4763.627927488739,3.390482510668142
ccN,1387,4662.427716729769,3.3615196227323496
ccccc,1360,4751.454298904581,3.4937163962533684
cn,1334,4573.1103442177955,3.4281186988139396
cccN,1316,4429.024393343151,3.365520055731878
CN,1254,4223.8561817420305,3.3683063650255427
CCN,1164,3890.6561283768815,3.3424880827980084
ncN,1083,3635.763813445248,3.3571226347601555
ccn,1058,3636.7744424406446,3.4374049550478682
cnc,1047,3649.222308282306,3.485408126344132
cccn,1041,3616.5056795042046,3.4740688563921274
ccccN,1031,3579.4858817145637,3.471858275183864
ccnc,1025,3549.520167236172,3.4629465046206556
CNC,1001,3291.359721773544,3.288071650123421
cccnc,977,3409.7751431442975,3.4900462058795267
c-c,969,3374.8839523239753,3.4828523759793346
CCNC,969,3198.806407088645,3.3011418029810575
cc-c,966,3347.8194722049207,3.465651627541326
CCC,965,3276.484145477308,3.3953203580075733
cc(c)N,932,3273.0542952270916,3.511860831788725
ccc-c,914,3207.9695353395687,3.509813495995152
ccc(c)N,897,3131.3017945763986,3.4908604175879585
cc(c)-c,888,3050.008921617656,3.4346947315514145
cNc,887,2983.8201181906234,3.3639460182532392
ccNc,885,2981.111366710401,3.3684874200117525
cNcn,879,2961.746397300741,3.3694498262807064
ccNcn,859,2926.0158640970235,3.406304847610039
cccNc,852,2826.607323986146,3.317614230030688
ccccn,851,2959.7122896152,3.4779227845066982
CCCC,842,2830.532694568137,3.361677784522728
cnn,826,2837.427824340697,3.435142644480263
ccc(c)-c,823,2868.753930573002,3.4857277406719342
nn,822,2825.5061817458604,3.4373554522455723
CCNCC,816,2704.3952732363623,3.314209893672013
cc(c)Nc,812,2739.8447472736175,3.3741930385143073
cnnc,805,2770.0584841470663,3.441066439934244
ncn,783,2649.6240564207264,3.3839387693751295
ccncc,780,2649.669680424815,3.397012410801045
cncN,776,2617.207594993923,3.372690199734437
cncn,770,2621.2239493058064,3.404186947150398
cc-cc,753,2651.4874206550303,3.5212316343360297
CCCCC,738,2496.0716451014155,3.38221090122143
ccncn,736,2460.853014461752,3.34355029138825
nncN,710,2452.701433317711,3.45450906101086
cncnc,710,2362.235255728831,3.3270919094772267
cnncN,707,2445.3136197501467,3.4587179911600376
cc-ccc,705,2519.4597334329756,3.57370174955032
ccncN,694,2331.126962419765,3.3589725683281912
ccNC,692,2262.9547186494597,3.2701657783951728
CCCN,689,2275.872801567308,3.303153558152842
CCNc,685,2225.1945320106297,3.2484591708184376
cNcnn,684,2319.974170925413,3.391775103692124
cc-c(c)c,673,2334.2862996703684,3.468478899955971
cccc-c,669,2384.875161989055,3.5648358176219057
cccNC,667,2192.692650059684,3.287395277450801
ccC,641,2203.5187554765243,3.4376267636139226
CCCCN,635,2082.4705693023634,3.279481211499785
ccNCC,635,2054.5538492963515,3.23551787290764
cc-cn,619,2131.4092340212987,3.443310555769465
c-cn,618,2147.2200364126684,3.474466078337651
cccC,606,2095.3720722282997,3.457709690145709
cc-cnc,585,2018.035330476909,3.449633043550272
nc(n)N,584,2016.7251591331267,3.453296505364943
cnc-c,583,2030.4886505184706,3.482827873959641
cnc(n)N,582,2011.5420031980339,3.4562577374536665
cncNc,576,1952.923200349012,3.39049166727259
CCCNC,559,1808.1945045049242,3.2346949991143545
cc(c)-cn,544,1857.3881399465681,3.414316433725309
ccc-cn,538,1896.6833671521142,3.525433767940733
ncncN,531,1740.4496312335039,3.277682921343698
cc(c)C,522,1794.2859847691889,3.43732947273791
ccnn,521,1811.6177568713213,3.4771933913077184
cNc(n)n,515,1781.8486538541692,3.4599002987459597
CNc,505,1671.7100653530827,3.310316961095213
ccnnc,504,1755.8426951673018,3.4838148713636943
cccnn,501,1733.2377576351937,3.4595564024654566
Cn,497,1725.719475750006,3.472272587022145
cnC,496,1725.2894757500057,3.4784062011088825
cc<-C(=O)N>c,492,1688.631838078685,3.432178532680254
CC(C)N,492,1599.8638886151632,3.251755871169031
ccccC,488,1694.8355738594528,3.473023716925108
ccc(c)C,488,1689.3814637486573,3.4618472617800355
CCC(C)N,474,1533.948502016515,3.2361782742964453
cc(n)n,469,1544.273883219105,3.2926948469490513
cnc(c)n,469,1544.273883219105,3.2926948469490513
ccc(n)n,466,1530.7683172608392,3.284910552061887
cn(c)n,459,1573.6921903214932,3.4285232904607694
ccn(c)n,459,1573.6921903214932,3.4285232904607694
ccnc-c,458,1663.4077841351068,3.631894725185823
ncnn,456,1573.4320479587357,3.4505088771024903
cnn(c)c,453,1556.7392805189704,3.4365105530220097
cc<-C(=O)N>,452,1548.903028522545,3.4267766117755416
ccN(C)C,452,1482.9240892111286,3.280805507104267
cnncn,448,1551.29598222112,3.462714246029286
cncnn,444,1538.0553190116723,3.4640885563325954
cc<-X>,426,1403.8960508208397,3.2955306357296705
cc(-c)n,423,1499.3532843581804,3.54457041219428
CN(C)C,420,1378.5532185851434,3.2822695680598653
CCN(C)C,416,1366.4723723608458,3.2847893566366486
cc(n)nn,410,1357.2528211889498,3.3103727346071947
cn(n)cn,410,1347.4196085370497,3.2863892891147555
