fragment,number_of_rel,sum_difficulty,avg_difficulty
CccN,26,25.291415024839715,0.9727467317246045
ccc[nH]c<=O>,26,24.93526814601149,0.9590487748465958
cc<-N>,26,22.280432463505853,0.8569397101348405
cccsc,25,26.017531391459663,1.0407012556583866
ccccs,25,26.017531391459656,1.0407012556583863
cc(C)cN,25,23.480038024033945,0.9392015209613578
C=CC<=O>,25,23.168128387975948,0.9267251355190379
C=CC<=O>N,24,22.72395205995756,0.9468313358315651
cccco,24,22.26518434502635,0.9277160143760979
c<-N>nc,24,22.118531419974076,0.9216054758322532
coc,24,21.870551523284842,0.9112729801368684
cc(O)cC,24,21.706608100136343,0.9044420041723477
C(<-X>)(<-X>)<-X>NC,24,21.069279781213258,0.8778866575505524
ccc<-N>,24,20.71632718171186,0.8631802992379942
C<=O>N<-O>,24,18.86928296243259,0.7862201234346912
Ncnc-n,24,17.40819708194618,0.7253415450810908
ccscc,23,23.80229011666616,1.0348821789854852
ccc<-X>c-c,23,23.227477562364975,1.009890328798477
cc(N)cC,23,21.253047867455486,0.9240455594545863
cn[nH]c,23,21.179397686362783,0.9208433776679471
cccoc,23,21.072722526801346,0.9162053272522325
ccoc,23,21.072722526801343,0.9162053272522322
ccCOC,23,20.4696942732848,0.8899867075341218
cCOC,23,20.469694273284798,0.8899867075341217
C(<-X>)(<-X>)<-X>C,23,20.4562009390497,0.8894000408282479
CC<-O>(C)C,23,19.09679595418254,0.8302954762688061
cnccO,23,18.687789128660835,0.8125125708113407
nccO,23,18.68778912866083,0.8125125708113405
c<-C#N>cccc,23,17.516226252209457,0.7615750544438894
c<-C#N>c,23,17.45679314408048,0.7589910062643687
cc-cc<-X>c,22,20.581797321335266,0.9355362418788757
ccocc,22,20.164460229171038,0.9165663740532289
C=CCO,22,20.060225321382177,0.9118284236991898
CC=CCO,22,20.060225321382173,0.9118284236991897
cCCCC,22,19.893918142912653,0.9042690064960297
C<=O>Nccn,22,18.353874574147262,0.8342670260976028
c<-C#N>cc,22,17.093807481117167,0.7769912491416894
ccc(c)-n,21,19.851106061087044,0.9452907648136688
cc(c)-n,21,19.85110606108704,0.9452907648136686
c<-X>c-ccc,21,19.674328997424244,0.9368728094011545
CCNC(<-X>)(<-X>)<-X>,21,19.41178761208626,0.9243708386707743
C=Cc,21,18.97116048803014,0.903388594668102
C=CCOC,21,18.673483598376695,0.8892135046846045
cc<=O>,21,18.56721805799266,0.8841532408567933
ccN(C)C<=O>,21,18.430144162062156,0.8776259124791503
cccc-n,21,18.30184013637598,0.8715161969702847
c<-X>cc<-X>,21,18.06115708209455,0.8600550991473594
cc<-X>cc<-X>,21,18.06115708209455,0.8600550991473594
cc<-X>cc<-X>c,21,18.061157082094546,0.8600550991473593
cccc<-C(=O)N>,21,16.718602325512197,0.7961239202624856
cn(C)cC<=O>,21,16.310451134130595,0.7766881492443141
C<=O>cnC,21,16.310451134130588,0.7766881492443137
c<-C#N>ccc,21,16.197929530848256,0.7713299776594408
cc(c)s,20,19.724362171008956,0.9862181085504478
csc(c)c,20,19.724362171008956,0.9862181085504478
[nH]n,20,19.01921379730432,0.9509606898652161
C=Ccc,20,18.282329468661057,0.9141164734330529
C=Cccc,20,18.282329468661057,0.9141164734330529
CcnC,20,17.802657992295615,0.8901328996147807
cc(C<=O>)nC,20,15.319569174177095,0.7659784587088547
C<=O>cncn,20,15.319569174177092,0.7659784587088546
c<-OMe>n,20,15.020336981864794,0.7510168490932397
ncnc[nH],19,18.9883427833493,0.999386462281542
cncNC<=O>,19,18.121828382343438,0.9537804411759704
C<=O>Ncn,19,18.121828382343438,0.9537804411759704
CccC<=O>N,19,18.017470329041885,0.9482879120548361
NC<=O>N,19,16.917288720523906,0.8903836168696793
CCC<-O>(C)C,19,16.12134297544715,0.8484917355498499
CC(C)nn,19,14.43611460792009,0.7597955056800046
cc<-OMe>n,19,14.211326389724604,0.7479645468276107
CNcnn,18,22.64619557187477,1.2581219762152651
cc<-OMe>nc,18,13.608854311431964,0.7560474617462202
CC(O)CN,17,19.411113445681274,1.1418302026871336
ncs,17,18.727470515668003,1.1016159126863532
c<-OMe>cccN,17,18.236354376470004,1.0727267280276473
cc(c)c<-N>n,17,16.63033886168916,0.9782552271581859
c-c(n)[nH],16,19.35977148398337,1.2099857177489606
cncs,16,17.962343160888732,1.1226464475555458
ccccc<-C(=O)N>,16,15.950825090946264,0.9969265681841415
ccn[nH]c,16,15.014228176569302,0.9383892610355814
ccnc<-OMe>,16,12.687853390618407,0.7929908369136505
c<-OMe>ccN,15,21.449800581345723,1.4299867054230482
csccn,15,17.085972891007675,1.1390648594005117
cnccs,15,17.085972891007675,1.1390648594005117
nccs,15,17.08597289100767,1.1390648594005115
cscn,15,16.806128698271213,1.1204085798847474
ccscn,15,16.806128698271213,1.1204085798847474
cncsc,15,16.806128698271213,1.1204085798847474
c<-CF3>cc(c)-c,15,15.366365556436133,1.0244243704290754
OccCO,15,14.742394279819214,0.9828262853212809
ccc<=O>,15,14.375772256179536,0.9583848170786358
ccCNC<=O>,15,14.332791433048339,0.9555194288698893
cCNC<=O>,15,14.332791433048337,0.9555194288698892
cCOCC,15,14.160009682316204,0.944000645487747
cc[nH]c<=O>c,15,13.924435128391984,0.9282956752261323
c<-C(=O)N>n,15,12.694369892558807,0.8462913261705871
cc<-C(=O)N>n,15,12.694369892558807,0.8462913261705871
cc<-C(=O)N>nc,15,12.694369892558807,0.8462913261705871
ccnc<-C(=O)N>,15,12.694369892558806,0.846291326170587
c<-OMe>cc(c)N,14,20.847328503053088,1.4890948930752206
cccc<-OMe>c<-OMe>,14,15.88639614310174,1.1347425816501242
c<-OMe>c<-OMe>,14,15.886396143101738,1.1347425816501242
ccc<-OMe>c<-OMe>,14,15.88639614310174,1.1347425816501242
cc<-OMe>c<-OMe>,14,15.886396143101736,1.134742581650124
ccncs,14,15.433140901160558,1.1023672072257542
n[nH]cN,14,15.133236125446931,1.0809454375319236
cc(N)[nH]n,14,15.133236125446931,1.0809454375319236
C=CC<=O>Nc,14,14.995163354523312,1.0710830967516651
cc-cc[nH],14,14.927989766680117,1.066284983334294
c<-OMe>c-c(c)n,14,14.469581602919323,1.033541543065666
cc<-OMe>c-cn,14,14.469581602919321,1.0335415430656658
cc(c<-OMe>)-cn,14,14.469581602919321,1.0335415430656658
c<-OMe>c-cnn,14,14.46958160291932,1.0335415430656656
c<-OMe>c-cn,14,14.469581602919318,1.0335415430656656
cCc,14,13.324898994825634,0.9517784996304025
cccCc,14,13.324898994825633,0.9517784996304023
cc(c)Cc,14,13.324898994825633,0.9517784996304023
ccCc,14,13.324898994825631,0.9517784996304022
cccc<-C(=O)N>n,14,11.590874785881205,0.8279196275629432
ccc<-C(=O)N>n,14,11.590874785881201,0.8279196275629429
ccc<-C(=O)N>nc,14,11.590874785881201,0.8279196275629429
cccnc<-C(=O)N>,14,11.590874785881201,0.8279196275629429
cnncC,13,16.042134692831986,1.2340103609870758
Ccnn,13,16.042134692831983,1.2340103609870756
cn[nH]cN,13,14.530764047154292,1.1177510805503301
cc-c(n)[nH],13,14.527604313000761,1.1175080240769817
c[nH]n,13,13.571123879907333,1.043932606146718
cNc[nH]n,13,13.518051321392095,1.0398501016455457
cc-cc<-OMe>,13,13.398838493825908,1.0306798841404545
c<-OMe>c-cnc,13,13.398838493825908,1.0306798841404545
CCN(C(<-X>)(<-X>)<-X>)C,13,13.020590608697415,1.0015838929767242
C(<-X>)(<-X>)<-X>N(C)C,13,13.020590608697413,1.001583892976724
ccCcc,13,12.776277603459132,0.9827905848814716
cc<-OMe>c<-X>,13,12.456445936595815,0.9581881489689088
ccc<-OMe>c<-X>c,13,12.456445936595815,0.9581881489689088
cc<-OMe>c<-X>c,13,12.456445936595813,0.9581881489689087
cccc<-OMe>c<-X>,13,12.456445936595813,0.9581881489689087
cc<-OMe>c<-X>cc,13,12.456445936595813,0.9581881489689087
cccc<-X>c<-OMe>,13,12.456445936595813,0.9581881489689087
ccc<-OMe>c<-X>,13,12.456445936595811,0.9581881489689086
nc(N)s,12,13.782772445651178,1.1485643704709314
C<-C#N>C<=O>N,12,13.516992761841164,1.1264160634867637
OCCNS(<=O>)<=O>,12,13.017040895694773,1.0847534079745644
ccc[nH]n,12,12.968651801614694,1.0807209834678912
c-cc-c,12,12.739954915197963,1.0616629095998302
cc-cc-c,12,12.739954915197963,1.0616629095998302
COC(C)C,12,12.738605306495426,1.0615504422079522
cc<-X>c<-OMe>,12,10.848228367944857,0.9040190306620715
ccc<-X>c<-OMe>,12,10.848228367944857,0.9040190306620715
c<-X>c<-OMe>,12,10.848228367944856,0.9040190306620713
cc<-C(=O)O>c,12,10.723651632157804,0.8936376360131503
c-c(n)c[nH],11,15.057302218103533,1.3688456561912303
c<-OMe>cN,11,13.613327934384856,1.2375752667622597
cc<-OMe>cN,11,13.613327934384856,1.2375752667622597
cc(c<-OMe>)N,11,13.613327934384856,1.2375752667622597
cc<-OMe>c(c)N,11,13.613327934384856,1.2375752667622597
ccc(c<-OMe>)N,11,13.613327934384856,1.2375752667622597
C<-C#N>C<=O>NC,11,12.082648888673157,1.0984226262430143
C<-C#N>C<=O>N(C)C,11,12.082648888673159,1.0984226262430143
N<-tBu>S(<=O>)<=O>,11,11.689695435323499,1.062699585029409
cccc<-C(=O)O>c,11,10.312155203965688,0.9374686549059716
cc<-OMe>ncc,11,9.97519702995902,0.9068360936326382
c<-OMe>ccNc,10,14.740919641984863,1.4740919641984864
ccc<-OMe>cN,10,12.34956248486093,1.234956248486093
nnn,10,12.163469250171687,1.2163469250171688
cnnn,10,12.163469250171687,1.2163469250171688
csc(n)N,10,11.86143062825439,1.186143062825439
cnc(N)s,10,11.644657293761256,1.1644657293761256
C(<-cPropyl>)<=O>N,10,11.549047828818685,1.1549047828818684
c<-OMe>c<-X>cc-c,10,11.132655118262685,1.1132655118262684
c<=O>cc-c,10,10.982182889827609,1.098218288982761
cc-ccc<=O>,10,10.982182889827609,1.098218288982761
c<=O>cc-cn,10,10.982182889827609,1.098218288982761
c-ccc<=O>[nH],10,10.982182889827609,1.098218288982761
c<=O>cc(c)-c,10,10.98218288982761,1.098218288982761
cS(<=O>)<=O>N<-tBu>,10,10.81431893502113,1.081431893502113
ccS(<=O>)<=O>N<-tBu>,10,10.814318935021129,1.081431893502113
cccS(<=O>)<=O>N<-tBu>,10,10.81431893502113,1.081431893502113
cc(c)S(<=O>)<=O>N<-tBu>,10,10.814318935021129,1.081431893502113
cc(O)cn,10,10.515215840567105,1.0515215840567105
ccnc<-C(=O)N>c,10,9.515216321759912,0.9515216321759912
c<-OMe>ncc-c,10,8.773984714418367,0.8773984714418367
ccNS(<=O>)<=O>,10,8.745807757095259,0.8745807757095259
cNS(<=O>)<=O>,10,8.745807757095257,0.8745807757095256
cnc<-OMe>,10,8.595893271677149,0.8595893271677149
cc(C)nn,9,11.960791201595843,1.328976800177316
