fragment,number_of_rel,sum_difficulty,avg_difficulty
cc,17288,41269762.82215318,2387.191278467907
ccc,16903,41269402.221787624,2441.543052818294
cccc,16256,41268967.16144626,2538.691385423613
ccccc,15352,41268301.43167604,2688.1384465656615
CC,12350,41266039.00725071,3341.3796767004624
CN,11484,41265239.13778818,3593.281011649963
cn,10822,7800.531179413711,0.720803102884283
ccC,10180,41264569.00743776,4053.494008589171
CCN,10120,41264248.98635593,4077.49495912608
ccn,9930,7014.3331938592255,0.706377965141916
cccC,9581,41264145.368668266,4306.872494381408
CNC,8722,5922.86493371818,0.6790718795824559
cnc,8528,6103.411875259794,0.715690885935717
cccn,8515,5979.550052686603,0.7022372346079392
CCC,8484,41263269.680253506,4863.657435201969
CCNC,8181,5565.388037892337,0.6802821217323477
ccnc,8103,5723.389660793454,0.7063297125500992
cN,7985,5602.306818597676,0.7016038595613872
Cc,7747,41262780.351297125,5326.291513011117
ccccC,7739,41262860.41032596,5331.807780117064
cc(c)C,7670,41262773.6176369,5379.761879744055
C<=O>N,7630,41262637.65526351,5407.947268055506
ccc(c)C,7473,41262636.231684625,5521.562455731918
ccN,7111,4916.743601019662,0.691427872453897
cccnc,6940,4888.913313768629,0.7044543679781887
CCNCC,6920,4654.320528923921,0.6725896718098152
cccN,6779,4685.035849248766,0.691110171005866
ccccn,6206,4413.223624873838,0.7111220794189234
CCCN,6123,41261435.39900598,6738.761293321244
cc<-X>,6005,4170.522690084567,0.6945083580490536
CCCC,5614,41261280.99767347,7349.71161340817
ccccN,5138,3584.9567713591737,0.6977338986685818
ccc<-X>,5067,3592.157935864554,0.7089318997167069
cc<-X>c,5031,3550.1443727613528,0.7056538208629205
CO,4910,41260602.27101861,8403.381317926396
CCCNC,4766,3206.307065725771,0.6727459223092259
CCCCC,4692,41260562.06390254,8793.811181564906
ncn,4621,3143.8560981849546,0.6803410729679624
ncN,4554,3041.052947103757,0.6677762290522085
c-c,4462,3201.443671270728,0.7174907376223056
