fragment,number_of_rel,sum_difficulty,avg_difficulty
cc,3999,12581.405242829585,3.1461378451686883
ccc,3914,12220.804877311473,3.122331343206815
cccc,3762,11785.744535958773,3.1328401212011623
ccccc,3558,11120.014765794136,3.1253554709932927
CC,2857,8857.590340463385,3.100311634743922
CN,2641,8057.720877982753,3.0510113131324323
cn,2503,7800.531179413711,3.11647270452006
ccC,2362,7387.590527549086,3.1276843893095196
CCN,2332,7067.569445715641,3.030690156824889
ccn,2298,7014.3331938592255,3.0523643141249894
cccC,2230,6963.951758071319,3.122848322005076
CNC,1994,5922.86493371818,2.970343497351143
cccn,1978,5979.550052686603,3.023028338061983
CCC,1976,6088.263343280153,3.081104930809794
cnc,1968,6103.411875259794,3.101327172388107
CCNC,1878,5565.388037892337,2.963465408888358
ccnc,1871,5723.389660793454,3.059000353176619
cN,1846,5602.306818597676,3.0348357630539957
cc(c)C,1802,5592.20072670849,3.10333003701914
ccccC,1800,5678.993415885408,3.15499634215856
Cc,1797,5598.9343869513905,3.1157119571237564
ccc(c)C,1754,5454.814774420254,3.1099286057128017
C<=O>N,1753,5456.238353396884,3.112514748087213
ccN,1647,4916.743601019662,2.98527237463246
cccnc,1610,4888.913313768629,3.036592120353186
CCNCC,1580,4654.320528923921,2.94577248666071
cccN,1565,4685.035849248766,2.9936331305103936
ccccn,1435,4413.223624873838,3.075417160190828
CCCN,1426,4253.982095828788,2.983157149950062
cc<-X>,1406,4170.522690084567,2.966232354256449
CCCC,1295,4099.580763295338,3.1656994311160913
ccc<-X>,1194,3592.157935864554,3.008507483973663
ccccN,1187,3584.9567713591737,3.020182621195597
cc<-X>c,1183,3550.1443727613528,3.000967348065387
CO,1131,3420.854108484835,3.02462785896095
CCCNC,1108,3206.307065725771,2.893778940185714
CCCCC,1081,3380.6469924242874,3.1273330179688137
ncN,1056,3041.052947103757,2.879784987787649
ncn,1055,3143.8560981849546,2.97995838690517
cccc<-X>,1036,3143.7637593923464,3.034521003274466
c-c,1035,3201.443671270728,3.093182291082829
cc-c,1031,3181.6981183420753,3.08603115261113
CCCCN,992,2967.289099450777,2.991218850252799
CN(C)C,991,2808.7893648229256,2.834298047248159
CCNC<=O>,976,2990.2814334485374,3.063812944107108
ccc<-X>c,975,2980.586991652768,3.057012299131044
ccc-c,974,3029.953696053471,3.1108354168926806
cncn,974,2867.121194379014,2.9436562570626426
ccncc,971,3024.3654005291214,3.1146914526561496
ccC<=O>,962,3051.407708867529,3.1719414853092815
cc(c)N,961,2964.1091931208775,3.084400825307885
CCN(C)C,956,2706.957565889741,2.8315455710143733
ccc(c)N,936,2903.6685901776314,3.102210032241059
cC<=O>N,900,2782.6922113613446,3.0918802348459384
cO,899,2597.3219006910954,2.889123360056836
cc(c)c,898,2788.4570540553527,3.1051860290148694
ccc<-X>cc,889,2758.878504391391,3.1033503986404845
ccc(c)c,888,2768.37094757017,3.117534850867308
ccCC,885,2873.786340574152,3.2472162040385895
cncN,885,2503.2528334684,2.8285342751055365
ccncn,880,2523.674480086036,2.8678119091886773
CCO,875,2662.862155715375,3.043271035103286
ccO,864,2483.7481901168294,2.8747085533759598
cccCC,843,2731.8592499540287,3.2406396796607693
cc(c)n,835,2534.955835214076,3.0358752517533847
cccC<=O>,828,2580.340263459642,3.1163529751928043
ccC<=O>N,823,2530.1368494374233,3.074285357761146
cccO,817,2358.1076998284,2.8863007341840885
cc(c)-c,815,2570.448842410242,3.1539249600125667
cccc<-X>c,812,2515.9646796602015,3.098478669532268
ccNC,805,2384.9788657306563,2.9627066655039207
CCNc,804,2357.9540322432827,2.9327786470687593
ccc(c)-c,800,2524.079543497883,3.155099429372354
cCN,796,2460.1426405238976,3.090631457944595
ccc(c)n,795,2461.050682515524,3.0956612358685835
cncnc,791,2284.9721094053475,2.888713159804485
cc-cc,774,2335.316506436555,3.0172047886777196
cc-ccc,774,2335.316506436555,3.0172047886777196
cccc-c,771,2403.8587559882544,3.1178453385061666
cccNC,757,2257.2288360392536,2.9818082378325674
cc(c)O,740,2134.0800616636957,2.88389197522121
ccCN,726,2231.9814913122714,3.074354671229024
cC,706,2235.2726173673614,3.1661085231832313
ccc(c)O,704,2042.0795077416783,2.9006811189512476
cnc(c)c,703,2124.780286925673,3.0224470653281266
cc(c)CC,701,2275.986704866829,3.2467713336188715
CCc,698,2276.2602952220354,3.261117901464234
cccC<=O>N,697,2100.8402038891127,3.014117939582658
CC<=O>N,695,2139.6533620246605,3.0786379309707343
cc(n)N,695,1935.4655052581863,2.7848424536089014
Ccn,694,2220.7158425331927,3.199878735638606
c<-X>cccc,689,2057.481056649668,2.9861844073289814
cc(c)C<=O>,686,2108.5452403347585,3.073681108359706
ccccC<=O>,683,2156.4289262752995,3.1572897895685204
ncccn,675,1942.6645215915635,2.878021513468983
cccCN,673,2062.1973989184835,3.0641863282592623
ccNCC,665,1968.262982075499,2.959793958008269
cc-c(c)c,651,2009.0071500615295,3.086032488573778
ccOC,642,1836.8568568430842,2.8611477520920316
ccc(n)N,641,1766.3411392801156,2.7556024013730354
C<=O>c,624,2086.085413362568,3.343085598337449
Cn,618,1951.639045859543,3.1579919835914936
ccc(c)C<=O>,613,1865.3788043488325,3.0430323072574756
ccNC<=O>,606,1880.9645014193463,3.1039018175236737
CNC<=O>,604,1873.7282495712955,3.102199088694198
cc(c)cn,602,1805.208679082093,2.998685513425404
ccccO,597,1788.5331210016727,2.995867874374661
cccOC,595,1711.2163665546586,2.875993893369174
CCCNC<=O>,593,1903.4276236837445,3.209827358657242
c-cn,590,1866.8135854580594,3.16409082281027
C<=O>NC,586,1749.1720150930091,2.984935179339606
cC<=O>NC,585,1848.7212144582782,3.1602072042021847
cc-cn,582,1829.7741457126233,3.143941831121346
CC(C)N,579,1832.199621234896,3.164420762063724
cccNC<=O>,577,1806.664075964011,3.1311335805268823
cnC,572,1818.2741546661998,3.1788009696961534
cc(c)C<=O>N,565,1685.996051366066,2.9840638077275505
cncC,563,1739.4884083360332,3.089677457079988
ccC<=O>NC,559,1738.5194659426031,3.110052711883011
cnc(c)N,554,1513.3763463036537,2.7317262568658007
NCCN,552,1557.8630247395506,2.8222156245281713
CNCCN,546,1529.2822766442162,2.8008832905571723
cNC,545,1590.0270116705603,2.9174807553588264
CNcn,529,1540.5367354509858,2.912167741873319
cc(c)CN,525,1542.766631792087,2.938603108175404
cs,524,1678.975557779409,3.2041518278232997
cc(c)OC,523,1508.0689472735592,2.883497031115792
C<=O>C,521,1550.786959581125,2.9765584636873803
cc(C)n,519,1666.695895957867,3.211360107818626
ccc-cn,518,1656.450609642869,3.1977810996966585
ccnC,514,1638.7444453235807,3.188218765220974
cCNC,509,1537.8566564752934,3.0213293840379047
cNc,508,1310.8953751562824,2.580502707000556
ccNc,507,1306.0053369419206,2.5759474101418554
ccncN,506,1483.2650434094817,2.931353840730201
CCN(c)C,493,1382.2698545539931,2.8037928084259494
cccNc,491,1269.9832606850193,2.5865239525153143
ccs,490,1555.8111520791388,3.1751248001615076
c<-OMe>c,477,1476.768854558756,3.0959514770623815
ccN(C)C,475,1348.0158956675366,2.83792820140534
ccCNC,473,1415.8247716921912,2.9932870437467045
nn,464,1566.5106731268647,3.3761005886354845
cnn,464,1558.3762130006862,3.3585694245704443
cncNC,461,1330.5611213758798,2.8862497209888933
CCOc,458,1334.864882595507,2.914552145405037
cnc-c,453,1387.130210935917,3.0620975958850263
CC(C)C,452,1490.2252176745517,3.2969584461826367
c<-OMe>cc,446,1397.6820004832605,3.1338161445813015
cc-cnc,446,1360.0244016351705,3.0493820664465705
CC<=O>NC,437,1223.823663522658,2.8005118158413227
CCNcn,434,1251.2876160711778,2.883151189104096
ncccN,434,1232.4391105514674,2.8397214528835653
ccncC,431,1371.3312233472636,3.18174297760386
COC,430,1277.456044098274,2.97082800953087
cc<-OMe>c,428,1366.9106496966883,3.1937164712539445
CNc,427,1288.103679678675,3.016636252174883
ccccc<-X>,427,1284.7790613695424,3.0088502608186007
ccOCC,427,1235.200981993756,2.8927423465895923
cc(c)NC<=O>,426,1348.2576484840868,3.164924057474382
cC<=O>,424,1230.9591414438091,2.9032055222731348
ccCCC,422,1381.9415420915584,3.27474299073829
cNcn,422,1056.9283663063748,2.5045695884037316
ncncN,421,1137.1262057214901,2.7010123651341806
ccNcn,421,1052.0383280920132,2.4989033921425494
CCCO,418,1241.4084140835994,2.969876588716745
