fragment,number_of_rel,sum_difficulty,avg_difficulty
cc<-X>cNC,68,52.30488077876119,0.7691894232170763
ccnc[nH],67,51.577313389037386,0.7698106475975729
c<=O>nCc,67,49.38120001532651,0.7370328360496494
CCCC<-O>,65,49.37960828036727,0.7596862812364196
c<-X>cC<=O>NC,65,48.60527115330644,0.7477734023585606
ccCnc<=O>,65,47.445369617999276,0.729928763353835
ccC<=O>C,65,46.361573416207726,0.713254975633965
cc-c(c)s,65,46.204613319336076,0.7108402049128627
c<-O>c,64,66.09075918899576,1.0326681123280588
ncc[nH],64,50.588149478230335,0.790439835597349
csc(c)-c,64,47.53684830772505,0.7427632548082039
ccncO,64,45.90656581749441,0.7172900908983502
c-co,63,57.71002909285051,0.916032207823024
CCccN,63,56.56384156801405,0.897838755047842
CSc,63,50.99669362609246,0.809471327398293
cno,63,49.885646552954526,0.7918356595707068
cccC<=O>C,63,44.649337280814905,0.7087196393780144
CSc(n)n,63,43.89518235829046,0.6967489263220709
c<=O>cccc,63,42.79229332737349,0.6792427512281507
cc(n)cs,62,50.928007085395784,0.8214194691192869
cncc[nH],62,49.965736598519676,0.8058989773954787
cCC<=O>Nc,62,49.96026522420527,0.8058107294226657
c<=O>s,62,49.172372340857535,0.7931027796912505
C<=O>CC(C)C,62,47.173764063210136,0.7608671623098409
cc(c)-c[nH],62,45.408373050985,0.7323931137255645
CCOcn,62,41.533476026134686,0.6698947746150756
Ccnc-c,62,37.6297365413939,0.6069312345386113
CCccn,61,56.65604882275795,0.9287876856189828
cC<=O>NCc,61,50.14386156859854,0.8220305175180088
con,61,46.040707029995815,0.7547656890163248
c<-C#N>ccc,61,45.322187259310134,0.7429866763821333
ccc<-X>cn,61,41.49485952485148,0.6802435987680571
cc-co,60,52.78040487610384,0.8796734146017307
cCncn,60,44.943158247955495,0.7490526374659249
c<=O>n(C)cn,60,44.12622647236608,0.735437107872768
NccC<=O>N,60,42.805221679808874,0.7134203613301479
ccc<-C(=O)N>c,60,41.84868179931929,0.6974780299886548
ccccc<-CF3>,60,41.5373996450763,0.692289994084605
nc(n)CN,60,39.31293319243686,0.655215553207281
C[C@H](C)C<=O>N,60,34.301495243499346,0.5716915873916558
CCSc,59,47.89423514136873,0.8117666973113344
cc[nH]cC,59,47.508082921089844,0.8052217444252516
c<=O>sc(c)c,59,46.8680460783654,0.7943736623451764
c[nH]c<=O>s,59,46.868046078365396,0.7943736623451761
ccsc<=O>,59,46.868046078365396,0.7943736623451761
c<=O>[nH]ccs,59,46.868046078365396,0.7943736623451761
cc[nH]c<=O>s,59,46.86804607836539,0.794373662345176
ccsc<=O>[nH],59,46.86804607836539,0.794373662345176
[nH]c<=O>s,59,46.86804607836538,0.7943736623451759
csc<=O>[nH],59,46.86804607836538,0.7943736623451759
c[nH]c<=O>sc,59,46.86804607836538,0.7943736623451759
CccnC,59,46.07566141253077,0.780943413771708
CC(C)C<=O>N,59,44.68918073202784,0.7574437412208109
C<-O>CC,59,44.29265197767074,0.7507229148757752
CCc[nH],59,43.49575839966158,0.7372162440620608
cc(c)c-c,59,41.03717162578112,0.6955452817929003
NcncS,59,39.99374306131253,0.677860051886653
C<=O>Nccn,59,38.840835756765145,0.6583192501146635
cc<-X>c-cn,59,35.36364969935312,0.5993838932093749
C<=O>CC(C)C<=O>,59,32.818595116477546,0.5562473748555516
ccc-co,58,52.10345287650411,0.8983353944224846
c-ccC,58,47.29332403726666,0.815402138573563
cnn(c)-c,58,46.54647078121486,0.8025253582968079
c<-OMe>cccc<-OMe>,58,46.06974474083753,0.7943059438075436
cc(c<-X>)C<=O>,58,45.23640176338302,0.7799379614376383
cc<-OMe>cC,58,44.85683801139035,0.7733937588170751
CCC<-O>C,58,44.70116057440329,0.7707096650759188
C<-O>Cn,58,44.636145989238585,0.7695887239523894
C<=O>NCCO,58,44.481497654740195,0.7669223733575896
cCS,58,42.539454958409294,0.7334388785932637
C<-C(=O)O>C,58,42.318819201683525,0.7296348138221297
cncOC,58,40.155945593939755,0.6923438895506855
c[nH]n,58,38.41383139806446,0.6623074378976631
ncnc[nH],58,36.626885423378965,0.6314980245410167
C<=O>cc(C)n,58,36.02419551313999,0.6211068191920689
cnc<=O>[nH],58,35.598520368252174,0.6137675925560719
ccnc<=O>[nH],58,35.59852036825217,0.6137675925560718
cncn-c,58,34.781415210614774,0.5996795725968065
Cc(n)cn,58,34.76427974506458,0.5993841335355962
c<-X>c-cnc,58,33.92303002688502,0.5848798280497418
c<-X>ccNc,58,30.40666980783873,0.5242529277213573
csc(c)n,58,29.69641356554375,0.5120071304404095
cc(C)c-c,57,56.070508685755456,0.9836931348378151
CC<-N>,57,49.36650050658069,0.8660789562558017
ccc(C)o,57,47.85534905609363,0.8395675272998883
[nH]ccs,57,46.66233158056711,0.8186373961503002
cc(s)c[nH],57,46.662331580567106,0.8186373961503001
cc[nH]c-c,57,42.29597592742152,0.74203466539336
ccCS,57,41.65693770525473,0.7308234685132409
c[nH]c-c,57,41.47468598895867,0.7276260699817311
cc-c[nH]c,57,41.47468598895866,0.727626069981731
cncc<-N>n,57,41.3205770981055,0.7249224052299211
CCnn,57,38.84110342495421,0.6814228671044599
ccc(n)O,57,36.69906134146201,0.6438431814291581
Cnc<=O>[nH],57,36.61900892566335,0.6424387530818132
cc(c)C<=O>C,57,36.45552731621987,0.6395706546705241
ccOC<-C(=O)O>,57,36.30055265320409,0.6368518009334051
cccOC<-C(=O)O>,57,36.30055265320409,0.6368518009334051
cc(C)cs,57,31.219491342336745,0.5477103744269605
cNcn[nH],57,30.533661017738787,0.5356782634691015
ccc(n)s,57,30.068840926694907,0.5275235250297352
cSc,56,47.8287957792202,0.8540856389146464
ccSC,56,46.90009191164247,0.8375016412793298
cC<=O>Ncn,56,45.575871387646075,0.8138548462079657
nnn,56,41.10962849410288,0.7341005088232657
c<=O>nc(c)c,56,40.425190845940755,0.7218784079632278
csccC,56,39.31601107892633,0.7020716264093988
CccC<=O>,56,39.268976894221275,0.7012317302539514
nc<-N>n,56,36.023767350163375,0.643281559824346
ccC(C)c,56,35.889754866973405,0.6408884797673823
c<-OMe>cO,56,35.84426926728865,0.6400762369158688
cc<-OMe>cO,56,35.84426926728865,0.6400762369158688
Ccscn,56,35.737883837981755,0.638176497106817
CccNc,56,34.33418118710581,0.6131103783411752
ccncc<-C#N>,56,33.428274843158306,0.5969334793421126
cn(c)-c,56,32.994597808522826,0.5891892465807648
c<-C(=O)N>ccc,56,27.20399152092181,0.48578556287360375
c<-O>cccC<-O>,55,47.147587874888686,0.8572288704525216
C<=O>COc,55,43.92075262665663,0.7985591386664842
ccOCC<=O>,55,43.920752626656615,0.7985591386664839
c<-N>ccnC,55,43.86854305268478,0.7976098736851778
CC<-O>c,55,43.175408987034885,0.785007436127907
c-cc-c,55,42.70351346937058,0.7764275176249196
cc-cc-c,55,42.70351346937056,0.7764275176249193
cnoc,55,42.08201123101582,0.7651274769275603
cc<-OMe>c(c)C,55,41.20415898009714,0.7491665269108571
cc<=O>nCc,55,40.905113567221974,0.7437293375858541
cnnn,55,40.710856883151365,0.7401973978754793
C<-O>CNc,55,36.30772429936729,0.660140441806678
cc(c)OC<-C(=O)O>,55,34.36219049664715,0.6247670999390391
cc[nH]nc,55,32.54243666528424,0.5916806666415316
c<-C(=O)N>cccn,55,28.829823910988,0.5241786165634182
ccSc,54,46.934610853619645,0.8691594602522157
cccSc,54,46.934610853619645,0.8691594602522157
c<-X>cNCC,54,45.04307824277985,0.8341310785699972
c<-N>cC<=O>,54,44.47594340915804,0.8236285816510749
cccSC,54,44.43403703482532,0.8228525376819504
cnCC<-O>,54,42.83934052822557,0.7933211208930661
c<-O>ccnc,54,42.21500472768095,0.7817593468089065
nncNS(<=O>)<=O>,54,38.453564418590766,0.7121030447887179
ccc[nH]n,54,37.65132497202443,0.6972467587411932
c<=O>[nH]c,54,37.36170958281933,0.6918835107929505
cc(c<-OMe>)O,54,34.76811325369804,0.6438539491425563
cc<-OMe>c(c)O,54,34.76811325369804,0.6438539491425563
ccc(c<-OMe>)O,54,34.76811325369804,0.6438539491425563
ccc<-OMe>cO,54,34.76811325369803,0.6438539491425561
cnc<-N>n,54,34.02734584128045,0.6301360340977861
ccCC<-C(=O)O>N,54,31.966748972408173,0.5919768328223736
cCC<-C(=O)O>N,54,31.966748972408165,0.5919768328223735
c-cc(C)n,54,30.829337839476906,0.5709136636940167
cc[nH]cn,53,44.58879513076024,0.8412980213350989
cCC(C)C,53,42.70493934565011,0.805753572559436
cCNC<=O>c,53,42.3868306103827,0.7997515209506171
c<-N>cc(n)n,53,41.004451442725326,0.7736688951457609
cc(c<-X>)C<=O>N,53,40.982284897111704,0.7732506584360699
cc(-c)cC,53,40.3196750675022,0.7607485861792869
nccco,53,39.45881270805224,0.7445059001519291
c<=O>cC,53,38.457884953757386,0.7256204708256111
ccc(c<-OMe>)C,53,37.44929911070632,0.7065905492586099
cn(n)CC,53,36.39329085810962,0.6866658652473514
CCC<-O>CN,53,35.57045591262353,0.6711406775966704
cn(C)c<=O>[nH],53,35.265050730679,0.6653783156731887
c<-X>ccCC,53,35.203346642057184,0.6642140875859847
