fragment,number_of_rel,sum_difficulty,avg_difficulty
c<-O>cc,101,95.16025636019482,0.9421807560415328
c-cnn,95,89.44658452375165,0.9415429949868596
cc-cnn,90,86.92296165636341,0.9658106850707046
CCOC<=O>,87,4125804.989629381,47423.045857808975
cc(c)S,80,72.92893773575557,0.9116117216969446
ccc(c)S,80,72.92893773575557,0.9116117216969446
CCCcn,80,68.75437437640439,0.8594296797050548
cc(n)NC<=O>,80,65.84063615999263,0.8230079519999078
CC(C)(C)C,78,68.8373191761098,0.8825297330270487
c<-X>c,78,63.227740960596684,0.8106120635973934
cnCCN,78,55.40626464961183,0.7103367262770747
cnnc-c,76,73.47303308910787,0.9667504353829983
NC<=O>CN,76,56.748663987995386,0.7466929472104656
C<=O>CO,76,56.56800765720613,0.7443158902263964
cc<-X>ccn,76,48.86147487473374,0.6429141430886018
cC<-O>CN,75,63.39382333674388,0.8452509778232518
ccC<-O>CN,75,63.39382333674387,0.8452509778232516
CCCC<=O>,74,4125782.703971706,55753.820323941974
ccNCc,74,60.4020641414312,0.8162441100193405
cOCCN,73,59.371919214541926,0.8133139618430401
cc(c)-cs,73,57.7561305323772,0.791179870306537
cC<-O>CNC,72,60.85612992399695,0.8452240267221799
ccn(-c)n,72,58.92756605108588,0.8184384173761928
c<-X>cNC,72,56.43269892594403,0.783787485082556
C=N,72,54.73555243841836,0.7602160060891439
nCCN,71,50.098540867085184,0.7056132516490871
c<=O>nCCN,71,46.839727321125736,0.65971446931163
C<=O>c[nH],71,45.37292173873007,0.6390552357567616
CC(c)C,70,55.38831262470087,0.7912616089242982
c[nH]cC<=O>,70,44.33904736866449,0.6334149624094927
[nH]cC<=O>N,70,44.04191836197084,0.6291702623138692
C<=O>OC,69,4125778.2901176256,59793.888262574284
c[nH]cC,69,57.892087977848306,0.839015767794903
ccsc-c,69,53.168751006634004,0.7705616087917971
c[nH]cC<=O>N,69,43.00804399190524,0.623304985389931
cCCC<=O>N,68,4125768.63565917,60673.06817145838
CCCS,68,55.387581510027076,0.8145232575003982
ccNC<=O>N,68,53.22301906452593,0.7826914568312636
cc<-X>cNC,68,52.30488077876119,0.7691894232170763
c<-C#N>cc,68,51.64192718670626,0.7594401056868568
cc(N)cn,68,49.12493680077989,0.7224255411879396
ccscN,67,53.44705019836522,0.7977171671397794
cc<-X>c(c)C<=O>,67,50.64489631024194,0.7558939747797304
cccc<-C#N>,67,50.286476222430025,0.7505444212302989
c<=O>nCc,67,49.38120001532651,0.7370328360496494
NC<=O>CO,67,47.81304426360994,0.7136275263225365
cc(C<=O>)[nH],67,41.813612301708545,0.6240837656971424
CCCNS(<=O>)<=O>,66,52.92744532954647,0.8019309898416133
ccnn-c,66,51.43913084405767,0.7793807703645101
cc(c)cO,66,45.447068948871724,0.6885919537707837
c<-X>ccnc,66,41.815212422451665,0.633563824582601
c[nH]c(c)C<=O>,66,40.77973793164296,0.6178748171461055
cc([nH])C<=O>N,66,40.482608924949304,0.6133728624992318
ccC<=O>C,65,4125764.503264422,63473.30005022188
cC(C)C,65,51.416798062572134,0.7910276625011098
Ccc-c,65,50.76218122685272,0.7809566342592725
CCCC<-O>,65,49.37960828036727,0.7596862812364196
c<-X>cC<=O>NC,65,48.60527115330644,0.7477734023585606
cc-c(c)s,65,46.204613319336076,0.7108402049128627
C=CC<=O>,65,45.50920658458256,0.7001416397628085
cc<=O>nCC,65,44.1923904801478,0.6798829304638123
cc[nH]cC<=O>,65,39.96356795730694,0.6148241224201068
