fragment,number_of_rel,sum_difficulty,avg_difficulty
c<-X>cc<-X>c,135,159.44357259796323,1.1810635007256536
CC<-N>C<=O>N,126,142.87267453497986,1.133910115356983
CCC(C)c,120,153.63760452265728,1.280313371022144
CCC(c)C,118,125.27677069378959,1.061667548252454
CC=C(C)C,116,144.92209825069443,1.2493284331956416
c<-O>ccCC,115,107.34567014754244,0.9334406099786299
cCCCC,113,119.21404213254323,1.0549915232968428
cc(c)S,113,110.19791088706064,0.9752027512129261
cc(c<-X>)N,112,105.32869390112239,0.9404347669743071
CCC<-C(=O)O>NC<=O>,111,113.14572176018055,1.0193308266682932
cccc<-C(=O)O>c,111,111.42141801593259,1.0037965587020954
ccc(c)S,111,109.43814579374445,0.9859292413850852
cc<-X>c-c,111,107.4181489428245,0.9677310715569775
c<-X>cc<-X>cO,110,121.80084693527637,1.1072804266843306
CC(C)(C)O,110,109.55329259219793,0.9959390235654357
C<-N>C<=O>NC,109,128.23111742376346,1.176432269942784
cc<-X>cOc,109,117.08347118005689,1.074160286055568
CC<=O>NCC<=O>,109,114.62320863384092,1.0515890700352377
c<-O>cCC,109,109.5664474491457,1.0051967655884926
ccN=N,109,108.26256097585004,0.9932345043655967
C<-O>CN(C)C,109,85.15843064723761,0.7812700059379597
cnccs,108,91.3972964939312,0.8462712638326962
cncsc,108,90.26373230218417,0.8357752990942978
ccC<=O>Nc,108,85.93621542700107,0.7957056983981581
cc<-O>c(c)C<=O>,107,100.5036560202182,0.9392865048618524
cc(c)CC<-N>,107,92.41672362539649,0.863707697433612
cCC(C<=O>)N,107,91.26852591608642,0.8529768777204338
csccn,107,89.88932450701327,0.8400871449253576
ccncs,106,90.14519104150725,0.8504263305802571
ccCCO,105,96.21608476094073,0.9163436643899118
C<-O>CC(C)O,105,92.32394896615104,0.8792757044395336
ccOcc<-X>,104,116.94844680394237,1.1245042961917535
CC<-O>CCC,104,85.77025492605439,0.8247139896735999
cccN=N,102,100.02187183773033,0.980606586644415
nc<=O>n,102,91.88116511617037,0.9007957364330428
CCC<-N>,102,90.93953042560013,0.8915640237803933
C=CCCC<-O>,102,90.05606659809536,0.8829026137068172
cccCC<-N>,102,89.43736902410475,0.8768369512167132
CC<-O>C<-O>CO,102,84.92211449937288,0.8325697499938518
ccNC<=O>c,102,83.62123085670325,0.8198159887912083
CCC(C<-O>)C,102,78.14873949464041,0.766164112692553
CCCC<-C(=O)O>,101,118.4517567772294,1.1727896710616772
ncO,101,95.12469691296062,0.9418286823065407
c<-X>ccc-c,100,101.78667319487077,1.0178667319487078
CC(C<=O>)C,100,97.85031834098459,0.9785031834098459
C<=O>CNCC,100,83.1556929111674,0.8315569291116741
cc<-X>ccc<-X>,99,111.27471346637454,1.123987004710854
cnc<=O>n,99,89.64984045698671,0.9055539440099668
CN(C)N,99,82.95957376056504,0.8379754925309599
cNN,98,99.97593002975836,1.0201625513240649
ccccS,98,92.67280799173746,0.945640897874872
Cnc<=O>n,97,85.14415824735795,0.87777482729235
cN=NN,97,83.7470923976148,0.8633720865733484
N=NN,97,83.74709239761478,0.8633720865733482
cccnc<=O>,97,75.69041803876723,0.7803135880285282
cN=NNC,96,83.1663854293073,0.8663165148886177
CNN=N,96,83.16638542930728,0.8663165148886175
c<-X>c<-X>ccO,95,109.151241500261,1.1489604368448525
C<-C(=O)O>CC,95,97.40824324322621,1.0253499288760655
CN(C)CN,95,97.06492824960031,1.021736086837898
ccNN,95,96.19798113891544,1.0126103277780572
cccc<-C(=O)O>,95,95.06314218296188,1.0006646545574935
c<-X>ccC<=O>,95,87.76051605501247,0.9237949058422366
CC=CC<=O>O,95,85.54679718877448,0.9004926019870998
c<-X>ccOc,94,112.44556561424206,1.196229421428107
OCCCO,94,107.28219520171281,1.1412999489543916
C<-O>C<-O>C<-O>,94,99.94792856010021,1.0632758357457468
ccc<-X>c<-X>c<-X>,93,120.12856475571793,1.291704997373311
CC<-N>C<=O>NC,93,107.80071738552407,1.159147498769076
C<-N>C<=O>,93,100.37522676073041,1.079303513556241
cn-c,93,90.80899600526105,0.9764408172608715
cCCCO,93,85.58865359657318,0.920308103188959
CC<=O>NC<-C(=O)O>C,93,84.87962758156102,0.9126841675436669
CC<-O>CC,92,81.33302740795996,0.8840546457386952
C<=O>CCc,92,80.79606624402592,0.8782181113481079
ccccc<-CF3>,92,79.5920631915967,0.8651311216477902
c<=O>cn,92,73.79154078407852,0.8020819650443317
c<-C(=O)O>cc,91,87.33254782407066,0.9596983277370402
c<-X>cNC,91,76.49467433494635,0.8406008168675423
cc(c<-X>)-c,90,86.61132676691429,0.9623480751879365
cc(c)N=N,90,83.66006341723495,0.9295562601914995
c<-X>cccn,90,83.55692697816256,0.9284102997573618
C=CCCO,90,73.80320112632708,0.8200355680703009
cc(c<-X>)Oc,89,95.5530877110112,1.0736301990001258
cc(c)s,89,85.0021524087955,0.9550803641437696
C<-N>Cc,89,81.8546065315954,0.9197146801302853
cn(C)c<=O>n,89,79.07193948415485,0.888448758248931
c<-X>cc-c,88,93.01957547038167,1.0570406303452462
ccc(c)s,88,84.47067096758616,0.9598939882680245
ncS,88,78.9234005613151,0.896856824560399
c<-X>c<-X>cc<-X>,87,104.85948705959161,1.2052814604550761
cc-nc,87,87.47460533466177,1.0054552337317446
cCCCc,87,80.1962482451632,0.9217959568409564
Cccc[nH],87,73.20824798213903,0.8414741147372302
ccc-nc,86,86.92037910482,1.0107020826141861
cc<-X>c(c)-c,85,79.1733656871001,0.931451361024707
ccN=NN,85,76.71446531199592,0.902523121317599
CN(C)N=N,85,71.20242660521025,0.8376756071201206
CCccN,84,86.60703118995221,1.0310360855946692
ccc<-O>cC<=O>,84,83.02670952647975,0.9884132086485684
C<=O>C<-O>,84,62.97933647988807,0.7497540057129533
c<-X>cc<-X>c<-X>,83,109.31857381985552,1.3170912508416328
cc<-O>cCC,83,90.37391416101552,1.0888423392893436
cCC(C)N,83,74.4489919853189,0.896975807052035
CC<-N>C<=O>,82,88.96201576507377,1.0849026312813874
ccc<-X>c-c,82,74.32079629256994,0.9063511742996334
c<-X>ccc<-X>c,81,84.66782707016202,1.0452818156810126
C<-O>C<-O>C<-O>CO,81,82.26636567217498,1.0156341441009258
COC(C<-O>)n,81,71.10150967333611,0.8777964157201988
C<-O>C(n)O,81,71.1015096733361,0.8777964157201987
c<-NO2>cc<-NO2>,81,71.04896718601493,0.8771477430372214
c<-X>c<-X>ccc<-X>,80,96.89117908258898,1.2111397385323621
c<-X>cC<=O>,80,73.215667210663,0.9151958401332875
cnC(C<-O>)O,80,69.30702251515562,0.8663377814394453
c<-X>c<-X>c<-X>c<-X>,79,105.91455277129592,1.340690541408809
cc<-X>c<-X>c<-X>c,79,96.93669237218114,1.2270467388883688
cOC(C)C,79,79.70569278200308,1.0089328200253556
cc(c<-O>)C<=O>,79,78.4218447641015,0.992681579292424
C=CCOC<=O>,79,72.63898770370119,0.9194808570088758
CC<-O>CC<-O>,79,69.38475870921445,0.8782880849267652
cc<-X>cNC,79,69.33013044922583,0.8775965879648839
ccnc<=O>n,79,69.14361425394331,0.8752356234676368
ccc(c<-X>)-c,78,77.65532698889466,0.9955811152422392
c<-X>c<-X>cO,77,96.21732991746005,1.2495757132137668
c<-C(=O)O>cccc,76,78.46211965290006,1.032396311222369
C<-C(=O)O>NC<=O>,76,77.41151055491564,1.0185725073015215
CCCC<-N>,76,68.65921894891892,0.90341077564367
c<-X>cc<-X>cc,75,92.27999546952815,1.2303999395937086
cc<-NO2>cc<-NO2>,75,67.24503874039424,0.8966005165385899
C<-O>C<-O>Cn,75,66.64836790311935,0.8886449053749247
c<-X>c<-X>cOc,74,94.55244155414738,1.2777356966776672
C<=O>C<-N>,74,77.85969393202114,1.0521580261083938
cc(C)c[nH],74,69.86395363038135,0.9441074814916398
cc<-X>cC<=O>,74,68.57724389561878,0.9267195121029564
cnCC<-O>C<-O>,74,64.85388074493888,0.8764037938505254
CCC<-O>CC<-O>,74,62.957435169584095,0.8507761509403255
C<-O>CC<-O>C<-O>C,73,71.58695086201661,0.9806431624933781
CCCC<-C(=O)O>N,72,82.2134297522203,1.1418531910030598
CC(c)C,72,78.38341709721598,1.0886585707946663
c<-X>c-ccc,72,78.31508440115627,1.0877095055716148
ccn-c,72,72.05429128626224,1.0007540456425312
c<-X>ccc<-X>c<-X>,71,93.13139404388805,1.311709775266029
c<-X>cc(c<-X>)O,71,81.80474092246796,1.1521794496122248
c<-X>c(c<-X>)O,71,74.02877162869176,1.0426587553336868
