fragment,number_of_rel,sum_difficulty,avg_difficulty
CC,267,2417.4272132711767,9.05403450663362
cc,237,2697.5881031737595,11.382228283433584
ccc,205,2190.603906648085,10.685872715356512
CCC,205,1795.804432262677,8.760021620793546
cccc,182,1882.2015895989068,10.34176697581817
ccccc,160,1678.1140699197601,10.4882129369985
CCCC,128,1115.6979561576645,8.716390282481754
ccC,87,866.4659031723664,9.959378197383522
CCCCC,84,727.2491029343805,8.657727415885482
cccC,81,776.5437862039479,9.58696032350553
Cc,80,840.5158957627787,10.506448697034733
cc(c)C,69,698.3649906331202,10.12123174830609
ccc(c)C,68,686.3884561639481,10.093947884763944
ccccC,68,659.7310486403152,9.701927185886987
c<-X>c,46,345.06896485444895,7.501499235966281
C=C,42,378.71983560492157,9.017138942974324
CC(C)C,41,454.0165720083474,11.073574927032864
CN,40,653.7168108367977,16.34292027091994
cc<-X>c,38,349.37850101913654,9.194171079450962
c<-X>cc,37,257.1750499946035,6.950677026881176
cn,36,488.04274811694785,13.55674300324855
ccc<-O>c,35,520.1316876417775,14.860905361193643
cc<-O>c,35,520.1316876417775,14.860905361193643
C=CC,35,316.9766165774316,9.05647475935519
ccc<-O>,33,498.18838855796054,15.096617835089713
cc<-O>,32,493.7675336993594,15.43023542810498
cnc,32,385.0209691220051,12.03190528506266
ccn,31,380.40071328029245,12.270990750977175
ccCC,31,336.6480629476572,10.859614933795394
ccc<-X>c,31,291.6969389853104,9.409578676945497
CO,30,570.090765631863,19.0030255210621
CC<-O>,30,430.97600753195604,14.365866917731868
ccc<-O>cc,30,428.824868202661,14.294162273422033
CNC,30,425.4550646000925,14.18183548666975
C=CCC,30,259.15351741192075,8.638450580397357
ccnc,29,334.56605481688496,11.536760510927067
cccCC,28,315.3329222311434,11.261890079683694
CCc,27,295.4239783894878,10.941628829240289
CCC(C)C,27,288.27849881344747,10.676981437535092
c<-X>c<-X>,27,178.62402897474928,6.615704776842566
cc<-X>,26,424.0485244458418,16.309558632532376
cccc<-O>,26,359.004792867218,13.807876648739153
CCO,26,336.4901562523142,12.94192908662747
cc(c)CC,26,294.742511956278,11.336250459856846
c<-X>ccc,26,168.82598527232827,6.493307125858779
CCN,25,376.5686806736578,15.062747226946312
cccc<-O>c,25,335.50165206067607,13.420066082427043
CC<-X>,25,92.41243149630515,3.696497259852206
cccn,24,239.00370916617106,9.958487881923794
ccC<=O>,23,344.3712160038648,14.972661565385426
ccc<-X>cc,23,211.4622825554162,9.194012285018095
cO,23,188.76055937468877,8.206980842377773
cccC<=O>,22,337.938880098381,15.360858186290045
cccnc,22,193.16905070276343,8.780411395580156
ccncc,22,187.52753214721673,8.523978733964396
ccO,22,179.30279411125045,8.150127005056838
CC<=O>,22,177.86362377151096,8.084710171432317
cc(c)C<=O>,21,329.920004630367,15.710476410969855
ccc(c)C<=O>,21,329.920004630367,15.710476410969855
CCNC,21,307.98492175586904,14.665948655041383
cccc<-X>c,21,207.12924014902828,9.863297149953727
cccO,21,173.79452294731,8.27592966415762
C=CCCC,21,164.61604192101953,7.838859139096168
cc<-X>c<-X>,21,156.37181362299918,7.446276839190437
ccc<-X>,20,260.98213566881395,13.049106783440697
c<-X>cccc,20,153.78311514455064,7.689155757227532
CCCO,19,198.13318164299613,10.428062191736638
cc(c)c,19,167.66040483994988,8.824231833681573
ccc(c)c,19,167.66040483994988,8.824231833681573
ccccn,19,161.52847483159772,8.501498675347248
cc(c)O,19,155.0643119397125,8.161279575774342
ccc(c)O,19,155.0643119397125,8.161279575774342
CCC<-O>,19,143.92126860030334,7.574803610542281
ccc<-X>c<-X>,18,139.38958582523557,7.743865879179754
cN,17,304.8355994382735,17.931505849310206
CCNCC,17,218.17038141090714,12.83355184770042
cc<-NO2>c,17,209.60295753393677,12.3295857372904
c-c,17,150.75171077330006,8.867747692547063
c<-X>ccc<-X>,17,133.54189638684957,7.85540566981468
c<-X>cc<-X>,17,117.72498947345274,6.924999380791338
c<-X>c<-X>c<-X>,17,85.53138146010122,5.031257732947131
CCC<-X>,17,62.4489873122776,3.6734698418986826
ccccC<=O>,16,271.55633980105137,16.97227123756571
C<=O>N,16,256.9192969961662,16.05745606226039
c<-O>cccc,16,196.04488527139446,12.252805329462154
ccc<-N>c,16,179.8579453011939,11.241121581324618
cc<-N>c,16,179.8579453011939,11.241121581324618
COC,15,205.54678279773063,13.703118853182042
C<=O>O,15,190.5003335964233,12.700022239761553
cc<-NO2>,15,174.71639582384836,11.64775972158989
CC<-O>C,15,151.15304956766428,10.076869971177619
c<-X>c-c,15,137.89289072850613,9.192859381900409
ccccO,15,137.7413594564005,9.182757297093366
CCC<=O>,15,119.39328023762563,7.959552015841709
c<-N>c,14,206.99399962804927,14.785285687717804
CCOC,14,186.8030945622336,13.343078183016686
CccC,14,165.29322960100453,11.806659257214609
cc(C)cC,14,165.29322960100453,11.806659257214609
cc-c,14,138.3373448152777,9.88123891537698
CCCC<-O>,14,86.75395521077043,6.196711086483602
C<=O>c,13,217.37298461599136,16.72099881661472
cccc<-X>,13,177.6948695880732,13.668836122159478
ccccc<-O>,13,172.2432259817398,13.249478921672294
c<-N>cc,13,159.26464435995234,12.251126489227103
c<-OMe>cc,13,150.80237190029072,11.600182453868516
c<-OMe>c,13,150.80237190029072,11.600182453868516
ccCCC,13,140.7905722009266,10.830044015455892
ccc<-N>cc,13,134.2356672426973,10.325820557130562
CCC<-O>C,13,118.82451305637716,9.140347158182859
OccO,13,114.73541684464946,8.825801295742266
C=C(C)C,13,111.68368369926246,8.591052592250959
ccOcc,13,72.98503442107283,5.614233417005602
cOc,13,72.98503442107283,5.614233417005602
ccOc,13,72.98503442107283,5.614233417005602
c<-X>c<-X>c<-X>c<-X>,13,70.97318478372681,5.45947575259437
ccc<-NO2>c,12,151.0161833675364,12.5846819472947
CCCc,12,139.51522615257147,11.626268846047623
c<-O>c,12,132.7627677996214,11.063563983301783
cncC,12,130.65681828039072,10.88806819003256
Ccn,12,130.65681828039072,10.88806819003256
cc(C)n,12,130.65681828039072,10.88806819003256
cnc(c)C,12,130.65681828039072,10.88806819003256
CS,12,126.70348879241081,10.558624066034234
cc(c)-c,12,116.51727552746208,9.709772960621839
cc(O)cO,12,109.22714568070903,9.102262140059086
cc<-X>c<-X>c<-X>,12,72.7369313717894,6.061410947649116
cOccO,12,69.97736232671787,5.831446860559822
cccOc,12,67.4767632571324,5.623063604761033
cc(c)Oc,12,67.4767632571324,5.623063604761033
CCCC<-X>,12,43.21890906818078,3.6015757556817314
c[nH],11,282.15738490139796,25.650671354672543
CCCN,11,135.0001059353161,12.272736903210555
cC<=O>,11,130.25001453888294,11.840910412625721
c<-O>cc,11,128.34191294102015,11.667446631001832
cc-cc,11,122.1264464347133,11.102404221337572
ccc-c,11,118.27038643923356,10.751853312657596
cccc<-N>c,11,116.07164542663278,10.551967766057526
CCCCO,11,111.25785885613021,10.114350805102747
CcccC,11,110.48566998896207,10.04415181717837
cc<-X>c<-X>c,11,98.20347877804822,8.927588979822566
CC<=O>C,11,95.35201966707105,8.668365424279186
c<-X>cccc<-X>,11,92.85434399112947,8.441303999193588
CO<-C(=O)H>,11,89.64660036960034,8.14969094269094
cc<-X>c<-X>c<-X>c<-X>,11,65.22871292360816,5.929882993055287
c<-X>ccO,11,63.8433633215608,5.803942120141891
c<-X>ccOc,11,63.8433633215608,5.803942120141891
CNc,10,127.27525885177528,12.727525885177528
