fragment,number_of_rel,sum_difficulty,avg_difficulty
c<=O>[nH],8,56.21542002957692,7.026927503697115
[nH]c<=O>[nH],6,43.29801338909021,7.216335564848368
c<=O>[nH]c<=O>,6,43.29801338909021,7.216335564848368
c<=O>[nH]c<=O>[nH],6,43.29801338909021,7.216335564848368
C<-O>C<-O>C<-O>,4,68.99137100940308,17.24784275235077
c<=O>n,4,24.9325303536146,6.23313258840365
c<-X>c<=O>[nH],4,20.99524958628944,5.24881239657236
cc<-X>c<=O>[nH],4,20.99524958628944,5.24881239657236
c<-X>c<=O>[nH]c<=O>,4,20.99524958628944,5.24881239657236
c<-X>c<=O>[nH]c<=O>[nH],4,20.99524958628944,5.24881239657236
[nH]cc<-X>c<=O>[nH],4,20.99524958628944,5.24881239657236
cc<-X>c<=O>[nH]c<=O>,4,20.99524958628944,5.24881239657236
c[nH]c<=O>[nH],4,20.995249586289436,5.248812396572359
c[nH]c<=O>[nH]c<=O>,4,20.995249586289436,5.248812396572359
c<-X>c[nH]c<=O>[nH],4,20.995249586289436,5.248812396572359
cC<=O>N(C)C,4,20.688297324610346,5.1720743311525865
cc[nH],4,19.846793723807302,4.9616984309518255
c[nH]c,4,19.846793723807302,4.9616984309518255
cc[nH]c,4,19.846793723807302,4.9616984309518255
C<-O>C<-O>C<-O>C<-O>,3,58.433936961017075,19.47797898700569
C<=O>Oc,3,17.080070427951387,5.693356809317129
cc(c)OC<=O>,3,17.080070427951387,5.693356809317129
ccNC<=O>,3,16.920614332855813,5.640204777618604
cccNC<=O>,3,16.920614332855813,5.640204777618604
cc(c)NC<=O>,3,16.920614332855813,5.640204777618604
c<=O>nC,3,15.386659299995213,5.128886433331737
NCCO,3,14.602683061258176,4.867561020419392
CNCCO,3,14.602683061258176,4.867561020419392
COCCN,3,14.602683061258176,4.867561020419392
c<-C#N>ccc,3,11.07366374762074,3.6912212492069134
cccc<-C#N>c,3,11.07366374762074,3.6912212492069134
C<-O>O,2,42.788109674263,21.3940548371315
C<-O>C<-O>O,2,42.788109674263,21.3940548371315
C<-O>COC<-O>,2,42.788109674263,21.3940548371315
C<-O>C<-O>OC,2,42.788109674263,21.3940548371315
C<-O>C<-O>C<-O>O,2,42.788109674263,21.3940548371315
C<-O>COC<-O>C<-O>,2,42.788109674263,21.3940548371315
C<-O>C<-O>COC<-O>,2,42.788109674263,21.3940548371315
C<-O>C<-O>C<-O>OC,2,42.788109674263,21.3940548371315
C<-O>C<-O>C<-O>C<-O>O,2,42.788109674263,21.3940548371315
C<-O>C<-O>CO,2,42.788109674263,21.3940548371315
C<-O>C<-O>C<-O>CO,2,42.788109674263,21.3940548371315
c<=O>c,2,22.279143148343902,11.139571574171951
c<=O>c<-X>,2,17.203180660475496,8.601590330237748
nn,2,15.322202609520781,7.661101304760391
cnn,2,15.322202609520781,7.661101304760391
c<=O>nn,2,15.322202609520781,7.661101304760391
[nH]cn,2,13.45891830346852,6.72945915173426
c[nH]cn,2,13.45891830346852,6.72945915173426
[nH]ccn,2,13.45891830346852,6.72945915173426
cnc[nH]c,2,13.45891830346852,6.72945915173426
cc[nH]cn,2,13.45891830346852,6.72945915173426
