Compound,Weight (g/mol),Additives,Additives,Temp ©,CMC,,Qual. Mat. Meth.,Method,Authors,Reference,Source,Evaluation,Canonical SMILES,,,
SODIUM DODECYL SULFATE,288.3,5.03 E 0 H,PROPANOL-1,0.5,4.70E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.71 E 0 H,PROPANOL-2,0.5,5.70E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.03 E 0 H,PROPANOL-1,0.5,4.70E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.71 E 0 H,PROPANOL-2,0.5,5.70E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,, 
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,5,5.51E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,10.0,7.33E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9. E 0 P,ETHANOL,10.0,6.63E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,6.E 0 P,ETHANOL,10.0,6.33E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.E 0 P,ETHANOL,10.0,5.55E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3. E 0 P,ETHANOL,10,5.50E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,10,8.81E-03,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,10,8.67E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,10.0,8.55E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM OCTYL 1 SULFATE,232.2,,,10,1.42E-01,W,,,,,L,,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DODECYL SULFATE,288.3,5.03 E 0 H,PROPANOL-1,10.5,4.00E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.71 E 0 H,PROPANOL-2,10.5,4.90E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.03 E 0 H,PROPANOL-1,10.5,4.00E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.71 E 0 H,PROPANOL-2,10.5,4.90E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.5 E 1 H,DIOXANE,15,2.10E-02,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.0 E 1 H,DIOXANE,15,1.38E-02,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.5 E 1 H,DIOXANE,15,9.03E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.0 E 1 H,DIOXANE,15,7.31E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5. E 0 H,DIOXANE,15,6.73E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,15,5.54E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,15,8.51E-03,W,BA,SPECFC CONDCTNCE EQUATNS,GOOD BENS,57011,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,15,8.43E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM OCTYL 1 SULFATE,232.2,,,15,1.37E-01,W,BA,SPECFC CONDCTNCE EQUATNS,GOOD BENS,57011,L,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DODECYL SULFATE,288.3,2.002E 1 H,ETHANOL,20,8.50E-03,M,CB,EQUIV CONDCTNCE GRAPH,WARD,40004,P,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.91 E 0 H,ETHANOL,20,5.67E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,20,5.65E-03,M,CB,EQUIV CONDCTNCE GRAPH,WARD,40004,P,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,20,8.47E-03,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
