,smiles
1,[Na+].CCCCCCCCCCCCCCO[S]([O-])(=O)=O
2,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)C
3,[K+].CCCCCCCC([O-])=O
24,[Li+].CCCCCCCCCCCCO[S]([O-])(=O)=O
25,CCCCCCCCCCCCO[S]([O-])(=O)=O.C[N+](C)(C)C
26,[Na+].CCCCCCCCCCCC[S]([O-])(=O)=O
29,CCCCCCCCCCCCC(C(O)=O)[S](O)(=O)=O
30,[Cl-].CCCCCCCCCC[N+](C)(C)C
40,CCCCCCCCC[N+](C)(C)[O-]
44,[Na+].CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)[S]([O-])(=O)=O
46,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C
47,CC(C)c1ccc(c(C(C)C)c1C(C)C)[S](O)(=O)=O
48,[Na+].CCCCCCCCCCCC([O-])=O
49,[Cl-].CCCCCCCCCCCCCCCC[n+]1ccccc1
50,[Cl-].CCCCCCCCCCCC[n+]1ccccc1
51,[Cl-].CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1
52,CCCCCCCC[N+](C)(C)C.CCCCCCCC[S]([O-])(=O)=O
53,CCCCCCCCCC[N+](C)(C)C.CCCCCCCCCC[S]([O-])(=O)=O
54,[Br-].CCCCCCCCCCCC[n+]1ccccc1
55,[Na+].CCCCCCCCCO[S]([O-])(=O)=O
56,[Na+].CCCCCCCCCCCCCC([O-])=O
57,[Na+].CCCCCCCCCC([O-])=O
60,[Na+].CCCCCCCCCCCO[S]([O-])(=O)=O
65,[Mg++].CCCCCCCC[S]([O-])(=O)=O.CCCCCCCC[S]([O-])(=O)=O
66,[Mg++].CCCCCCCCCC[S]([O-])(=O)=O.CCCCCCCCCC[S]([O-])(=O)=O
67,[Mg++].CCCCCCCCCCCC[S]([O-])(=O)=O.CCCCCCCCCCCC[S]([O-])(=O)=O
68,CCCCCCCCCCO[S]([O-])(=O)=O.CCCCCCCCCC[N+](C)(C)C
70,CCCCCCCCCC[S]([O-])(=O)=O.CCCCCCCC[N+](C)(C)C
71,[I-].CCCCCCCCCCCC[n+]1ccccc1
74,CCCCCCCCCCCCO[S]([O-])(=O)=O.CCCCCCCC[N+](C)(C)C
80,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
81,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
84,[Br-].CCCCCCCCCCCCCCCC[n+]1ccccc1
85,[Cl-].CCCCCCCCCCCC[NH2+]C
86,[Cl-].CCCCCCCCCCCC[NH+](C)C
87,[K].CCCCCCCC(=O)OF
88,[I-].CCCCCCCCCC[n+]1ccccc1
89,CCCCCCCCCCCC[NH3+].[O-][N+]([O-])=O
90,[Cl-].CCCCCCCC[N+](C)(C)CCCCCCCC
91,CCCCCCCCCCCC[C+]1C=CC=CC=C1.O[S]([O-])(=O)=O
