,logP14k.csv_ESOL.csv
0,O=C1CCCCC1
1,CNC(=O)Oc1ccccc1C(C)C
2,CCOC(=O)CC
3,CCCCOCCO
4,CC1CO1
5,Cc1cccc2ccccc12
6,C1CCCC1
7,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
8,CCC(=O)Nc1ccc(Cl)c(Cl)c1
9,CC(C)(C)CO
10,CCNc1nc(NC(C)C)nc(SC)n1
11,CCCCCCl
12,c1ccc2ccccc2c1
13,CCCOC(=O)c1ccc(N)cc1
14,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
15,c1ccc2cc3ccccc3cc2c1
16,c1ccncc1
17,CC(C)OC(C)C
18,Fc1cccc(Br)c1
19,CCCCCCCCCCCCCCO
20,CCCCCCCBr
21,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
22,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
23,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
24,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
25,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
26,Clc1cccc(Cl)c1
27,Oc1cc(Cl)cc(Cl)c1
28,CC12CCC(CC1)C(C)(C)O2
29,CCCCCCCCCCO
30,C=CCC=C
31,NC(=S)Nc1ccccc1
32,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
33,FC(F)(Cl)C(F)(Cl)Cl
34,NC(=O)c1ccccc1O
35,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
36,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
37,CC(C)Cl
38,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C
39,CNC(=O)Oc1ccccc1OC(C)C
40,Cc1ccc(Br)cc1
41,Oc1ccc2ccccc2c1
42,CCCCl
43,Cc1cccc(O)c1
44,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
45,CCCCCCO
46,BrC(Br)Br
47,CCCCC(=O)OC
48,Nc1ccc(Cl)cc1
49,CC(O)C(C)(C)C
50,Clc1cc(Cl)c(Cl)cc1Cl
51,CCCCCO
52,Cc1ccccc1C
53,Cc1ccc(O)cc1
54,Nc1cccc2ccccc12
55,CCCCCCCCC(=O)OC
56,CCCCCCCI
57,CC(C)(C)c1ccccc1
58,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
59,COC(C)(C)C
60,CCNc1ccccc1
61,CCOC(C)OCC
62,Oc1cccc(Cl)c1Cl
63,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
64,CCCC(=O)OC
65,CCCOC=O
66,CCCCCCCCO
67,COC(=O)c1ccccc1C(=O)OC
68,CCOP(=S)(OCC)SCSC(C)(C)C
69,CCOC(=O)c1ccc(N)cc1
70,COC(=O)c1ccc(O)cc1
71,CCCCCCCC
72,Cc1ccc(N)cc1
73,CNC(=O)ON=C(SC)C(=O)N(C)C
74,Clc1ccc(Cl)cc1
75,Cc1cccc(C)n1
76,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
77,CCCCC(C)O
78,Oc1ccc(Cl)c(Cl)c1Cl
79,CC1(C)CON(Cc2ccccc2Cl)C1=O
80,CCOCC
81,CCC(C)(C)C
82,CCOC(=O)c1ccccc1
83,OCCOc1ccccc1
84,Cc1c(C)c(C)c(C)c(C)c1C
85,CCSCCSP(=S)(OC)OC
86,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
87,O=Cc1ccccc1
