iupac,smiles,expt,calc
"4-methoxy-N,N-dimethyl-benzamide",CN(C)C(=O)c1ccc(cc1)OC,-11.01,-9.625
methanesulfonyl chloride,CS(=O)(=O)Cl,-4.87,-6.219
3-methylbut-1-ene,CC(C)C=C,1.83,2.452
2-ethylpyrazine,CCc1cnccn1,-5.45,-5.809
heptan-1-ol,CCCCCCCO,-4.21,-2.917
"3,5-dimethylphenol",Cc1cc(cc(c1)O)C,-6.27,-5.444
"2,3-dimethylbutane",CC(C)C(C)C,2.34,2.468
2-methylpentan-2-ol,CCCC(C)(C)O,-3.92,-2.779
"1,2-dimethylcyclohexane",C[C@@H]1CCCC[C@@H]1C,1.58,1.685
butan-2-ol,CC[C@H](C)O,-4.62,-3.145
dibromomethane,C(Br)Br,-1.96,-0.405
2-methylpentan-3-ol,CC[C@H](C(C)C)O,-3.88,-2.416
