smiles,file,smiles.1,file.1,smiles.2,file.2,smiles.3,file.3,smiles.4,file.4
CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCCC(C(N)=O)C2)CC1,"train_smiles_jak2_pic50_rf_[0, 4]_0.csv",CC1(C)C(O)CCC1Nc1c(C(N)=O)cnn2cccc12,"train_smiles_jak2_pic50_rf_[0, 4]_1.csv",CC(C)S(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc(N5CCN(C)CC5)cc4)nc23)cc1,"train_smiles_jak2_pic50_rf_[0, 4]_2.csv",CC(C)CS(=O)(=O)N1CC(C)CC(NC(=O)Nc2cnc3[nH]ccc3n2)C1,"train_smiles_jak2_pic50_rf_[0, 4]_3.csv",N#CC1CC(N2CC(F)C2)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,"train_smiles_jak2_pic50_rf_[0, 4]_4.csv"
Cc1cccc(Oc2cnc3[nH]cc(C(=O)NC(C)C)c3n2)c1,"train_smiles_jak2_pic50_rf_[0, 4]_0.csv",Fc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12,"train_smiles_jak2_pic50_rf_[0, 4]_1.csv",O=C1NN(c2ccccc2)C(=O)C1=Cc1cc(Cl)ccc1OCc1ccccc1,"train_smiles_jak2_pic50_rf_[0, 4]_2.csv",N#CC1CC(N2CCCC2CF)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,"train_smiles_jak2_pic50_rf_[0, 4]_3.csv",Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,"train_smiles_jak2_pic50_rf_[0, 4]_4.csv"
NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cc(OC(F)(F)F)ccc1Cl,"train_smiles_jak2_pic50_rf_[0, 4]_0.csv",NC1CCCCC1Nc1cc2cc[nH]c(=O)c2c(Nc2cccc3c(Cl)c[nH]c23)n1,"train_smiles_jak2_pic50_rf_[0, 4]_1.csv",COc1cccc(-c2cccn3nc(Nc4ccc(C5CCNCC5)cc4)nc23)c1OC,"train_smiles_jak2_pic50_rf_[0, 4]_2.csv",COc1cccc(NC(=O)c2cnc(Nc3cccc(OC)c3)c([N+](=O)[O-])c2)c1,"train_smiles_jak2_pic50_rf_[0, 4]_3.csv",CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4cnn(CCN5CCCC5)c4)nc23)cc1,"train_smiles_jak2_pic50_rf_[0, 4]_4.csv"
CC1(O)CCC(Nc2c(C(N)=O)cnn3cccc23)C1(C)C,"train_smiles_jak2_pic50_rf_[0, 4]_0.csv",CS(=O)(=O)c1ccc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)cc1F,"train_smiles_jak2_pic50_rf_[0, 4]_1.csv",NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cc(OC(F)(F)F)ccc1Cl,"train_smiles_jak2_pic50_rf_[0, 4]_2.csv",CC(C)N1CCC(S(=O)(=O)CC2CC(N(C)c3[nH]cnc4nccc3-4)C2)C1,"train_smiles_jak2_pic50_rf_[0, 4]_3.csv",Cn1cc(NC(=O)c2cnn3ccc(N)nc23)c(-c2cc(Cl)ccc2Cl)n1,"train_smiles_jak2_pic50_rf_[0, 4]_4.csv"
CN1CCN(c2cccc(N(c3cccc(N4CCN(C)CC4)c3)c3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(F)cn4n3)c2)CC1,"train_smiles_jak2_pic50_rf_[0, 4]_0.csv",COc1cccc(CNc2cccn3nc(Nc4cccnc4)nc23)c1,"train_smiles_jak2_pic50_rf_[0, 4]_1.csv",CN1CCN(c2ccc(Nc3nc4c(NCc5ccccc5CN(C)S(C)(=O)=O)cccn4n3)cc2)CC1,"train_smiles_jak2_pic50_rf_[0, 4]_2.csv",NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cccc(Cl)c1,"train_smiles_jak2_pic50_rf_[0, 4]_3.csv",NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cc(C(F)(F)F)ccc1C(F)(F)F,"train_smiles_jak2_pic50_rf_[0, 4]_4.csv"
COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nn12,"train_smiles_jak2_pic50_rf_[0, 4]_0.csv",N#CC1CCCC1n1cc(C(N)=O)c(Nc2ccccc2)n1,"train_smiles_jak2_pic50_rf_[0, 4]_1.csv",NS(=O)(=O)N1CCC(NC(=O)c2cnn3ccc(N4CCCC4c4cc(F)ccc4F)nc23)CC1,"train_smiles_jak2_pic50_rf_[0, 4]_2.csv",Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,"train_smiles_jak2_pic50_rf_[0, 4]_3.csv",CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C(=O)N5CC(C#N)C5)C(C)(C)C)c4n3)cc21,"train_smiles_jak2_pic50_rf_[0, 4]_4.csv"
Clc1cnc2nc1NCCc1cccc(c1)OCc1cccc(c1)N2,"train_smiles_jak2_pic50_rf_[0, 4]_0.csv",Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(Nc3ccc(N4CCN(C)CC4)cc3)n2)cc1C(N)=O,"train_smiles_jak2_pic50_rf_[0, 4]_1.csv",Oc1ccc(C2Nc3ccccc3-c3ncnc4[nH]cc2c34)cc1F,"train_smiles_jak2_pic50_rf_[0, 4]_2.csv",N#CCC(=O)N1CCCC(n2c(=O)[nH]c3cnc4[nH]ccc4c32)C1,"train_smiles_jak2_pic50_rf_[0, 4]_3.csv",COc1cc(C2CCN(CC(N)=O)CC2)ccc1Nc1ncc2ccc(-c3ccccc3OC)n2n1,"train_smiles_jak2_pic50_rf_[0, 4]_4.csv"
COc1ccccc1Nc1nc2c(-c3cccc(C(F)(F)F)c3)cccn2n1,"train_smiles_jak2_pic50_rf_[0, 4]_0.csv",CC(=O)c1ccc(Nc2nn(C3CCC(N4CCC4)CC3C#N)cc2C(N)=O)cc1,"train_smiles_jak2_pic50_rf_[0, 4]_1.csv",N#CC1CC(NC2CCS(=O)(=O)C2)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,"train_smiles_jak2_pic50_rf_[0, 4]_2.csv",CN1CCN(c2ccc(Nc3nc4c(Nc5cccc(S(C)(=O)=O)c5)cccn4n3)cc2)CC1,"train_smiles_jak2_pic50_rf_[0, 4]_3.csv",CCOC(=O)c1c[nH]c2ncnc(-c3ccc4c(F)n(C)nc4c3)c12,"train_smiles_jak2_pic50_rf_[0, 4]_4.csv"
COC1CCN(S(=O)(=O)CC2CCC(N(C)c3[nH]cnc4nccc3-4)CC2)CC1,"train_smiles_jak2_pic50_rf_[0, 4]_0.csv",O=C(O)c1ccc(Nc2nc3c(-c4cnn(C5CCCC5)c4)cccn3n2)cc1,"train_smiles_jak2_pic50_rf_[0, 4]_1.csv",CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCCC(O)C2)CC1,"train_smiles_jak2_pic50_rf_[0, 4]_2.csv",Cc1ccccc1-n1cc(-c2ccn(C)n2)c2n[nH]c(N)c2c1=O,"train_smiles_jak2_pic50_rf_[0, 4]_3.csv",CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)c(C(=O)NC)s3)nc21,"train_smiles_jak2_pic50_rf_[0, 4]_4.csv"
CC(C)(CF)c1ccc(Nc2nn(C3CCC(O)CC3C#N)cc2C(N)=O)cc1,"train_smiles_jak2_pic50_rf_[0, 4]_0.csv",CS(=O)(=O)N1CCCC(Nc2nc(N3CCN(c4ccccn4)CC3)ncc2-c2cnc3[nH]ccc3n2)C1,"train_smiles_jak2_pic50_rf_[0, 4]_1.csv",NC(=O)c1nc(-c2ccccc2)cc2c1[nH]c1cc(C(=O)N3CCOCC3)ccc12,"train_smiles_jak2_pic50_rf_[0, 4]_2.csv",CN(C)C(=O)CN1CCC(c2ccc(Nc3nc4c(-c5cnn(-c6ccc(F)cc6)c5)cccn4n3)cc2)CC1,"train_smiles_jak2_pic50_rf_[0, 4]_3.csv",CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc4)nc23)cc1,"train_smiles_jak2_pic50_rf_[0, 4]_4.csv"
