,smiles
940,CN(=O)=O
307,ClC(Cl)(Cl)Cl
721,CN(C)C(=O)C(c1ccccc1)c2ccccc2 
613,CCCCCCCCCO
914,CCCCCCC(=O)OCC
85,ClC(Cl)(Cl)C(Cl)(Cl)Cl
1018,ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O
1055,CCCCC(CC)CO
282,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C
99,CC(C)c1ccccc1
975,CCCCCCCCCCCCCCCC
531,C1c2ccccc2c3ccccc13
442,CCN2c1ncccc1N(CC)C(=O)c3cccnc23 
61,CCCOC(=O)CC
1090,O=C(C=CC=Cc2ccc1OCOc1c2)N3CCCCC3
644,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 
859,CCCCCC
735,Oc1ccccc1Cl
889,O=C1NC(=O)NC(=O)C1(C)CC
683,Cc1cc(=O)n(c2ccccc2)n1C
591,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2
1023,CC(C)c1ccc(C)cc1
235,CCNc1nc(Cl)nc(NC(C)C)n1
279,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2
915,CC(=O)Nc1ccc(O)cc1
313,c1cnc2c(c1)ccc3ncccc23
834,Cc1cc(C)c(O)c(C)c1
615,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
482,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
655,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O
994,CC(C)CCCO
380,CCCCCC(=O)OCC
842,CCC(C)O
443,Clc1ccccc1
170,Clc1ccc(Cl)c(Cl)c1Cl
500,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O
579,c1ccc(cc1)c2ccc(cc2)c3ccccc3
210,CCOC(=O)C
293,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O
754,COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O 
151,Oc1cccc(O)c1
441,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
852,O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2 
231,O=C1NC(=O)NC(=O)C1(C)CC=C
617,CCSC(=O)N(CC(C)C)CC(C)C
884,Cc1cc(cc(N(=O)=O)c1O)N(=O)=O
950,CC(C)OC(=O)Nc1cccc(Cl)c1
689,C=C
12,CCCC=C
609,CCCC(=O)OCC
1114,CCCCc1ccccc1
200,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2
1020,COC(=O)C=C
553,CCCCI
575,CCCCOC=O
404,CCC1(CC)C(=O)NC(=O)N(C)C1=O 
310,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
767,CCCCCCCC
164,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 
623,Nc3cc2c1ccccc1ccc2c4ccccc34 
1077,CCCCCOC(=O)C
935,c2ccc1NCCc1c2 
36,N(c1ccccc1)c2ccccc2
719,O=c1[nH]cnc2[nH]ncc12 
864,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
455,CCCC1CCCC1
783,CCCCCCCCCCCCCCO
491,CC(C)CC(C)(C)C
126,CCCCc1c(C)nc(nc1O)N(C)C 
179,CCC1(CCC(=O)NC1=O)c2ccccc2 
73,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
1035,CC(C)C(=O)C(C)C
41,OCCCC=C
725,OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl
387,c1ccccc1(OC(=O)NC)
1040,Cc1ccc(O)cc1C
681,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl 
405,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
966,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO
870,c1ccc(cc1)c2ccccc2
768,c1ccc2cc3ccccc3cc2c1
54,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
320,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 
360,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C
890,OCCOc1ccccc1
901,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
633,NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl 
968,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC 
263,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
840,COCOC
456,CCOC(=O)c1cncn1C(C)c2ccccc2
463,ClCCC#N 
155,CCCOC(=O)C
29,CCCCCCCC(=O)OC
1064,CNC(=O)C(C)SCCSP(=O)(OC)(OC)
347,CCCCCCCCCC(=O)OCC
79,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl
473,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O
11,Clc1ccc2ccccc2c1
550,CCC(C)CCO
93,CCCOC(C)C
189,Nc1ccccc1O
339,c3ccc2nc1ccccc1cc2c3
879,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
670,FC(F)(Cl)C(F)(Cl)Cl
173,CI
272,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
75,CC(C)CCOC(=O)C
477,CCCCCCBr
680,COc1ccccc1O 
1086,c1ccccc1NC(=O)c2c(O)cccc2
122,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
378,CCC(=O)Nc1ccc(Cl)c(Cl)c1
794,CC(=O)c1ccccc1
497,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45
888,NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl 
774,Sc1nccc(=O)[nH]1 
726,COC(=O)c1ccccc1
220,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
1120,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl 
679,OCC(O)CO
1060,CN(C)C(=S)SSC(=S)N(C)C 
475,CCI
82,NC(=S)N
453,CCN2c1ccccc1N(C)C(=O)c3ccccc23 
751,CCCCCCC
209,CCCCl
1112,CCCCCCC(C)O
764,Oc1cc(Cl)c(Cl)cc1Cl
438,CCC(C)(C)Cl
920,CC34CCC1C(CCC2CC(=O)CCC12C)C3CCC4O 
39,CCCCCCCI
986,CC(C)=CC3C(C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C 
530,O2c1ccccc1N(C)C(=O)c3cccnc23 
706,c1ccoc1
1050,COC(=O)c1ccccc1OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O
416,Nc1ccccc1N(=O)=O
485,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
1094,c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1
668,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl
564,CCCCCCCC(=O)OCC
704,Nc1ccc(Cl)cc1
641,CCC(=C)C
211,CCCC(C)(C)C
45,CCCCCC(C)O
814,CCOC(=O)c1ccccc1
364,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO
710,CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3
539,CCNc1nc(NC(C)C)nc(SC)n1
674,CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O
542,CCCC(C)O
594,C1CCCC1
880,CCC(C)(C)C
700,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
452,Clc1cccc2ccccc12
459,c2ccc1ocnc1c2
686,CCNc1nc(Cl)nc(NCC)n1 
253,CCOC(=O)N
395,CCCC(=O)CC
204,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C
791,c1nccc(C(=O)NN)c1
407,CN(C)C(=O)Nc1ccc(C)c(Cl)c1
874,O=C2NC(=O)C1(CCCCCC1)C(=O)N2 
232,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O
318,Nc1ncnc2nc[nH]c12 
798,COc2cnc1cncnc1n2
7,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O
561,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O 
130,Cc1ccncc1C
203,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
708,CN(C)C(=O)NC1CC2CC1C3CCCC23
424,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O 
649,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C
752,Oc1cccc2ccccc12
532,CC1CCCCC1
843,Oc1ccc(O)cc1
839,C=Cc1ccccc1
350,CC(C)O
804,CNC(=O)C=C(C)OP(=O)(OC)OC
494,CCC
423,c1(Br)c(Br)cc(Br)cc1
198,Cc1ccccc1Cl
375,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC 
832,CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2
353,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2
1106,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2
496,Nc2cccc3nc1ccccc1cc23 
156,Oc2ccc1CCCCc1c2 
738,CCOC(=O)C=Cc1ccccc1
317,O=c1cc[nH]c(=O)[nH]1 
650,c1cc2ccc3cccc4ccc(c1)c2c34
786,CCCC#C
228,CC(C)=CCCC(O)(C)C=C
134,CC1=CCC(CC1)C(C)=C
478,CCCC(C)C
899,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
147,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
328,CCCOC(=O)CCC
250,CCN2c1ncccc1N(C)C(=O)c3cccnc23 
314,COC(C)(C)C
962,Clc1ccc(cc1)c2c(Cl)cccc2Cl 
778,COc2c1occc1c(OC)c3c(=O)cc(C)oc23 
144,Cc1cccc(C)c1
176,CC1=CC(=O)CC(C)(C)C1 
246,CCOC(=O)c1ccc(N)cc1
1072,CCOC(=O)c1ccccc1C(=O)OCC
153,CCCCCCl
390,Cc1ccc2cc3ccccc3cc2c1
302,Nc1ccc(cc1)S(N)(=O)=O
605,CC(=O)N
501,Brc1ccc(Br)cc1
507,COc1ncnc2nccnc12 
747,CCC(O)C(C)C
1054,Cc1cccc2c1ccc3ccccc32
965,c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1
294,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2
40,c1c(Cl)cccc1c2ccccc2
602,Sc2nc1ccccc1s2 
717,CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
687,CN(C)C(=O)C
860,COC(=O)c1cccnc1 
688,CSc1nc(nc(n1)N(C)C)N(C)C
316,CCCCCCCCCCCCCCCCO
979,CCCCCCCCC(=O)OC
937,CCC(C)C(=O)C
205,C=CC=O
875,OCC1OC(O)(CO)C(O)C1O
604,COc2c1occc1cc3ccc(=O)oc23 
526,CC(=C)C
1058,Clc1cccc(n1)C(Cl)(Cl)Cl
921,CCCC(O)C=C
1013,CNC(=O)Oc1ccccc1C(C)C
588,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C
30,CCc1ccc(CC)cc1
877,ClCC#CCOC(=O)Nc1cccc(Cl)c1
326,CCN(CC)C(=O)CSc1ccc(Cl)nn1
285,O=C1NC(=O)NC(=O)C1(CC)CC
180,CCC(C)CC
957,CC(O)c1ccccc1
989,CCCCCCCCBr
356,C/C=C/C=O
855,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
853,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
557,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
118,CCCCCCc1ccccc1
19,CCCCCCCCCC(C)O
123,Oc1cccc(c1)N(=O)=O
241,Cc1cccc(N)c1
