Run#,alpha,ccp_alpha,criterion,init,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_impurity_split,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_iter_no_change,presort,random_state,subsample,tol,validation_fraction,verbose,warm_start
Run #1,alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse', init=None, learning_rate=0.02647634528432971, loss='ls', max_depth=22, max_features='sqrt', max_leaf_nodes=None, min_impurity_decrease=0.0, min_impurity_split=None, min_samples_leaf=30, min_samples_split=7, min_weight_fraction_leaf=0.0, n_estimators=2000, n_iter_no_change=None, presort='deprecated', random_state=None, subsample=1.0, tol=0.0001, validation_fraction=0.1, verbose=0, warm_start=False
Run #9,alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse', init=None, learning_rate=0.029608363018603565, loss='ls', max_depth=12, max_features='sqrt', max_leaf_nodes=None, min_impurity_decrease=0.0, min_impurity_split=None, min_samples_leaf=7, min_samples_split=30, min_weight_fraction_leaf=0.0, n_estimators=2000, n_iter_no_change=None, presort='deprecated', random_state=None, subsample=1.0, tol=0.0001, validation_fraction=0.1, verbose=0, warm_start=False
Run #10,alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse', init=None, learning_rate=0.007662285455623914, loss='ls', max_depth=10, max_features='sqrt', max_leaf_nodes=None, min_impurity_decrease=0.0, min_impurity_split=None, min_samples_leaf=2, min_samples_split=30, min_weight_fraction_leaf=0.0, n_estimators=2000, n_iter_no_change=None, presort='deprecated', random_state=None, subsample=1.0, tol=0.0001, validation_fraction=0.1, verbose=0, warm_start=False
Run #11,alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse', init=None, learning_rate=0.011466060230435341, loss='ls', max_depth=15, max_features='sqrt', max_leaf_nodes=None, min_impurity_decrease=0.0, min_impurity_split=None, min_samples_leaf=13, min_samples_split=30, min_weight_fraction_leaf=0.0, n_estimators=2000, n_iter_no_change=None, presort='deprecated', random_state=None, subsample=1.0, tol=0.0001, validation_fraction=0.1, verbose=0, warm_start=False
Run #12,alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse', init=None, learning_rate=0.01832919292466159, loss='ls', max_depth=20, max_features='sqrt', max_leaf_nodes=None, min_impurity_decrease=0.0, min_impurity_split=None, min_samples_leaf=6, min_samples_split=30, min_weight_fraction_leaf=0.0, n_estimators=1531, n_iter_no_change=None, presort='deprecated', random_state=None, subsample=1.0, tol=0.0001, validation_fraction=0.1, verbose=0, warm_start=False
Run #25,alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse', init=None, learning_rate=0.006938762376908104, loss='ls', max_depth=13, max_features='sqrt', max_leaf_nodes=None, min_impurity_decrease=0.0, min_impurity_split=None, min_samples_leaf=2, min_samples_split=30, min_weight_fraction_leaf=0.0, n_estimators=2000, n_iter_no_change=None, presort='deprecated', random_state=None, subsample=1.0, tol=0.0001, validation_fraction=0.1, verbose=0, warm_start=False
Run #26,alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse', init=None, learning_rate=0.008060748319796794, loss='ls', max_depth=25, max_features='sqrt', max_leaf_nodes=None, min_impurity_decrease=0.0, min_impurity_split=None, min_samples_leaf=9, min_samples_split=2, min_weight_fraction_leaf=0.0, n_estimators=2000, n_iter_no_change=None, presort='deprecated', random_state=None, subsample=1.0, tol=0.0001, validation_fraction=0.1, verbose=0, warm_start=False
Run #36,alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse', init=None, learning_rate=0.0451016370773573, loss='ls', max_depth=4, max_features='auto', max_leaf_nodes=None, min_impurity_decrease=0.0, min_impurity_split=None, min_samples_leaf=30, min_samples_split=18, min_weight_fraction_leaf=0.0, n_estimators=2000, n_iter_no_change=None, presort='deprecated', random_state=None, subsample=1.0, tol=0.0001, validation_fraction=0.1, verbose=0, warm_start=False
Run #37,alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse', init=None, learning_rate=0.06635973937319446, loss='ls', max_depth=7, max_features='auto', max_leaf_nodes=None, min_impurity_decrease=0.0, min_impurity_split=None, min_samples_leaf=30, min_samples_split=30, min_weight_fraction_leaf=0.0, n_estimators=2000, n_iter_no_change=None, presort='deprecated', random_state=None, subsample=1.0, tol=0.0001, validation_fraction=0.1, verbose=0, warm_start=False
Run #38,alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse', init=None, learning_rate=0.02707587856699529, loss='ls', max_depth=7, max_features='sqrt', max_leaf_nodes=None, min_impurity_decrease=0.0, min_impurity_split=None, min_samples_leaf=2, min_samples_split=30, min_weight_fraction_leaf=0.0, n_estimators=2000, n_iter_no_change=None, presort='deprecated', random_state=None, subsample=1.0, tol=0.0001, validation_fraction=0.1, verbose=0, warm_start=False
