Run#,learning_rate,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
Run #1,0.02647634528432971,22,'sqrt',30,7,2000
Run #9,0.029608363018603565,12,'sqrt',7,30,2000
Run #10,0.007662285455623914,10,'sqrt',2,30,2000
Run #11,0.011466060230435341,15,'sqrt',13,30,2000
Run #12,0.01832919292466159,20,'sqrt',6,30,1531
Run #25,0.006938762376908104,13,'sqrt',2,30,2000
Run #26,0.008060748319796794,25,'sqrt',9,2,2000
Run #36,0.0451016370773573,4,'auto',30,18,2000
Run #37,0.06635973937319446,7,'auto',30,30,2000
Run #38,0.02707587856699529,7,'sqrt',2,30,2000
Run #39,0.012472770305740833,18,'sqrt',30,30,2000
Run #40,0.023084930299835917,25,'sqrt',24,30,2000
Run #51,0.02996987085561259,19,'sqrt',30,30,2000
Run #52,0.04107760206612018,10,'sqrt',30,30,2000
Run #53,0.03751372221275142,9,'sqrt',15,2,2000
Run #54,0.039345685037684715,7,'sqrt',15,30,2000
Run #55,0.03246140155688843,12,'sqrt',30,2,2000
Run #56,0.048916762321040475,21,'sqrt',13,30,2000
Run #57,0.036971999124687155,20,'sqrt',10,2,2000
Run #65,0.02374396630849616,2,'auto',30,30,2000
Run #66,0.04842086907419894,2,'auto',2,2,2000
Run #67,0.11722491219286851,1,'sqrt',2,30,2000
Run #68,0.021330124775788786,17,'sqrt',12,30,2000
Run #69,0.1163977964264394,14,'sqrt',5,2,2000
