Run#,algorithm, leaf_size, n_neighbors, p, weights
Run #13,'auto',20,5,2,'distance'
Run #14,'kd_tree',50,5,2,'distance'
Run #15,'auto',20,5,1,'distance'
Run #16,'auto',50,5,5,'distance'
Run #17,'ball_tree',50,5,5,'distance'
Run #27,'auto',20,6,1,'distance'
Run #28,'kd_tree',50,5,1,'uniform'
Run #41,'kd_tree',50,6,1,'distance'
Run #42,'kd_tree',20,5,1,'distance'
Run #43,'auto',50,7,1,'distance'
Run #44,'kd_tree',20,5,2,'distance'
Run #45,'ball_tree',20,6,2,'distance'
Run #70,'kd_tree',20,5,1,'distance'
Run #71,'kd_tree',20,5,1,'distance'
Run #72,'kd_tree',50,5,1,'distance'
Run #73,'ball_tree',36,5,4,'distance'
Run #74,'ball_tree',50,5,4,'distance'
