Index,Structure,Product,CAS,Num of Carbons,Chiral Center,Functional Groups (Fragments),Molecular Weight (g/mol),Smiles
0,,D.D.T.,50-29-3,14,N,"Arene, Alkyl Halide",354.491,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
1,,D-Glucitol,50-70-4,6,Y,Alcohol,182.172,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
2,,Aspirin,50-78-2,9,N,"Ester, Arene, Carboxylic Acid",180.159,CC(=O)Oc1ccccc1C(O)=O
3,,L-Ascorbic acid,50-81-7,6,Y,"Ether, Vinylic Carbon, Ketone, Alcohol",176.124,OCC(O)C1OC(=C(O)C1=O)O
4,,D-Glucose,50-99-7,6,Y,"Aldehyde, Alcohol",180.156,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O
5,,"Phenol, 2,4-dinitro-",51-28-5,6,N,"Arene, Alcohol, Phenol, Nitro",184.107,Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O
6,,Furosemide,54-31-9,12,N,"Amine, Arene, Alkyl Halide, Carboxylic Acid",330.749,N[S](=O)(=O)c1cc(C(O)=O)c(NCc2occc2)cc1Cl
7,,Fenthion,55-38-9,10,N,"Arene, Sulfide",278.335,CO[P](=S)(OC)Oc1ccc(SC)c(C)c1
8,,Chlorhexidine,55-56-1,22,N,"Amine, Arene, Alkyl Halide",505.458,NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2
9,,Nitroglycerin,55-63-0,3,N,Nitrate,227.085,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O
10,,"Methane, tetrachloro-",56-23-5,1,N,Alkyl Halide,153.823,ClC(Cl)(Cl)Cl
11,,"Distannoxane, hexabutyl-",56-35-9,24,N,,596.117,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
12,,Parathion,56-38-2,10,N,"Arene, Nitro",291.265,CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O
13,,Glycine,56-40-6,2,N,"Amine, Carboxylic Acid",75.067,NCC(O)=O
14,,Glycerol,56-81-5,3,N,Alcohol,92.094,OCC(O)CO
15,,L-Aspartic acid,56-84-8,4,Y,"Amine, Carboxylic Acid",133.103,N[C@@H](CC(O)=O)C(O)=O
16,,Glutamic acid,56-86-0,5,Y,"Amine, Carboxylic Acid",147.13,N[C@@H](CCC(O)=O)C(O)=O
17,,"Benzenemethanaminium, N,N,N-trimethyl-, chloride",56-93-9,10,N,Arene,185.698,[Cl-].C[N+](C)(C)Cc1ccccc1
18,,Palmitic acid,57-10-3,16,N,Carboxylic Acid,256.43,CCCCCCCCCCCCCCCC(O)=O
19,,Stearic acid,57-11-4,18,N,Carboxylic Acid,284.484,CCCCCCCCCCCCCCCCCC(O)=O
20,,Urea,57-13-6,1,N,,60.056,NC(N)=O
21,,Phenytoin,57-41-0,15,N,"Amide, Arene",252.273,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3
22,,D-Fructose,57-48-7,6,Y,"Ketone, Alcohol",180.156,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO
23,,Sucrose,57-50-1,12,Y,"Ether, Alcohol",342.297,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
24,,"1,2-Propanediol",57-55-6,3,Y,Alcohol,76.095,CC(O)CO
25,,cholesterol,57-88-5,27,Y,"Vinylic Carbon, Alcohol",386.664,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
26,,Caffeine,58-08-2,8,N,Arene,194.194,Cn1cnc2N(C)C(=O)N(C)C(=O)c12
27,,Chlordiazepoxide,58-25-3,16,N,"Arene, Alkyl Halide, Alcohol",299.761,CN=C1CN(O)C(=C2C=C(Cl)C=CC2=N1)c3ccccc3
28,,Dipyridamole,58-32-2,24,N,"Arene, Alcohol",504.636,OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO
29,,Theophylline,58-55-9,7,N,Arene,180.167,CN1C(=O)N(C)c2nc[nH]c2C1=O
30,,Pyridoxine hydrochloride,58-56-0,8,N,"Arene, Alcohol, Phenol",205.641,[H+].[Cl-].Cc1ncc(CO)c(CO)c1O
31,,DL-Methionine,59-51-8,5,Y,"Amine, Carboxylic Acid, Sulfide",149.215,CSCCC(N)C(O)=O
32,,Nicotinic acid,59-67-6,6,N,"Arene, Carboxylic Acid",123.111,OC(=O)c1cccnc1
33,,E.D.T.A,60-00-4,10,N,Carboxylic Acid,292.244,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
34,,Phenethyl alcohol,60-12-8,8,N,"Arene, Alcohol",122.167,OCCc1ccccc1
35,,"Ethanol, 2-mercapto-",60-24-2,2,N,"Thiol, Alcohol",78.136,OCCS
36,,"Ethane, 1,1'-oxybis",60-29-7,4,N,Ether,74.123,CCOCC
37,,Linoleic acid,60-33-3,18,N,"Vinylic Carbon, Carboxylic Acid",280.452,CCCCC/C=C\C\C=C/CCCCCCCC(O)=O
38,,Dimethoate,60-51-5,5,N,"Amide, Sulfide",229.263,CNC(=O)CS[P](=S)(OC)OC
39,,Phenazone,60-80-0,12,N,"Arene, Vinylic Carbon, Ketone",196.209,O=C1CC=Cc2nc3ccccc3nc12
40,,Amitrole,61-82-5,2,N,"Amine, Arene",84.082,Nc1[nH]ncn1
41,,4-Nitrobenzoic acid,62-23-7,7,N,"Arene, Carboxylic Acid, Nitro",167.12,OC(=O)c1ccc(cc1)[N+]([O-])=O
42,,"EDTA, calcium derivative, disodium salt",62-33-9,10,N,,374.27,[Na+].[Na+].[Ca++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
43,,"Mercury, (acetato-.kappa.O)phenyl-",62-38-4,8,N,Arene,336.74,CC(=O)O[Hg]c1ccccc1
44,,Aniline,62-53-3,6,N,"Amine, Arene",93.129,Nc1ccccc1
45,,"Acetic acid, calcium salt",62-54-4,4,N,,158.166,[Ca++].CC([O-])=O.CC([O-])=O
46,,Thiourea,62-56-6,1,N,"Amine, Thioamide",76.124,NC(N)=S
47,,"Ethandioic acid, disodium salt",62-76-0,2,N,,133.998,[Na+].[Na+].[O-]C(=O)C([O-])=O
48,,Carbaryl,63-25-2,12,N,"Ether, Carbamate, Arene",201.225,CNC(=O)Oc1cccc2ccccc12
