,smiles
964,CC(C)(C(=O)Nc1oc(nn1)C(=O)Nc2ccc(cc2)N3CCOCC3)c4ccc(Cl)cc4
239,CC(C)(C)OC(=O)N1CCN(CC1)c2ncc(OCc3ccc(cc3)S(=O)(=O)C)cn2
2388,COC[C@H](C)Oc1cc(Oc2ccc(Cl)cc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O
990,C[C@@H]1CNc2c(sc3ccc4nc(ccc4c23)c5ccc(C)nc5)C(=O)N1
108,COc1ccccc1CNc2cc(C)ccn2
1821,Cc1ccn2c(c(C)nc2c1)c3ccnc(N)n3
3378,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CCOCC5
960,C[C@]12N[C@H](Cc3ccccc13)c4ccccc24
2070,COC(=O)C1C(CC2CCC1N2C)OC(=O)c3ccccc3
2111,COc1ccc2c(c1)[nH]c3c(C)nccc23
2834,Oc1ccccc1NC(=O)c2cc(ccc2Cl)[N+](=O)[O-]
3296,C1CC(CCN1)c2ccccc2
2461,Cc1nc(CS(=O)(=O)c2ccccc2)cc(n1)N3CCOCC3
1057,Clc1ccc(c(Cl)c1)c2nnc3cccc(Cl)n23
999,COc1ccc2c(c1)cc(C(=O)O)n2Cc3ccc(Cl)c(Cl)c3
332,CCNc1nc(Nc2ccccc2)nc(n1)C#N
1231,COc1cccc(Oc2cncnc2O)c1
2120,Cc1ccc(COC(=O)N2CC[C@H](CNc3ncccn3)[C@H](F)C2)cc1
4024,Cc1ccc(cc1)c2nnc(N3CCN(CC3)C(=O)c4occc4)c5ccccc25
2985,Clc1ccc2[nH]ccc2c1
2368,OCc1ccc2ccn(c3cc(NC4CC4)n5ncc(C#N)c5n3)c2c1
4021,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(C)cccc34
1032,CC1SC2=C(C(=O)O)C(=O)c3cc(F)c(cc3N12)N4CCNCC4
2482,Clc1ccc(cc1)C(=O)Cc2ccccn2
1432,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)N2c3ccccc3Oc4ccccc24
