,smiles
10053,FC(F)(F)c1cccc(Cn2cncn2)c1
14016,O=[N+]([O-])OCCCCCCCCO[N+](=O)[O-]
13515,COP(=O)(OC)Oc1ccc(C#N)cc1
2961,Fc1ccc(-c2nc3ncccc3[nH]2)cc1
3198,O=C(Cc1ccccc1)Nc1ccccc1[N+](=O)[O-]
959,CC(=O)Nc1ccccc1
7846,Clc1cc(Cl)c2c(c1)oc1cc(Cl)cc(Cl)c12
1514,C1CCOCC1
2294,CCCCOC(N)=O
6667,CC1=Nc2ccc(I)cc2S(=O)(=O)N1
10680,COc1ccc(CNC(=O)C=Cc2ccc(O)c(O)c2)cc1OC
1480,CCC(C)CO
7672,CCOC(=O)CN(C(=O)CCl)c1ccccc1CC
4371,C1=CCCC=CCCC=CCC1
6353,Cc1ccc(S(=O)(=O)CC(=O)c2ccccc2)cc1
4682,Clc1nc(-c2ccccc2)nc2ccccc12
9640,O=C1CC(c2cccc(O)c2)Oc2cc(O)cc(O)c21
12007,CC(=O)c1ccc2c(c1)OCCOCCOCCOCCOCCO2
6415,Cc1nonc1C(N)=O
9698,NS(=O)(=O)c1cc2c(s1)C(=O)CCS2
3000,COc1ccccc1C=CC(=O)O
4344,CC(C)(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
5049,NCCc1ccncc1
9016,CC(C)CC(CC(C)C)OC(=O)c1ccc(NC(=O)N(C)C)cc1Cl
7198,Cc1cc(C)nc(Nc2ccccc2)n1
11228,CN(C)C(=O)Cc1cccs1
9510,O=C(O)CCCC1=NS(=O)(=O)c2cc(Br)cc(Br)c2N1
11906,CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(C)ccc3n2)cc1
12625,CC(C)(C)C(=O)OCn1cc(F)c(=O)[nH]c1=O
6853,O=C(O)c1ccc2oc3ccccc3c(=O)c2c1
3025,CCCCCCCc1ccccc1
127,NCCCCC(N)C(=O)O
5695,CCCCNC(=O)NN
4460,NC(=S)c1ccccn1
10004,N#CN=[N+]([O-])c1cccc(C(F)(F)F)c1
3375,O=C(O)COc1cccc(C(=O)O)c1
10138,COc1ccc(C(=O)c2coc(S(N)(=O)=O)c2)cc1
8201,COC(=O)Cn1cnc([N+](=O)[O-])n1
4206,Cc1cc(C)c(NC2=NCCN2)c(Cl)c1
12827,C#CC(C)(C)NCC(O)CON=C(C1CC1)C1CC1
11765,CCCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
6285,CON(C)C(=O)Nc1cccc(O)c1
9364,N=C(N)NN=C(c1ccccc1)c1cccs1
7930,COc1ccc(CN(C)N=Nc2ccc(C(=O)O)cc2)cc1
275,CC(C)O
11127,COc1ccccc1C=CC(=O)C(F)(F)F
9903,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1
1273,NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
6231,O=[N+]([O-])C=Cc1ccsc1
10664,CN(C)c1cnc(Cl)cn1
11338,CCCCC1OC(=O)c2cc(NC(C)=O)ccc21
13830,Clc1ccc(N2CCN(CCn3nc4ccccc4n3)CC2)cc1
1900,O=C1C=CC(=O)c2c(O)ccc(O)c21
12675,COc1ccc(-c2ncc(C)nc2-c2ccc(OC)cc2)cc1
13222,CCCc1cccc(CNc2[nH]cnc3ncnc2-3)c1
7101,O=C(Nc1ccccc1)Nc1cnns1
6031,CC(C)N1C(=O)c2ccccc2NS1(=O)=O
13869,Clc1cccc(Oc2c(Cl)cc(Cl)cc2Cl)c1
3299,ClC1=C(Cl)C2(Cl)C(CBr)CC1(Cl)C2(Cl)Cl
9034,CCCCCCCCCCCCCCCC[n+]1ccc(C)c(C)c1
6505,C=C1C(=O)OC2C=C(C)C(OC(C)=O)CC(O)C(C)=CC(OC(=O)C(C)=CC)C12
2830,COCCCNc1nc(NC(C)C)nc(SC)n1
715,ClCc1ccc(Cl)cc1Cl
9932,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1C(F)(F)F
13734,Cc1ccc(CO)c(C=NNC(=O)c2cccc(F)c2)c1O
1119,ClCCCBr
3729,CCC1C(=O)NC(=O)NC1=O
9572,CCNc1nc(Cl)nc(NC2CCC2)n1
2910,CCc1cccc(C)c1C
3996,CCCCC(CCC)C(=O)O
10887,CC(=O)Nc1cc(C(F)(F)F)c(Cl)cc1F
2320,CC(C)C(C)O
10045,CCCCCCNC(=O)COC(=O)c1ccccc1
5928,CC(C)c1cnc([N+](=O)[O-])n1C
11656,CN(C)CCOC(=O)c1ccc(C#N)cc1
8824,CN(C)C(=O)OCc1cccc(Cl)c1
10921,OC1CCN(CCCc2ccc(CSc3ccccc3)cc2)CC1
3575,CCCCNP(=O)(OC)Oc1cc(Cl)c(Cl)cc1Cl
8918,CC1CC(=O)NN=C1c1ccc(-n2ccnc2)cc1
9292,CS(=O)(=O)Oc1cccc(NC(=O)Cc2ccccc2)c1
12612,CCCCCCCCn1c(N)c(N)c(=O)[nH]c1=O
6870,CN(C)P(=O)(N(C)C)N1CCCC1
13650,CSCCC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
7662,ClC1CC(Cl)C(Cl)CC1Cl
13756,Cc1coc2cc3oc(=O)ccc3c(C)c12
10003,N#CN=[N+]([O-])c1ccc(C(F)(F)F)cc1
