,smiles
1219,CN(C)CCC=C1c2ccccc2CSc2ccccc21
5076,O=S1(=O)NC(C2CC2)=Nc2cc(Cl)ccc21
8825,CN(C)C(=O)OCc1ccc(Cl)cc1
7540,CCNCC(F)(F)F
9878,CC(C)(C)c1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1
6334,COC1CC(OC2CCC3(C)C2CCC2C3CCC3(C)C(C4=CC(=O)OC4)CCC23O)OC(C)C1O
7460,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1C
8122,NC(=O)CCCCn1nnc2ccccc21
594,Nc1ccc(Cl)cc1[N+](=O)[O-]
4315,CNc1ccccn1
11254,CNC(=O)Oc1ccc(S(C)(=O)=O)cc1
5120,N#CCc1ccsc1
11924,CCC(=O)C(CS(=O)(=O)c1ccc(C)cc1)c1ccccc1
8142,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1
13748,Cc1cccc(OCC2CN=C(N)O2)c1C
13287,CCOC(=O)c1cccc(CN)c1
5371,O=CN(Cc1ccccc1)c1ccccc1
61,S=P(N1CC1)(N1CC1)N1CC1
6119,CC(=O)Nc1cccc2nccnc12
9772,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(O)C(N(C)C)C2O)C(CCN2CC(C)CC(C)C2)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1OC
13856,Clc1ccccc1N1CCN(CCn2nnc3ccccc32)CC1
10107,N#CN=[N+]([O-])c1cc[n+]([O-])c2ccccc12
9147,O=NCc1nc(-c2ccccc2)no1
11222,CCNOc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
11712,CCCCC1(c2ccncc2)CCC(=O)NC1=O
14087,OC(CNCC1COc2ccccc2O1)CON=C(C1CC1)C1CC1
7436,Nc1ccc(C(=O)Oc2cccc(Cl)c2)c(O)c1
14068,O=C(O)c1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1
6343,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(OC=O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O
4519,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O
12815,CC(C)(C)NCC(O)CON=C(C1CC1)C1CC1
958,CN(C)Cc1ccccc1
11173,Cc1nonc1-c1ccccc1[N+](=O)[O-]
1513,CCCCCC(=O)O
2290,CC(C)CN=C=S
7732,CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O
12228,CC(C)(C)C(COc1ccc(S(C)(=O)=O)cc1)OC(=O)n1ccnc1
1479,CN(C)C(=S)SSC(=S)N(C)C
10607,CC(=O)NC(C)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(N)=O
4397,O=[N+]([O-])c1nccn1CCO
6393,Oc1c(Cl)cc(Cl)c(Cl)c1O
