,smiles
326,CCN(CC)C(=O)CSc1ccc(Cl)nn1
780,c1ccc2c3c(ccc2c1)c4cccc5cccc3c45
1121,N#Cc1ccccc1C#N
19,CCCCCCCCCC(C)O
308,O=N(=O)c1cc(Cl)c(Cl)cc1
889,O=C1NC(=O)NC(=O)C1(C)CC
979,CCCCCCCCC(=O)OC
303,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O
640,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C 
821,CCCC/C=C/C
147,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
854,Clc1cccc(Cl)c1
837,COc1ccc(NC(=O)N(C)C)cc1Cl
479,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F
48,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C 
727,Cn1ccc(=O)[nH]c1=O
455,CCCC1CCCC1
1096,O=C(c1ccccc1)c2ccccc2
64,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2
879,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
499,C1Cc2cccc3cccc1c23
870,c1ccc(cc1)c2ccccc2
958,CC(Cl)CCl
104,CCc1cccc2ccccc12
794,CC(=O)c1ccccc1
680,COc1ccccc1O 
1104,O2c1ccc(N)cc1N(C)C(=O)c3cc(C)ccc23 
234,Cc1ccc(cc1)c2ccccc2
582,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2
948,CCCCCCCC(=O)C
1086,c1ccccc1NC(=O)c2c(O)cccc2
987,CN(C)C(=O)NC1CCCCCCC1
1040,Cc1ccc(O)cc1C
883,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
194,Oc1ccc2ccccc2c1
195,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C
30,CCc1ccc(CC)cc1
616,Cc1ccc2cc(C)ccc2c1
897,CCc1ccccc1
992,CCC(O)CC
661,Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
199,CC(C)OC(C)C
537,OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O
641,CCC(=C)C
754,COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O 
953,C#C
122,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
1120,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl 
132,CCSCc1ccccc1OC(=O)NC 
962,Clc1ccc(cc1)c2c(Cl)cccc2Cl 
493,CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O
791,c1nccc(C(=O)NN)c1
365,c1cncnc1
277,CCS
755,C1Cc2c3c1cccc3cc4c2ccc5ccccc54
214,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
744,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
415,C1CCOC1
693,COc1ccccc1
218,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
532,CC1CCCCC1
761,NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl 
307,ClC(Cl)(Cl)Cl
858,CCN2c1nc(C)cc(C(F)(F)F)c1NC(=O)c3cccnc23 
367,CCC(=O)OC
136,CC(C)(C)c1ccc(O)cc1
420,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
275,Ic1cccc2ccccc12
289,Cc1ccc2c(ccc3ccccc32)c1
1115,O=C1NC(=O)C(=O)N1 
796,CCOP(=O)(OCC)OCC
517,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2
989,CCCCCCCCBr
148,CCC(=O)C
772,O=C1NC(=O)NC(=O)C1(CC=C)CC=C
912,COc1ccc(C=O)cc1
239,Oc1ccc(Cl)cc1
49,c2c(C)cc1nc(C)ccc1c2 
38,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
61,CCCOC(=O)CC
716,O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
272,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
521,CC1CCCCC1NC(=O)Nc2ccccc2
966,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO
1073,CC(C)CO
440,Nc1ccc(cc1)N(=O)=O
904,CSc1nc(NC(C)C)nc(NC(C)C)n1
40,c1c(Cl)cccc1c2ccccc2
282,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C
227,CC(=C)C=C
222,c1c(Br)ccc2ccccc12 
1072,CCOC(=O)c1ccccc1C(=O)OCC
380,CCCCCC(=O)OCC
575,CCCCOC=O
885,OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O
254,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O 
817,CCCCCCCCCCCC(=O)OC
486,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12
65,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O
941,CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl
381,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl 
781,CCC(CC)C=O
1113,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
993,Cc1ccc(cc1)N(=O)=O
827,CON(C)C(=O)Nc1ccc(Cl)cc1
728,CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3 
261,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl
188,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21
1076,CCCC(O)CCC
257,CCNc1ccccc1
358,Cc1c2ccccc2c(C)c3ccccc13
197,CCCCCCCC#C
520,CCCCO
1010,CCNc1nc(NC(C)(C)C)nc(OC)n1
592,CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3 
551,Cc2ncc1nccnc1n2
125,CC(=O)OCC(COC(=O)C)OC(=O)C
969,CCCCCCCCCCCCCCCO
1005,ClC(=C(Cl)Cl)Cl
937,CCC(C)C(=O)C
516,CC#N
327,CCC(C)(C)CO
733,C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O)
788,CCCCCCCCCCCCCCCCCCO
371,O=N(=O)c1ccccc1
893,CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O
856,CC(C)COC=O
87,CCCN(=O)=O
1046,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
735,Oc1ccccc1Cl
487,OCc1ccccc1
528,CC(=C)C(=C)C
495,Nc1cc(nc(N)n1=O)N2CCCCC2 
162,CCCCCC=O
134,CC1=CCC(CC1)C(C)=C
790,c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21
622,Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F
9,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
335,CC(C)CC(C)C
572,Nc1ccccc1Cl
723,CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 
579,c1ccc(cc1)c2ccc(cc2)c3ccccc3
519,ClCC(Cl)(Cl)Cl
842,CCC(C)O
249,Oc1ccccc1O
250,CCN2c1ncccc1N(C)C(=O)c3cccnc23 
506,CCC#C
143,Nc1cccc2ccccc12
154,C=CC=C
981,O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13
511,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O
668,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl
892,CCCCCC(O)CC
