,smiles
302,Nc1ccc(cc1)S(N)(=O)=O
953,C#C
160,CSc1nnc(c(=O)n1N)C(C)(C)C
437,ClCCCl
429,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl
322,O=C(Nc1ccccc1)Nc2ccccc2
751,CCCCCCC
863,CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C
100,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO
9,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
892,CCCCCC(O)CC
532,CC1CCCCC1
898,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C
311,CCOc1ccc(NC(N)=O)cc1
323,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 
328,CCCOC(=O)CCC
129,CCCCCCCBr
434,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O
125,CC(=O)OCC(COC(=O)C)OC(=O)C
541,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
416,Nc1ccccc1N(=O)=O
206,O=c1[nH]cnc2nc[nH]c12 
361,CC(=O)Nc1ccc(F)cc1
874,O=C2NC(=O)C1(CCCCCC1)C(=O)N2 
195,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C
672,ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl 
542,CCCC(C)O
788,CCCCCCCCCCCCCCCCCCO
726,COC(=O)c1ccccc1
76,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
913,CC(=O)Nc1ccc(cc1)N(=O)=O
1090,O=C(C=CC=Cc2ccc1OCOc1c2)N3CCCCC3
858,CCN2c1nc(C)cc(C(F)(F)F)c1NC(=O)c3cccnc23 
719,O=c1[nH]cnc2[nH]ncc12 
647,Cc1cc(=O)[nH]c(=S)[nH]1
148,CCC(=O)C
605,CC(=O)N
22,CCOP(=S)(OCC)SCSCC
664,Fc1cccc(Br)c1
857,c1ccccc1SC
6,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
211,CCCC(C)(C)C
221,Cc1ccc(cc1N(=O)=O)N(=O)=O
924,CCCCCCCCCCCCO
717,CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
460,CCCCCO
634,C1=Cc2cccc3cccc1c23
655,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O
298,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O
168,CCN(=O)=O
74,CCCCC(=O)OCC
578,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) 
810,C1CCOCC1
204,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C
1116,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
948,CCCCCCCC(=O)C
501,Brc1ccc(Br)cc1
247,Clc1ccc(Cl)c(Cl)c1
375,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC 
658,COC(=O)c1cc(O)c(O)c(O)c1 
255,CC(C)C(O)C(C)C
623,Nc3cc2c1ccccc1ccc2c4ccccc34 
732,C1CC=CC1
669,Nc1cc[nH]c(=O)n1 
600,CC
784,Oc1c(Cl)ccc(Cl)c1Cl
941,CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl
837,COc1ccc(NC(=O)N(C)C)cc1Cl
662,O=C1NC(=O)C(=O)C(=O)N1 
782,CCCOCCC
135,C1Cc2ccccc2C1
216,Cc1cccnc1C
430,CCN(CC)C(=S)SSC(=S)N(CC)CC
339,c3ccc2nc1ccccc1cc2c3
338,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F
1100,Oc1ccncc1
544,Cc1ccc(O)c(C)c1
276,OCC(O)C(O)C(O)C(O)CO
13,CCC1(C(=O)NCNC1=O)c2ccccc2
741,Cc1ccc(cc1)S(=O)(=O)N
447,CCCCCc1ccccc1
300,CCN2c1ccccc1N(C)C(=O)c3cccnc23 
345,O=N(=O)c1ccc(cc1)N(=O)=O
88,CC(C)C1CCC(C)CC1=O
1094,c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1
284,CCCCCCCCl
904,CSc1nc(NC(C)C)nc(NC(C)C)n1
0,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O 
234,Cc1ccc(cc1)c2ccccc2
507,COc1ncnc2nccnc12 
312,C/C1CCC(\C)CC1
593,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3
805,O=C1CCC(=O)N1
767,CCCCCCCC
1027,Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O
977,Cc2cccc3sc1nncn1c23 
659,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F 
202,CC#C
1064,CNC(=O)C(C)SCCSP(=O)(OC)(OC)
283,CCc1ccccc1C
28,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
834,Cc1cc(C)c(O)c(C)c1
957,CC(O)c1ccccc1
974,CC(C)C(=O)C
1124,CNC(=O)ON=C(SC)C(=O)N(C)C
370,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C
420,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
65,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O
473,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O
526,CC(=C)C
894,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
508,CCCCC(C)(O)CC
409,OC1CCCCCC1
671,CCC#N
175,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
535,CC1CCCO1
