,smiles
1648,CC(C)S(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc(N5CCN(C)CC5)cc4)nc23)cc1
18,O=C1NN(c2ccccc2)C(=O)C1=Cc1cc(Cl)ccc1OCc1ccccc1
836,COc1cccc(-c2cccn3nc(Nc4ccc(C5CCNCC5)cc4)nc23)c1OC
1143,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cc(OC(F)(F)F)ccc1Cl
1011,CN1CCN(c2ccc(Nc3nc4c(NCc5ccccc5CN(C)S(C)(=O)=O)cccn4n3)cc2)CC1
506,NS(=O)(=O)N1CCC(NC(=O)c2cnn3ccc(N4CCCC4c4cc(F)ccc4F)nc23)CC1
580,Oc1ccc(C2Nc3ccccc3-c3ncnc4[nH]cc2c34)cc1F
1471,N#CC1CC(NC2CCS(=O)(=O)C2)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1
1433,CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCCC(O)C2)CC1
1358,NC(=O)c1nc(-c2ccccc2)cc2c1[nH]c1cc(C(=O)N3CCOCC3)ccc12
475,CNC(=O)c1ccc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)cc1
711,N#CC1CC(OC(=O)NC2CCCCC2)CCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1
622,CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCC1
964,CC(C)(CO)NC1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1
1099,CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCC(CC#N)C2)CC1
1577,N#CC1CCCCC1n1cc(C(N)=O)c(Nc2ccc(C(O)C(F)F)nc2)n1
706,COC(=O)c1cncc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)c1
166,NCCCc1nc2cc(C(N)=O)ccc2n1CCN
307,c1cncc(CNc2cccn3nc(Nc4ccc(OCCN5CCCC5)cc4)nc23)c1
476,O=c1[nH]cccc1-c1cccn2nc(Nc3ccc4ncccc4c3)nc12
156,CC(C)COc1ccccc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12
1571,Cc1cc(Nc2nc(NC(C)c3ccc(F)cn3)c(F)c(N3CCNCC3)n2)[nH]n1
1529,COc1ccc(-c2cc(C(N)=O)c3[nH]c4cc(C(=O)N5CCN(C)CC5)ccc4c3c2)cc1
1309,N#CC1CCCCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)F)c(CO)c2)n1
1298,CC(O)(c1ccc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)cn1)C(F)(F)F
1540,Cc1ccc(NC(=O)c2cc(C(F)(F)F)ccn2)cc1N1CCc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2C1
1469,O=C(Nc1cnc2[nH]ccc2n1)NC1CCCN(CC(F)(F)F)C1
1476,N#CC1CC(N2CC3(CCC3)C2)CCC1n1cc(C(N)=O)c(Nc2ccc(C(O)C(F)(F)F)cc2)n1
770,COc1ccc(F)cc1-c1c[nH]c2ncnc(-c3ccccc3)c12
163,Cc1ccc(-n2cc(-c3cccn4nc(Nc5ccc(C6CCN(C(=O)OC(C)(C)C)CC6)cc5)nc34)cn2)cc1
707,[C-]#[N+]C1CC(N2CCC2)CCC1n1cc(Nc2ccc(OC(F)F)nc2)c(C(N)=O)c1
1107,CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCC(S(C)(=O)=O)C2)CC1
1299,CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCC(CO)C2)CC1
1087,CN(CC(F)F)C1CCC(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)C(C#N)C1
893,CCNC(=O)c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc12
1266,Cn1ncc2c(-c3cccn4nc(Nc5ccc6c(c5)CCNCC6)nc34)cccc21
1781,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)c(C(=O)N4CCS(=O)(=O)CC4)s3)nc21
1597,CS(=O)(=O)c1cccc(-c2cccc3nc(Nc4ccc(N5CCOCC5)cc4)nn23)c1
1373,CN1CCN(c2cccc(Nc3nc4c(-c5ccc(P(C)(C)=O)cc5)cccn4n3)c2)C(=O)C1
1300,CS(=O)(=O)c1ccccc1Nc1cccn2nc(Nc3ccc(OCCN4CCCC4)cc3)nc12
800,NC(=O)c1cc(-c2ccccc2)sc1Nc1ccccn1
1200,CC(Nc1cc(-c2ccc(N(C)C)cc2)nc(-n2cnc3ccncc32)n1)c1ccccc1
1142,CC1(C)CN(C2CCC(n3cc(C(N)=O)c(Nc4ccc(C(O)C(F)(F)F)cc4)n3)C(C#N)C2)C1
696,CCC(O)C1CCN(S(=O)(=O)CC2CCC(N(C)c3[nH]cnc4nccc3-4)CC2)CC1
1052,CN(C)C1CCC(n2cc(C(N)=O)c(Nc3ccccc3)n2)C(C#N)C1
1389,N#CC1CC(NCC2CCS(=O)(=O)C2)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1
530,Cc1ccc(Nc2sc(-c3ccccc3)cc2C(N)=O)nc1
109,COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCCNC4)c-3n2)cc1
1002,CN(c1ncccc1CNc1cccn2nc(Nc3ccc(N4CCN(CCO)CC4)cc3)nc12)S(C)(=O)=O
10,NCCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21
1291,COc1cccc(Nc2nc3cccc(-c4cccc(S(C)(=O)=O)c4)n3n2)c1
437,CC1(C)CN(C2CCC(n3cc(C(N)=O)c(Nc4ccc(C(F)(F)F)cc4)n3)C(C#N)C2)C1
537,CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)N2CC(C#N)C2)C1
1561,COc1cccc(-c2cc(C(N)=O)c3[nH]c4cc(C(=O)N5CCN(C)CC5)ccc4c3c2)c1
1048,CN1CCN(c2ccc(Nc3nc4c(C=Cc5ccccc5N(C)S(C)(=O)=O)cccn4n3)cc2)CC1
265,O=C(NC1CCC(O)C1)c1cnn2ccc(N3CCCC3c3cc(F)ccc3F)nc12
1523,CN1CCN(c2cccc(Nc3nc4c(-c5cccc(CN(C)S(C)(=O)=O)c5)cccn4n3)c2)CC1
885,CN1CCN(C(=O)c2ccc3c(c2)[nH]c2c(C(N)=O)ccc(-c4ccccc4F)c23)CC1
1034,CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCCC(Cc3ccccn3)C2)CC1
106,Cc1ccc(OCC(C)C)c(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c1
607,CC(C)(C(=O)O)c1ccc(Nc2nn(C3CCC(N4CCC4)CC3C#N)cc2C(N)=O)cc1
65,O=C(O)Cc1cnc(Nc2[nH]nc3ccc(-c4ncccc4Cl)cc23)s1
801,CCc1ccc(COCC2CCN(S(=O)(=O)CC3CCC(N(C)c4[nH]cnc5nccc4-5)CC3)C2)nc1
336,Cn1cc(F)cc(C2CCCN2c2ccn3ncc(C(=O)NC4CCC(O)CC4)c3n2)c1=O
815,CC1(O)CC(Nc2c(C(N)=O)cnn3cccc23)C(C)(C)C1
1811,COc1ccc(-c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(Cl)c4)nn23)cn1
1591,CN(C)c1cccc(-c2cccn3nc(Nc4ccc(C5CCNCC5)cc4)nc23)c1
365,CC1(C)CCN1C1CCC(n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)C(C#N)C1
483,CN1CCN(c2cccc(Nc3nc4c(NCc5ccccc5CN(C)S(C)(=O)=O)cccn4n3)c2)CC1
984,CC(NC(=O)c1c[nH]c2ncc(-c3nn(C)c4cc(C#N)ccc34)nc12)C(=O)N1CC(C#N)C1
1283,O=C(Nc1nc2cccc(-c3ccc(CN4CCC(F)(F)CC4)cc3)n2n1)C1CC1
369,CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)N(C)CCC#N)C1
1547,N#CC1CC(O)CCC1n1cc(C(N)=O)c(Nc2ccc(OC(F)(F)F)cc2)n1
516,N#CC1CCC(O)CC1n1cc(C(N)=O)c(Nc2ccccc2)n1
1310,N#CC1CC(N2CCCC2CF)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1
423,CN1CCN(c2cccc(Nc3nc4cncc(-c5ccc(S(C)(=O)=O)cc5)n4n3)c2)CC1
1516,CC(C)(CF)c1ccc(Nc2nn(C3CCC(O)CC3C#N)cc2C(N)=O)cc1
525,CCC(C)n1cc(-c2ccn(C)n2)c2n[nH]c(N)c2c1=O
472,CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N(C)C
492,COc1ccc(-c2cccn3nc(Nc4ccc(C(=O)O)cc4)nc23)cc1
849,CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCCC(C(F)(F)F)C2)CC1
597,CN(CC1CC1)C1CCC(n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)C(C#N)C1
1088,N#CC1CC(N2CCCC2CF)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1
1721,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc(OCCN5CCCC5)cc4)nc23)cc1
44,CN1CCN(c2nc3c(NCc4cccc([N+](=O)[O-])c4)cccn3n2)CC1
128,Cc1ccc(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c(OCC(C)C)c1
1487,Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
1548,CC(O)(c1ccc(Nc2nn(C3CCC(N4CCC4)CC3C#N)cc2C(N)=O)cc1)C(F)(F)F
1344,CC1(C)CN(C2CCC(n3cc(C(N)=O)c(Nc4ccc(C(C)(O)C(F)(F)F)cc4)n3)C(C#N)C2)C1
621,CCOC(=O)c1c[nH]c2ncnc(-c3ccc(-n4cccn4)cc3)c12
1371,CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCC(O)(c3ccccc3)C2)CC1
661,O=C1Nc2cccc(c2)CNc2nc(ncc2Cl)Nc2cccc1c2
1123,c1cncc(-c2cccn3nc(Nc4ccc(N5CCOCC5)cc4)nc23)c1
266,CC(=O)Nc1ccc(-c2ncnc3c2cc(C(=O)OCc2ccccc2)n3C)cc1
224,O=c1[nH]c2cnc(-n3cnc4ccc(F)cc43)nc2n1Cc1cccc(F)c1F
771,COCC1CCN(S(=O)(=O)CC2CCC(N(C)c3[nH]cnc4nccc3-4)CC2)CC1
250,Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1F
1194,CC(NC(=O)c1c[nH]c2ncc(-c3nn(C)c4ccccc34)nc12)C(=O)N1CC(C#N)C1
1712,N#CC1CC(N2CC(O)C2)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1
1146,CC1(NC2CCC(n3cc(C(N)=O)c(Nc4ccccc4)n3)C(C#N)C2)COC1
835,CC(NC(=O)c1c[nH]c2ncc(-c3cnc4cc(Cl)ccn34)nc12)C(=O)N1CC(C#N)C1
1246,CN(c1ncccc1CNc1cccn2nc(Nc3ccc(S(C)(=O)=O)cc3)nc12)S(C)(=O)=O
366,CC(C)(C)NC(=O)C1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1
170,CN1CCN(c2ccc(NC(=O)Nc3nc4cccc(-c5ccc(S(C)(=O)=O)cc5)n4n3)cc2)CC1
345,N#Cc1ccc2ncn(-c3ncc4[nH]c(=O)n(C5CCOCC5)c4n3)c2c1
285,Cn1cc(F)cc(C2CCCN2c2ccn3ncc(C(=O)NC4CCC4)c3n2)c1=O
284,CC(C)(CF)NC(=O)c1cnn2ccc(N3CCCC3c3cc(F)cnc3CO)nc12
217,CC(C)COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12
515,CCOC(=O)c1c[nH]c2ncnc(-c3ccc4ccccc4c3)c12
1062,CNC(=O)c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc12
602,FC(F)COc1ccccc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12
1823,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCOCC4)cc3)nn12
