,run,sim_score,Number of control fragments,Number of testing fragments
0,run_1_0,1.0,107,104
1,run_1_1,0.41666666666666663,107,107
2,run_1_2,0.0,107,112
3,run_1_3,0.5,107,122
4,run_1_4,0.0,107,115
5,run_4_0,0.9166666666666666,128,121
6,run_4_1,0.8333333333333334,128,111
7,run_4_2,0.75,128,92
8,run_4_3,0.9444444444444444,128,131
9,run_4_4,0.4722222222222222,128,98
10,run_2_0,0.0,94,75
11,run_2_1,1.0,94,83
12,run_2_2,0.08333333333333337,94,72
13,run_2_3,1.0,94,76
14,run_2_4,1.0,94,79
15,run_3_0,0.8611111111111112,101,99
16,run_3_1,0.9166666666666666,101,106
17,run_3_2,1.0,101,137
18,run_3_3,0.2777777777777778,101,99
19,run_3_4,0.9444444444444444,101,147
20,run_5_0,0.08333333333333337,160,141
21,run_5_1,0.41666666666666663,160,133
22,run_5_2,0.08333333333333337,160,108
23,run_5_3,0.38888888888888884,160,100
24,run_5_4,0.33333333333333337,160,85
25,run_0_0,1.0,88,95
26,run_0_1,1.0,88,102
27,run_0_2,1.0,88,105
28,run_0_3,1.0,88,105
29,run_0_4,0.02777777777777779,88,63
30,run_7_0,0.0,108,92
31,run_7_1,0.41666666666666663,108,61
32,run_7_2,0.3055555555555556,108,99
33,run_7_3,0.6388888888888888,108,52
34,run_7_4,0.02777777777777779,108,54
35,run_8_0,0.25,130,102
36,run_8_1,0.33333333333333337,130,70
37,run_8_2,0.25,130,75
38,run_8_3,0.41666666666666663,130,97
39,run_8_4,0.33333333333333337,130,99
40,run_9_0,1.0,144,141
41,run_9_1,0.9444444444444444,144,125
42,run_9_2,0.0,144,132
43,run_9_3,0.8333333333333334,144,121
44,run_9_4,0.25,144,132
45,run_6_0,1.0,57,59
46,run_6_1,0.8888888888888888,57,58
47,run_6_2,0.9166666666666666,57,61
48,run_6_3,0.8611111111111112,57,48
49,run_6_4,0.8333333333333334,57,76
