,smiles
818,CCCSCCC
174,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 
913,CC(=O)Nc1ccc(cc1)N(=O)=O
495,Nc1cc(nc(N)n1=O)N2CCCCC2 
948,CCCCCCCC(=O)C
867,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
517,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2
1086,c1ccccc1NC(=O)c2c(O)cccc2
324,Clc1ccc(cc1)c2cccc(Cl)c2Cl 
13,CCC1(C(=O)NCNC1=O)c2ccccc2
283,CCc1ccccc1C
344,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 
138,Clc1cccc(I)c1
827,CON(C)C(=O)Nc1ccc(Cl)cc1
9,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
1090,O=C(C=CC=Cc2ccc1OCOc1c2)N3CCCCC3
286,C(Cc1ccccc1)c2ccccc2
852,O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2 
56,CC(C)CCC(C)(C)C
522,Clc1cc(Cl)cc(Cl)c1
807,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C 
516,CC#N
753,C/C1CCCCC1\C
104,CCc1cccc2ccccc12
461,CCN(CC)c1ccccc1
809,O2c1ccccc1N(CC)C(=O)c3ccccc23 
10,O=C1CCCN1
240,O=C1CCCCC1
922,OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7 
795,c2ccc1nc(ccc1c2)c4ccc3ccccc3n4 
111,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O
314,COC(C)(C)C
1029,CCC(O)(CC)CC
525,O=Cc2ccc1OCOc1c2 
334,Nc1cccc(Cl)c1
1016,COc1ccccc1Cl
250,CCN2c1ncccc1N(C)C(=O)c3cccnc23 
1074,CC(C)Cc1ccccc1
709,CC(C)(C)c1ccccc1
1125,CCSCCSP(=S)(OC)OC
998,CCC(C)(C)O
212,Cc1cc(C)c(C)c(C)c1C
811,CCCCCC#C
1114,CCCCc1ccccc1
496,Nc2cccc3nc1ccccc1cc23 
667,CCC=C
997,Nc2cnn(c1ccccc1)c(=O)c2Cl
653,CCCCOCCO
386,Nc1nccs1 
460,CCCCCO
276,OCC(O)C(O)C(O)C(O)CO
