reaction_smiles,sources,reactants,products,solvents,catalyst,stages
"['[CH3:1][CH2:2][N:3]([CH2:6][C:7]#[C:8][CH2:9][O:10][C:11]([C:13]([OH:26])([CH:20]1[CH2:25][CH2:24][CH2:23][CH2:22][CH2:21]1)[C:14]1[CH:15]=[CH:16][CH:17]=[CH:18][CH:19]=1)=[O:12])[CH2:4][CH3:5].Cl', 'O', '[CH3:1][CH2:2][N:3]([CH2:6][C:7]#[C:8][CH2:9][O:10][C:11]([C:13]([OH:26])([CH:20]1[CH2:21][CH2:22][CH2:23][CH2:24][CH2:25]1)[C:14]1[CH:15]=[CH:16][CH:17]=[CH:18][CH:19]=1)=[O:12])[CH2:4][CH3:5] |f:0.1|']","['US20010019719A1', '0073', 'A 1% oxybutynin delivery system was prepared in the manner described in Example 8 except that the amount of oxybutynin chloride used was 1 gram and that 1 gram of Pluronic F68 was dissolved into 22 grams of water.']","[['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]",[],"['step 1:A 1% oxybutynin delivery system was prepared in the manner', 'step 2:that 1 gram of Pluronic F68 was dissolved into 22 grams of water']"
"['C([O:4][C@@H:5]1[O:27][C@H:26]([CH2:28][O:29][C:30](=O)[C:31]2[CH:36]=[CH:35][CH:34]=[CH:33][CH:32]=2)[C@@H:16]([O:17]C(=O)C2C=CC=CC=2)[C@H:6]1[O:7]C(=O)C1C=CC=CC=1)(=O)C.[C:38]1([OH:48])[C:47]2[C:42](=[CH:43][CH:44]=[CH:45][CH:46]=2)[CH:41]=[CH:40][CH:39]=1.B(F)(F)F', 'ClCCl', '[O:29]([C:30]1[C:31]2[C:32](=[CH:33][CH:34]=[CH:35][CH:36]=2)[CH:47]=[CH:38][CH:39]=1)[C@@H:28]1[O:7][C@H:6]([CH2:5][OH:4])[C@@H:16]([OH:17])[C@H:26]1[OH:27].[C:38]1([OH:48])[C:47]2[C:42](=[CH:43][CH:44]=[CH:45][CH:46]=2)[CH:41]=[CH:40][CH:39]=1']","['US20010019823A1', 'Preparation of α-naphthyl β-D-ribofuranoside', '0068', 'A solution 1-O-acetyl-2,3,5-tri-O-benzoyl-β-D-ribofuranose (500 mg, 0.99 mmol), α-naphthol (428 mg, 3.00 mmol) and boron trifluoride diethyletherate (141 mg, 0.99 mmol. 125 μl) in dry dichloromethane (5 ml) was stirred at room temperature under argon for 16 hours. The mixture was worked up as for Stage 1 of Example 1 and purified by flash chromatography on silica gel (eluting with dichloromethane:hexanes, 3:2) to afford the title compound contaminated with α-naphthol. The latter was removed by dissolving the residue in ethyl acetate and washing with 10% aqueous sodium hydroxide solution, which after conventional processing, gave 136 mg, 23% of product as a yellow gum.']","[['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]",[],"['step 1:A solution 1-O-acetyl-2,3,5-tri-O-benzoyl-β-D-ribofuranose (500 mg, 0.99 mmol), α-naphthol (428 mg, 3.00 mmol) and boron trifluoride diethyletherate (141 mg, 0.99 mmol. 125 μl) in dry dichloromethane (5 ml) was stirred at room temperature under argon for 16 hours', 'step 1 properties:Time:57600', 'step 1 properties:Temperature:room temperature', 'step 2:purified by flash chromatography on silica gel (eluting with dichloromethane:hexanes, 3:2)', 'step 3:to afford the title compound contaminated with α-naphthol']"
"['[C:1]([O:4][C@@H:5]1[O:27][C@H:26]([CH2:28][O:29]C(=O)C2C=CC=CC=2)[C@@H:16]([O:17]C(=O)C2C=CC=CC=2)[C@H:6]1[O:7]C(=O)C1C=CC=CC=1)(=O)[CH3:2].[F:38][C:39]([F:51])([F:50])[C:40]([NH:42][C:43]1[CH:44]=C(O)C=[CH:47][CH:48]=1)=[O:41].B(F)(F)F.ClCCl', 'O1CCCC1', '[O:4]([C:1]1[CH:2]=[CH:47][CH:48]=[C:43]([NH:42][C:40](=[O:41])[C:39]([F:51])([F:38])[F:50])[CH:44]=1)[C@@H:5]1[O:27][C@H:26]([CH2:28][OH:29])[C@@H:16]([OH:17])[C@H:6]1[OH:7]']","['US20010019823A1', 'Preparation of 3-Trifluoroacetamidophenyl β-D-Ribofuranoside', '0076', 'A solution of 1-O-acetyl-2,3,5-tri-O-benzoyl-β-D-ribofuranose (500 mg, 0.99 mmol), 3-trifluoroacetamidophenol (407 mg, 1.98 mmol) from Stage 1 and boron trifluoride diethyletherate (1.41 g, 9.93 mmol, 1.25 ml) in a mixture of dry dichloromethane (10 ml) and dry tetrahydrofuran (30 ml) was stirred at room temperature under argon for 7 days. Work-up as in Stage 1 of Example 1 and purification by flash chromatography on silica gel (2% acetone in toluene as eluant) gave the title compound as a colourless solid (166 mg, 21%).']","[['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]",[],"['step 1:A solution of 1-O-acetyl-2,3,5-tri-O-benzoyl-β-D-ribofuranose (500 mg, 0.99 mmol), 3-trifluoroacetamidophenol (407 mg, 1.98 mmol) from Stage 1 and boron trifluoride diethyletherate (1.41 g, 9.93 mmol, 1.25 ml) in a mixture of dry dichloromethane (10 ml) and dry tetrahydrofuran (30 ml)', 'step 2:was stirred at room temperature under argon for 7 days', 'step 2 properties:Time:604800', 'step 2 properties:Temperature:room temperature', 'step 3:Work-up as in Stage 1 of Example 1 and purification by flash chromatography on silica gel (2% acetone in toluene as eluant)', 'step 4:gave the title compound as a colourless solid (166 mg, 21%)']"
"['C(O[C@@H:5]1[O:27][C@H:26]([CH2:28][O:29]C(=O)C2C=CC=CC=2)[C@@H:16]([O:17]C(=O)C2C=CC=CC=2)[C@H:6]1[O:7]C(=O)C1C=CC=CC=1)(=O)C.[OH:38][C:39]1[CH:48]=[CH:47][CH:46]=[C:45]2[C:40]=1[CH2:41][CH2:42][CH2:43][C:44]2=[O:49].B(F)(F)F', 'ClCCl', '[O:38]([C:39]1[CH:48]=[CH:47][CH:46]=[C:45]2[C:40]=1[CH2:41][CH2:42][CH2:43][C:44]2=[O:49])[C@@H:5]1[O:27][C@H:26]([CH2:28][OH:29])[C@@H:16]([OH:17])[C@H:6]1[OH:7]']","['US20010019823A1', 'Preparation of 1-Tetralone-5-yl β-D-Ribofuranoside', '0086', 'A solution of 1-O-acetyl-2,3,5-tri-O-benzoyl-β-D-ribofuranose (426 mg, 0.84 mmol), 5-hydroxy-1-tetralone (122 mg, 0.75 mmol) and boron trifluoride diethyletherate (120 mg, 0.84 mmol, 106 μl) in dichloromethane (4 ml) was stirred at room temperature, under argon for 19 hours. Work-up as for Stage 1 in Example 1 then flash chromatography on silica gel (eluting with 2% acetone in toluene) gave the title compound as a colourless oil (308 mg of approx. 51% purity).']","[['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]",[],"['step 1:A solution of 1-O-acetyl-2,3,5-tri-O-benzoyl-β-D-ribofuranose (426 mg, 0.84 mmol), 5-hydroxy-1-tetralone (122 mg, 0.75 mmol) and boron trifluoride diethyletherate (120 mg, 0.84 mmol, 106 μl) in dichloromethane (4 ml) was stirred at room temperature, under argon for 19 hours', 'step 1 properties:Time:68400', 'step 1 properties:Temperature:room temperature', 'step 2:Work-up as for Stage 1 in Example 1 then flash chromatography on silica gel (eluting with 2% acetone in toluene) gave the title compound as a colourless oil (308 mg of approx. 51% purity)']"
"['C(O[C@@H:5]1[O:27][C@H:26]([CH2:28][O:29][C:30](=[O:37])[C:31]2[CH:36]=[CH:35][CH:34]=[CH:33][CH:32]=2)[C@@H:16]([O:17][C:18](=[O:25])[C:19]2[CH:24]=[CH:23][CH:22]=[CH:21][CH:20]=2)[C@H:6]1[O:7][C:8](=[O:15])[C:9]1[CH:14]=[CH:13][CH:12]=[CH:11][CH:10]=1)(=O)C.[Cl:38]CCl', '[Ti](Cl)(Cl)(Cl)Cl', '[C:8]([O:7][C@@H:6]1[C@H:16]([O:17][C:18](=[O:25])[C:19]2[CH:20]=[CH:21][CH:22]=[CH:23][CH:24]=2)[C@@H:26]([CH2:28][O:29][C:30](=[O:37])[C:31]2[CH:36]=[CH:35][CH:34]=[CH:33][CH:32]=2)[O:27][CH:5]1[Cl:38])(=[O:15])[C:9]1[CH:14]=[CH:13][CH:12]=[CH:11][CH:10]=1']","['US20010019823A1', 'Preparation of 2,3,5-Tri-O-Benzoyl-α,β-D-Ribofuranosyl Chloride', '0100', 'To a solution of 1-O-acetyl-2,3,5-tri-O-benzoyl-β-D-ribofuranose (3.02 g, 5.98 mmol) in dry dichloromethane (100 ml) was added via cannula a dichloromethane solution of titanium tetrachloride (1.13 g, 5.98 mmol, 5.98 ml of a 1M solution). The solution was stirred at room temperature for 1. 5 hours under argon, then washed with water (3×100 ml), dried over anhydrous magnesium sulfate and evaporated in vacuo to give the title compounds as a colourless oil (2.9 g, 1 00%). 1H nmr indicated it to be an approximately 1:1 mixture of α:β-anomers.']","[['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]",[],"[['chemical_names', 'identifiers', 'amounts', 'appearances']]","['step 1:To a solution of 1-O-acetyl-2,3,5-tri-O-benzoyl-β-D-ribofuranose (3.02 g, 5.98 mmol) in dry dichloromethane (100 ml) was added via cannula a dichloromethane solution of titanium tetrachloride (1.13 g, 5.98 mmol, 5.98 ml of a 1M solution)', 'step 2:The solution was stirred at room temperature for 1', 'step 2 properties:Temperature:room temperature', 'step 3:5 hours under argon, then washed with water (3×100 ml)', 'step 3 properties:Time:18000', 'step 4:dried over anhydrous magnesium sulfate', 'step 5:evaporated in vacuo', 'step 6:to give the title compounds as a colourless oil (2.9 g, 1 00%)']"
"['[CH:1]1[C:6]([N+:7]([O-:9])=[O:8])=[CH:5][CH:4]=[C:3]([OH:10])[CH:2]=1.[H-].[Na+].C1(C)C(C([O:21][C@@H:22]2[C@@H:26]([CH2:27][O:28]C(C3C(C)=CC=CC=3)=O)[O:25][C@H:24](Cl)[CH2:23]2)=O)=CC=CC=1.O', 'CN(C)C=O', '[O:10]([C:3]1[CH:4]=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[CH:1][CH:2]=1)[C@@H:24]1[O:25][C@H:26]([CH2:27][OH:28])[C@@H:22]([OH:21])[CH2:23]1 |f:1.2|']","['US20010019823A1', 'Preparation of p-Nitrophenyl 2-Deoxy-β-D-Erythro-Pentofuranoside', '0162', 'p-Nitrophenol (178 mg, 1.28 mmol) and sodium hydride (64 mg of a 60% dispersion in mineral oil, 1.6 mmol) were stirred together in dry dimethylformamide (4 ml) at room temperature for 30 minutes then the chloride (416 mg, 1.07 mmol) from Example 16 was added. The mixture was stirred for a further 3 hours, then water (100 ml) was added and the mixture was evaporated in vacuo. The residue was purified by flash chromatography on silica gel (eluting with 20% ethyl acetate in hexanes) to give a pale yellow oil which crystallized from a mixture of chloroform and hexanes to give the title compound as a colourless solid (190 mg, 36%).']","[['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]",[],"['step 1:p-Nitrophenol (178 mg, 1.28 mmol) and sodium hydride (64 mg of a 60% dispersion in mineral oil, 1.6 mmol) were stirred together in dry dimethylformamide (4 ml) at room temperature for 30 minutes', 'step 1 properties:Time:1800', 'step 1 properties:Temperature:room temperature', 'step 2:the chloride (416 mg, 1.07 mmol) from Example 16 was added', 'step 3:The mixture was stirred for a further 3 hours', 'step 3 properties:Time:10800', 'step 4:water (100 ml) was added', 'step 5:the mixture was evaporated in vacuo', 'step 6:The residue was purified by flash chromatography on silica gel (eluting with 20% ethyl acetate in hexanes)', 'step 7:to give a pale yellow oil which', 'step 8:crystallized from a mixture of chloroform and hexanes', 'step 9:to give the title compound as a colourless solid (190 mg, 36%)']"
"['[OH:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([OH:8])=[O:7])=[CH:4][N:3]=1.S(=O)(=O)(O)O.O.[C:17](=O)(O)[O-].[Na+]', 'CO', '[OH:1][C:2]1[CH:10]=[CH:9][C:5]([C:6]([O:8][CH3:17])=[O:7])=[CH:4][N:3]=1 |f:3.4|']","['US20010019823A1', '0174', 'A solution of 6-hydroxynicotinic acid (1.00 g, 7.19 mmol) and concentrated sulfuric acid (0.47 ml) in methanol (80 ml) was refluxed for 10 hours then poured into water and sodium bicarbonate (1.45 g) was added. The solvents were evaporated in vacuo and the residue was purified by flash chromatography on silica gel (eluting with 10% -20% methanol in dichloromethane) to give 6-hydroxynicotinic acid, methyl ester as a colourless solid (996 mg, 90%). The product was dissolved in concentrated aqueous ammonia solution and heated at 60° C. for 10 hours. Evaporation of the solvent in vacuo left a solid which was recrystallized from water to give 371 mg, 61% of the title compound as colourless needles.']","[['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]",[],"['step 1:A solution of 6-hydroxynicotinic acid (1.00 g, 7.19 mmol) and concentrated sulfuric acid (0.47 ml) in methanol (80 ml) was refluxed for 10 hours', 'step 1 properties:Time:36000', 'step 2:then poured into water and sodium bicarbonate (1.45 g)', 'step 3:was added', 'step 4:The solvents were evaporated in vacuo', 'step 5:the residue was purified by flash chromatography on silica gel (eluting with 10% -20% methanol in dichloromethane)', 'step 6:to give 6-hydroxynicotinic acid, methyl ester as a colourless solid (996 mg, 90%)']"
"['[C:1]([O:4][C@@H:5]1[O:27][C@H:26]([CH2:28][O:29]C(=O)C2C=CC=CC=2)[C@@H:16]([O:17]C(=O)C2C=CC=CC=2)[C@H:6]1[O:7]C(=O)C1C=CC=CC=1)(=O)[CH3:2].OC1C=[CH:45][C:42]([CH:43]=[O:44])=[CH:41][CH:40]=1.B(F)(F)F', 'ClCCl', '[O:4]([C:1]1[CH:2]=[CH:45][C:42]([CH:43]=[O:44])=[CH:41][CH:40]=1)[C@@H:5]1[O:27][C@H:26]([CH2:28][OH:29])[C@@H:16]([OH:17])[C@H:6]1[OH:7]']","['US20010019823A1', 'Preparation of 4-Formylphenyl β-D-ribofuranoside', '0183', 'A suspension of 1-O-acetyl-2,3,5-tri-O-benzoylβ-D-ribofuranose (1 g, 2.0 mmol), p-hydroxybenzaldehyde (0.5 g, 4.1 mmol), and boron trifluoride diethyletherate (0.12 ml, 1 mmol) in 20 ml of dry dichloromethane was stirred overnight at room temperature. The solvent was removed in vacuo and the residue extracted with ethyl acetate and brine. The organic layer was dried with sodium sulfate, filtered and the solvents were removed in vacuo. The residue was not purified further, but suspended in methanol and the pH adjusted to 11 with 1.0 N aqueous NaOH. This was stirred and with occasional readjustment of the pH until t.l.c. on silica gel (eluant 1:1 ethyl acetate/hexanes) indicated only material at the solvent front or baseline. Silica gel was added directly to the reaction material and the solvent removed in vacuo. The powder was added to a column of silica gel and purified by flash chromatography with 100% ethyl acetate as eluant. The title compound was obtained as a colourless syrup.']","[['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]",[],"['step 1:A suspension of 1-O-acetyl-2,3,5-tri-O-benzoylβ-D-ribofuranose (1 g, 2.0 mmol), p-hydroxybenzaldehyde (0.5 g, 4.1 mmol), and boron trifluoride diethyletherate (0.12 ml, 1 mmol) in 20 ml of dry dichloromethane', 'step 2:was stirred overnight at room temperature', 'step 2 properties:Time:overnight', 'step 2 properties:Temperature:room temperature', 'step 3:The solvent was removed in vacuo', 'step 4:the residue extracted with ethyl acetate and brine', 'step 5:The organic layer was dried with sodium sulfate', 'step 6:filtered', 'step 7:the solvents were removed in vacuo', 'step 8:The residue was not purified further', 'step 9:This was stirred and with occasional readjustment of the pH until t.l.c', 'step 10:Silica gel was added directly to the reaction material', 'step 11:the solvent removed in vacuo', 'step 12:The powder was added to a column of silica gel', 'step 13:purified by flash chromatography with 100% ethyl acetate as eluant', 'step 14:The title compound was obtained as a colourless syrup']"
"['C(N)CCC.[ClH:6].O=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O.[H][H].[CH2:21]([NH:25][CH2:26][C@@H:27]([C@H:29]([C@@H:31]([C@@H:33]([CH2:35][OH:36])[OH:34])[OH:32])[OH:30])[OH:28])[CH2:22][CH2:23][CH3:24]', '[Pd].C(O)C', '[ClH:6].[CH2:21]([NH:25][CH2:26][C@@H:27]([C@H:29]([C@@H:31]([C@@H:33]([CH2:35][OH:36])[OH:34])[OH:32])[OH:30])[OH:28])[CH2:22][CH2:23][CH3:24] |f:7.8|']","['US20010019837A1', '0142', 'A 2.3-L Parr shaker bottle is charged with 1 L of 3A ethanol and 83 g (1.1 mol) of n-butylamine. The mixture is stirred and cooled while 16 mL of 12N hydrochloric acid is slowly added. The pH after this addition is 10. To the 2.3-L Parr bottle is added 200 g (1.1 mol) of D-glucose followed by 60 g of 4% palladium-on-carbon (50% water-wet). The mixture is agitated rapidly and hydrogenated at a constant pressure of 4 atm of hydrogen at 60±5° C. until the reaction is complete (as indicated by hydrogen uptake). The hydrogen is vented and the 4% palladium-on-carbon is removed by filtration through a layer of powdered cellulose. The catalyst is washed with 100 mL of 3A ethanol followed by 50 mL of water. The wash is combined with the filtrate to give a solution containing a mixture of N-butyl glucamine and the corresponding hydrochloride salt. The mixture is stirred and cooled while 80 mL of 12N hydrochloric acid is slowly added. The pH after this addition is 2.5. The ethanol is removed by distillation under reduced pressure. The residue contains approximately 270 g of N-n-butyl glucamine hydrochloride. The residue is diluted to 500 mL with water to produce a bulk solution of N-n-butyl glucamine hydrochloride which is used in the next step without purification.']","[['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]","['step 1:A 2.3-L Parr shaker bottle is charged with 1 L of 3A ethanol and 83 g (1.1 mol) of n-butylamine', 'step 2:The mixture is stirred', 'step 3:cooled while 16 mL of 12N hydrochloric acid', 'step 4:is slowly added', 'step 5:The pH after this addition', 'step 6:To the 2.3-L Parr bottle is added 200 g (1.1 mol) of D-glucose', 'step 7:The mixture is agitated rapidly', 'step 8:hydrogenated at a constant pressure of 4 atm of hydrogen at 60±5° C. until the reaction', 'step 8 properties:Temperature:60 ± 5', 'step 8 properties:Pressure:405300', 'step 9:the 4% palladium-on-carbon is removed by filtration through a layer of powdered cellulose', 'step 10:The catalyst is washed with 100 mL of 3A ethanol', 'step 11:to give a solution', 'step 12:containing', 'step 13:a mixture of N-butyl glucamine', 'step 14:The mixture is stirred', 'step 15:cooled while 80 mL of 12N hydrochloric acid', 'step 16:is slowly added', 'step 17:The pH after this addition', 'step 18:The ethanol is removed by distillation under reduced pressure', 'step 18 properties:Pressure:reduced pressure', 'step 19:The residue is diluted to 500 mL with water', 'step 20:to produce a bulk solution of N-n-butyl glucamine hydrochloride which']"
"['[ClH:1].[CH2:2]([NH:6][CH2:7][C@@H:8]([C@H:10]([C@@H:12]([C@@H:14]([CH2:16][OH:17])[OH:15])[OH:13])[OH:11])[OH:9])[CH2:3][CH2:4][CH3:5].[OH-].[Na+]', 'O', '[ClH:1].[CH2:2]([NH:6][CH2:7][C@@H:8]1[O:9][C@:14]([OH:15])([CH2:16][OH:17])[C@@H:12]([OH:13])[C@@H:10]1[OH:11])[CH2:3][CH2:4][CH3:5] |f:0.1,2.3,5.6|']","['US20010019837A1', '0143', 'A reaction solution is prepared by adding 109 ml of a bulk solution of N-n-butylglucamine hydrochloride (prepared in Example 1) with a concentration of 500 gm/L by HPLC to 460 ml of water in a 1-L bioreactor. The solution is adjusted to pH 5 by adding dilute sodium hydroxide and cooled to about 15° C. A total of 30 gm (wet weight) of washed G. oxydans cell paste is added and the reaction mixture is agitated (500 rpm) and aerated (0.5 vvm) while controlling the temperature at 15° C. and pH at 5. After 23 hours, the HPLC assay indicates that over 99% of the substrate has been converted for a 80% yield of 6-n-butylamino-6-deoxy-α-L-sorbo-furanose hydrochloride.']","[['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances'], ['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]","[['chemical_names', 'identifiers', 'amounts', 'appearances']]",[],"['step 1:A reaction solution is prepared', 'step 2:by adding 109 ml of a bulk solution of N-n-butylglucamine hydrochloride (prepared in Example 1) with a concentration of 500 gm/L by HPLC to 460 ml of water in a 1-L bioreactor', 'step 3:by adding dilute sodium hydroxide', 'step 4:cooled to about 15° C', 'step 4 properties:Temperature:~15', 'step 5:oxydans cell paste is added', 'step 6:the reaction mixture is agitated (500 rpm)', 'step 7:at 15° C.', 'step 7 properties:Temperature:15', 'step 8:After 23 hours', 'step 8 properties:Time:82800']"
